,https://roic.ai/company/NOVA,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,76856000,104382000,131556000,160820000,241752000
2,COGS,27340000,36717000,47413000,65178000,98308000
3,Gross Profit,49516000,67665000,84143000,95642000,143444000
4,Gross Profit Ratio,0.6443,0.6482,0.6396,0.5947,0.5934
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,54863000,67430000,97986000,115148000,204236000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",54863000,67430000,97986000,115148000,204236000
9,Other Expenses,5008000,13965000,8427000,16272000,-5902000
10,Operating Expenses,59871000,81395000,106413000,131420000,198334000
11,COGS and Expenses,87211000,118112000,153826000,196598000,296642000
12,Interest Income ,3197000,- -,12483000,23741000,34228000
13,Interest Expense (Gain),83024000,54680000,112122000,154580000,116248000
14,Depreciation and Amortization,29482000,39423000,49340000,66066000,106954000
15,EBITDA,21421000,19857000,17111000,-31457000,85334000
16,EBITDA ratio,0.2787,0.1902,0.1301,-0.1956,0.3530
17,Operating Income,-10355000,-13730000,-22270000,-35778000,-54890000
18,Operating Income ratio,-0.1347,-0.1315,-0.1693,-0.2225,-0.2271
19,Total Other Income Expenses (Gains),-79827000,-54679000,-111164000,-271859000,-92360000
20,Income Before Tax,-90182000,-68409000,-133434000,-307637000,-147250000
21,Income Before Tax Ratio,-1.1734,-0.6554,-1.0143,-1.9129,-0.6091
22,Income Tax expense (Gain),- -,- -,- -,181000,260000
23,Net Income,-91085000,-74246000,-144351000,-252284000,-138128000
24,Net Income ratio,-1.1851,-0.7113,-1.0973,-1.5687,-0.5714
25,EPS,-1.46,-1.64,-4.14,-2.87,-1.25
26,EPS Diluted,-1.46,-1.64,-4.14,-2.87,-1.25
27,Weighted Average Shares Outstanding,83115618,83115618,40797976,87871457,110881630
28,Weighted Average Shares Outstanding Diluted,83115618,83115618,40797976,87871457,110881630
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1772695/000177269520000016/0001772695-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1772695/000177269521000022/0001772695-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1772695/000177269522000011/0001772695-22-000011-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,56318000,52706000,83485000,209859000,243101000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,56318000,52706000,83485000,209859000,243101000
34,Net Receivables,12152000,10033000,31559000,56509000,139181000
35,Inventory,- -,- -,43749000,102589000,127955000
36,Other Current Assets,12807000,26794000,115527000,87698000,105505000
37,Total Current Assets,81277000,89533000,274320000,456655000,615742000
38,PP&E,1113073000,1328457000,1745060000,2323169000,2909613000
39,Goodwill,- -,- -,- -,- -,13150000
40,Intangible Assets,- -,- -,- -,- -,190520000
41,Intangible Assets,- -,- -,- -,- -,203670000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,134438000,247095000,467687000,807758000,1775209000
45,Total Non-Current Assets,1247511000,1575552000,2212747000,3130927000,4888492000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1328788000,1665085000,2487067000,3587582000,5504234000
48,Accounts Payable,23867000,20075000,36190000,39908000,55033000
49,Short-Term Debt,- -,- -,97464000,112089000,131643000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,2086000,3754000,15273000
52,Other Current Liabilities,130028000,75328000,59262000,55102000,108948000
