,https://roic.ai/company/SMMT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,1824,212762,947893,2028207,6025174,266640,301946,1207450,2771584,2865221,2268079,- -,- -,2879892,35979787,56412880,860000,1809
2,COGS,1824,169456,415930,596301,3227346,5765,- -,- -,- -,- -,- -,- -,- -,- -,97667,24920,- -,- -
3,Gross Profit,- -,43306,531962,1431906,2797829,260875,- -,- -,- -,2865221,2268079,- -,- -,- -,35882120,56387960,- -,1809
4,Gross Profit Ratio,- -,0.2035,0.5612,0.7060,0.4644,0.9784,- -,- -,- -,1.0000,1.0000,- -,- -,- -,0.9973,0.9996,- -,1.0000
5,Research and Development Exp.,- -,504604,1831521,5790392,15335362,7377994,3677669,3663496,4778430,5724124,10779559,15635076,23943602,23685362,40973559,50942357,43911000,85352
6,General and Administrative Exp.,43788,75314,1794034,863067,5140289,3907353,3829441,2677596,2314626,2768871,3237992,6795239,7454248,9619639,13816385,15355761,19232000,23611
7,Selling and Marketing Exp.,- -,- -,- -,1000373,2169461,1122770,372240,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",43788,75314,1794034,1863439,7309750,5030123,4201681,2677596,2314626,2768871,3237992,6795239,7454248,9619639,13816385,15355761,19232000,23611
9,Other Expenses,- -,- -,119602,2373433,2700392,2967628,3482762,-10322673,339185,18954,-682898,-3141480,-1949726,-26249,-3625014,-19036002,-9949000,- -
10,Operating Expenses,43788,579918,3745158,10027265,25345503,15375746,11362111,-3981580,7432241,8511949,13334653,19288835,29448124,33278752,51164930,47262116,53194000,108963
11,COGS and Expenses,45612,749374,4161088,10623566,28572849,15381511,11362111,10590116,7432241,8511949,13334653,19288835,29448124,33278752,51262598,47287035,53194000,- -
12,Interest Income ,1824,404813,1040718,1724172,1541092,430948,12781,26903,10992,17375,14846,76842,42726,10000,15570,5246,4000,- -
13,Interest Expense (Gain),- -,- -,- -,11769,75563,116745,107039,6330,4711,- -,- -,- -,- -,1077460,1067263,556102,255000,- -
14,Depreciation and Amortization,- -,9414,240990,737530,3281036,2738462,3783110,710544,295217,146894,42887,49721,68361,72497,348205,1492557,2003000,- -
15,EBITDA,-41963,-122385,-1931488,-6133658,-18582593,-31952091,-5361536,-8645218,-4407839,-7065123,-11008841,-19376224,-30093285,-30982588,-14003227,8647124,-50652000,-88602
16,EBITDA ratio,-23.0000,-0.5752,-2.0377,-3.0242,-3.0842,-119.8324,-17.7566,-7.1599,-1.5904,-2.4658,-4.8538,-Infinity,-Infinity,-10.7582,-0.3892,0.1533,-58.8977,-48.9784
17,Operating Income,-43788,-536612,-3213196,-8595359,-23404721,-19195180,-9202160,-9382665,-4714048,-7229391,-11066574,-19151725,-28734601,-31065085,-18153380,3497934,-53193000,-86186000
18,Operating Income ratio,-24.0000,-2.5221,-3.3898,-4.2379,-3.8845,-71.9892,-30.4762,-7.7706,-1.7008,-2.5232,-4.8793,-Infinity,-Infinity,-10.7869,-0.5045,0.0620,-61.8523,-47642.8966
19,Total Other Income Expenses (Gains),1824,404813,1040718,1712403,1465529,314203,-94258,20573,6281,17375,14846,76842,42726,-1067460,2734685,3100531,283000,86097398
20,Income Before Tax,-41963,-131799,-2172477,-6882956,-21939191,-18880978,-9296418,-9362093,-4707767,-7212017,-11051729,-19074883,-28691875,-32132545,-15418696,6598465,-52910000,-88602
21,Income Before Tax Ratio,-23.0000,-0.6195,-2.2919,-3.3936,-3.6413,-70.8108,-30.7884,-7.7536,-1.6986,-2.5171,-4.8727,-Infinity,-Infinity,-11.1576,-0.4285,0.1170,-61.5233,-48.9784
22,Income Tax expense (Gain),- -,-45188,-276692,-959181,-1811529,-2517944,-594306,-1940150,-477372,-538611,-1001254,-1954196,-4355195,-5419797,-5324992,-3273657,-213000,- -
23,Net Income,-41963,-86611,-1895785,-5923776,-20127662,-32289355,-8657379,-7421943,-4230395,-6673406,-10050475,-17120687,-24336680,-26712748,-10093704,9872123,-52697000,-88602
24,Net Income ratio,-23.0000,-0.4071,-2.0000,-2.9207,-3.3406,-121.0973,-28.6720,-6.1468,-1.5263,-2.3291,-4.4313,-Infinity,-Infinity,-9.2756,-0.2805,0.1750,-61.2756,-48.9784
25,EPS,-0.00,-0.00,-0.06,-0.16,-0.42,-0.60,-0.13,-0.04,-0.02,-0.02,-0.02,-0.44,-0.41,-0.44,-0.16,0.12,-0.76,-0.96
26,EPS Diluted,-0.00,-0.00,-0.06,-0.16,-0.42,-0.60,-0.13,-0.04,-0.02,-0.02,-0.02,-0.44,-0.41,-0.44,-0.16,0.12,-0.76,-0.96
27,Weighted Average Shares Outstanding,19023556,23464765,31313111,37217000,50842000,53389132,166249806,168269806,187421780,3540884,408926174,39599222,59102292,61548557,65434294,85702000,69338158,92293750
28,Weighted Average Shares Outstanding Diluted,19023556,23464765,31313111,37217000,50842000,53389132,166249806,168269806,187421780,3540884,408926174,39599222,59102292,61548557,65434294,86144000,69338158,92293750
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1599298/000119312516587491/0001193125-16-587491-index.htm,https://www.sec.gov/Archives/edgar/data/1599298/000119312517104086/0001193125-17-104086-index.htm,https://www.sec.gov/Archives/edgar/data/1599298/000162828018004229/0001628280-18-004229-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1599298/000159929821000011/0001599298-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1599298/000159929822000032/0001599298-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,145959,26663026,1856513,35874149,20060053,3916001,9716586,5143137,3259948,5337145,3348509,16973030,23220110,35076185,28453742,35225916,66417000,71791000
32,Short-Term Investments,- -,- -,20696549,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,145959,26663026,22553062,35874149,20060053,3916001,9716586,5143137,3259948,5337145,3348509,16973030,23220110,35076185,28453742,35225916,66417000,71791000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,917692,1187648,2281151,4736880,5737285,13149700,16318447,10187000,1464000
35,Inventory,- -,- -,48198,368765,670127,563547,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,175105,965744,2191012,4573565,3314981,881874,761184,890361,352229,569082,3638692,1746066,856218,9197713,9748836,11070000,-1464000
37,Total Current Assets,145959,26838131,23567004,38433926,25303744,7794529,10598460,5904322,4150309,6607067,5105239,22892873,29703055,41669687,50801155,61293200,87674000,71791000
38,PP&E,- -,1883,2251022,5147016,8486945,5352973,535195,411451,233975,36329,70929,82869,118208,144995,1145114,807922,1279000,3484000
39,Goodwill,- -,- -,- -,- -,19421742,- -,- -,- -,- -,- -,- -,1000452,945667,829969,3507530,2379172,2030000,- -
40,Intangible Assets,- -,37657,49983,2859889,16168546,6947047,7245103,1740754,1733614,270095,5761745,5247853,4946237,4337337,20927698,13907797,11515000,10399000
41,Intangible Assets,- -,37657,49983,2859889,35590288,6947047,7245103,1740754,1733614,270095,5761745,6248305,5891903,5167306,24435228,16286970,13545000,10399000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,26663026,1856513,35874149,20060053,3916001,9716586,5143137,3259948,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-26663026,-1856513,-35874149,-20060053,-3916001,-9716586,-5143137,-3259948,0,- -,- -,- -,-0,-0,- -,- -,2179000
45,Total Non-Current Assets,- -,39540,2301005,8006905,44077234,12300020,7780298,2152205,1967589,306424,5832674,6331174,6010112,5312301,25580342,17094891,14824000,16062000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57645000
47,Total Assets,145959,26877671,25868009,46440831,69380978,20094549,18378758,8056527,6117898,6913491,10937912,29224047,35713167,46981988,76381497,78388091,102498000,113374000
48,Accounts Payable,- -,33891,871133,2257704,3605162,972875,238042,525391,584153,401194,575680,1800512,1019725,1132458,6247877,5799725,6140000,4374000
49,Short-Term Debt,- -,- -,117817,129460,373839,194575,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390000,1091000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,110565,92373,91909,112512,117496,232137,249197,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,924010,- -,- -,- -,8639676,14171668,4425208,8370000,7939000
52,Other Current Liabilities,3649,316319,269551,453110,2809760,1523450,1525705,1386273,1433686,1085119,2507258,3873738,3546251,3847356,6395085,6652239,4990000,12219000
53,Total Current Liabilities,3649,350210,1258502,2840274,6788761,2690900,1763747,1911665,2017839,2410324,3082937,5674250,4565976,13619489,26814630,16877172,19890000,25623000
