,https://roic.ai/company/SNTW,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,30100,119076,46541,28193,- -,- -,- -,- -
2,COGS,23000,88688,30304,21266,- -,- -,- -,- -
3,Gross Profit,7100,30388,16237,6927,- -,- -,- -,- -
4,Gross Profit Ratio,0.2359,0.2552,0.3489,0.2457,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,131525,572682
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2010,54769,25684,21118,94817,370900,131525,572682
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2010,54769,25684,21118,94817,370900,131525,572682
11,COGS and Expenses,25010,143457,55988,42384,94817,370900,131525,572682
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,6578,1793,1595,1596,1596,- -,- -,2214
15,EBITDA,11668,-22588,-7852,-12594,-93221,-365808,-131525,-689076
16,EBITDA ratio,0.3876,-0.1897,-0.1687,-0.4467,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,5090,-24381,-9447,-14190,-94817,-370900,-131525,-572682
18,Operating Income ratio,0.1691,-0.2048,-0.2030,-0.5033,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-5092,- -,118608
20,Income Before Tax,5090,-24381,-9447,-14190,-94817,-375992,-131525,-454074
21,Income Before Tax Ratio,0.1691,-0.2048,-0.2030,-0.5033,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,-1479,- -,- -,- -,- -,- -,- -
23,Net Income,5090,-22902,-9447,-14190,-94817,-375992,-131525,-454074
24,Net Income ratio,0.1691,-0.1923,-0.2030,-0.5033,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.01
26,EPS Diluted,0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.01
27,Weighted Average Shares Outstanding,43369960,50000000,50000000,50000000,53603280,61044990,62738515,61816657
28,Weighted Average Shares Outstanding Diluted,43369960,50000000,50000000,50000000,53603280,61044990,62738515,61816657
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1619096/000147793215006668/0001477932-15-006668-index.html,https://www.sec.gov/Archives/edgar/data/1619096/000147793217002566/0001477932-17-002566-index.htm,https://www.sec.gov/Archives/edgar/data/1619096/000109181817000224/0001091818-17-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1619096/000109181818000208/0001091818-18-000208-index.htm,https://www.sec.gov/Archives/edgar/data/1619096/000109181819000318/0001091818-19-000318-index.htm,https://www.sec.gov/Archives/edgar/data/1619096/000121390020036967/0001213900-20-036967-index.htm,https://www.sec.gov/Archives/edgar/data/1619096/000109181821000152/0001091818-21-000152-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,110,8711,859,- -,17729,553,304796,80878
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,110,8711,859,- -,17729,553,304796,80878
34,Net Receivables,- -,- -,- -,- -,4556,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,5470,- -
37,Total Current Assets,110,8711,859,- -,22285,553,310266,80878
38,PP&E,8000,15957,14362,12768,11172,- -,- -,3322
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
