,https://roic.ai/company/TEVA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,91200000,139600000,211100000,281100000,329000000,327100000,406700000,502000000,587700000,667700000,953800000,1116900000,1115900000,1282406000,1749854000,2077370000,2518600000,3276400000,4798900000,5250400000,8408000000,9408000000,11085000000,13899000000,16121000000,18312000000,20317000000,20314000000,20272000000,19652000000,21903000000,22385000000,18854000000,16887000000,16658000000,15879000000
2,COGS,58800000,84900000,129500000,180700000,191300000,194100000,229800000,268500000,305700000,364100000,550400000,628900000,636100000,699203000,962990000,1230077000,1423200000,1757500000,2559600000,2769800000,4149000000,4531000000,5117000000,6532000000,7056000000,8797000000,9665000000,9607000000,9216000000,8296000000,10044000000,11560000000,10558000000,9351000000,8933000000,8284000000
3,Gross Profit,32400000,54700000,81600000,100400000,137700000,133000000,176900000,233500000,282000000,303600000,403400000,488000000,479800000,583203000,786864000,847293000,1095400000,1518900000,2239300000,2480600000,4259000000,4877000000,5968000000,7367000000,9065000000,9515000000,10652000000,10707000000,11056000000,11356000000,11859000000,10825000000,8296000000,7536000000,7725000000,7595000000
4,Gross Profit Ratio,0.3553,0.3918,0.3865,0.3572,0.4185,0.4066,0.4350,0.4651,0.4798,0.4547,0.4229,0.4369,0.4300,0.4548,0.4497,0.4079,0.4349,0.4636,0.4666,0.4725,0.5065,0.5184,0.5384,0.5300,0.5623,0.5196,0.5243,0.5271,0.5454,0.5779,0.5414,0.4836,0.4400,0.4463,0.4637,0.4783
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,36600000,31600000,62800000,65200000,68100000,81842000,104575000,107273000,165000000,213500000,338400000,368900000,495000000,581000000,2188000000,802000000,933000000,1095000000,1356000000,1427000000,1488000000,1525000000,2111000000,1848000000,1213000000,1010000000,997000000,967000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,669000000,823000000,865000000,932000000,1238000000,1239000000,1217000000,1239000000,1236000000,1330000000,1298000000,1192000000,1173000000,1099000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1842000000,2676000000,2968000000,3478000000,3879000000,4080000000,3861000000,3478000000,3860000000,3656000000,2916000000,2614000000,2498000000,2429000000
8,"Selling, General and Administrative Exp.",17000000,30300000,51300000,56100000,84800000,67100000,102300000,125900000,115200000,131400000,167600000,197000000,208000000,233891000,307079000,363564000,406400000,520600000,696500000,798800000,1572000000,1901000000,2511000000,3499000000,3833000000,4410000000,5117000000,5319000000,5078000000,4717000000,5096000000,4986000000,4214000000,3806000000,3671000000,3528000000
9,Other Expenses,3500000,5100000,7800000,100000,12600000,13800000,18600000,19600000,23500000,25400000,43700000,52000000,58700000,68424000,- -,- -,- -,-100000000,30000000,- -,96000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
