,https://roic.ai/company/LLNW,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,1908000,1677000,11192000,21303000,64343000,103111000,129530000,131663000,183327000,171292000,180236000,173433000,162259000,170912000,168234000,184360000,195670000,200634000,230194000,217630000
2,COGS,1272000,1038000,- -,11888000,35978000,65541000,83861000,85623000,102719000,109586000,111715000,111725000,98849000,102793000,96889000,96561000,102197000,119090000,147088000,157281000
3,Gross Profit,636000,639000,- -,9415000,28365000,37570000,45669000,46040000,80608000,61706000,68521000,61708000,63410000,68119000,71345000,87799000,93473000,81544000,83106000,60349000
4,Gross Profit Ratio,0.3333,0.3810,- -,0.4420,0.4408,0.3644,0.3526,0.3497,0.4397,0.3602,0.3802,0.3558,0.3908,0.3986,0.4241,0.4762,0.4777,0.4064,0.3610,0.2773
5,Research and Development Exp.,52000,51000,- -,462000,3151000,5504000,7365000,7937000,15755000,17146000,20182000,22003000,20965000,28016000,24335000,25342000,24075000,22534000,21680000,21669000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,57289000,87356000,34128000,35760000,32138000,33500000,30939000,28176000,25027000,30042000,26535000,29465000,30785000,31284000,37451000
7,Selling and Marketing Exp.,708000,345000,- -,- -,- -,- -,- -,32587000,46752000,40081000,45044000,41474000,37458000,37868000,32945000,36098000,39553000,43078000,42945000,29760000
8,"Selling, General and Administrative Exp.",708000,345000,- -,7185000,25115000,57289000,87356000,66715000,82512000,72219000,78544000,72413000,65634000,62895000,62987000,62633000,69018000,73863000,74229000,67211000
9,Other Expenses,821000,444000,- -,100000,226000,48987000,18871000,-63294000,6359000,4787000,5843000,5804000,3529000,2929000,56452000,2376000,2313000,872000,1591000,2794000
10,Operating Expenses,1581000,840000,- -,7747000,28492000,111780000,113592000,11358000,104626000,94152000,104569000,100220000,90128000,93840000,143774000,90351000,95406000,97269000,97500000,91674000
11,COGS and Expenses,2853000,1878000,- -,19635000,64470000,177321000,197453000,96981000,207345000,203738000,216284000,211945000,188977000,196633000,240663000,186912000,197603000,216359000,244588000,248955000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,1345000,914000,752000,356000,321000,276000,317000,123000,494000,670000,427000,69000,134000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,39000,77000,299000,177000,76000,32000,29000,918000,80000,86000,76000,3939000,5245000
14,Depreciation and Amortization,23000,13000,- -,2951000,10542000,21596000,27031000,26402000,28726000,32817000,33835000,28746000,20202000,20904000,20484000,20514000,18590000,20065000,23170000,25302000
15,EBITDA,-967000,-172000,516000,3648000,9016000,-49023000,-36020000,62415000,5400000,5590000,1597000,-6193000,-4154000,-2752000,-51920000,13390000,29056000,4847000,8477000,-23060000
16,EBITDA ratio,-0.5068,-0.1026,0.0461,0.1712,0.1401,-0.4754,-0.2781,0.4741,0.0295,0.0326,0.0089,-0.0357,-0.0256,-0.0161,-0.3086,0.0726,0.1485,0.0242,0.0368,-0.1060
17,Operating Income,-945000,-202000,11192000,1668000,-127000,-74210000,-67923000,34682000,-24018000,-32446000,-38551000,-39477000,-26718000,-25721000,-72429000,-8070000,-4840000,-15725000,-14394000,-47390000
18,Operating Income ratio,-0.4953,-0.1205,1.0000,0.0783,-0.0020,-0.7197,-0.5244,0.2634,-0.1310,-0.1894,-0.2139,-0.2276,-0.1647,-0.1505,-0.4305,-0.0438,-0.0247,-0.0784,-0.0625,-0.2178
19,Total Other Income Expenses (Gains),-45000,-17000,- -,-971000,-1399000,3591000,4872000,1292000,615000,142000,8997000,4888000,2065000,2036000,-893000,866000,15220000,431000,-4238000,-6217000
20,Income Before Tax,-990000,-219000,- -,697000,-1526000,-70619000,-63051000,35974000,-23403000,-32304000,-29554000,-34589000,-24653000,-23685000,-73322000,-7204000,10380000,-15294000,-18632000,-53607000
