,https://roic.ai/company/NEWR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,11663000,29664000,63174000,110391000,181309000,263479000,355058000,479225000,599510000,667648000
2,COGS,1904000,5078000,10780000,21802000,37183000,49990000,62725000,77399000,103237000,181564000
3,Gross Profit,9759000,24586000,52394000,88589000,144126000,213489000,292333000,401826000,496273000,486084000
4,Gross Profit Ratio,0.8367,0.8288,0.8294,0.8025,0.7949,0.8103,0.8233,0.8385,0.8278,0.7281
5,Research and Development Exp.,4300000,8565000,16496000,24024000,46394000,61054000,74332000,104859000,148159000,174851000
6,General and Administrative Exp.,2180000,10053000,17178000,25319000,35693000,45615000,57788000,73007000,99284000,120931000
7,Selling and Marketing Exp.,10748000,28365000,58156000,89162000,129677000,168163000,207021000,257066000,334319000,361702000
8,"Selling, General and Administrative Exp.",12928000,38418000,75334000,114481000,165370000,213778000,264809000,330073000,433603000,482633000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,17228000,46983000,91830000,138505000,211764000,274832000,339141000,434932000,581762000,657484000
11,COGS and Expenses,19132000,52061000,102610000,160307000,248947000,324822000,401866000,512331000,684999000,839048000
12,Interest Income ,2000,9000,16000,176000,647000,1189000,2190000,13103000,15482000,7888000
13,Interest Expense (Gain),10000,48000,64000,104000,68000,87000,86000,19679000,23695000,24901000
14,Depreciation and Amortization,1166000,1916000,4536000,9044000,15119000,18805000,23243000,53794000,75743000,89312000
15,EBITDA,-6366000,-20577000,-35625000,-41086000,-51998000,-41921000,-21032000,33277000,10712000,-77838000
16,EBITDA ratio,-0.5458,-0.6937,-0.5639,-0.3722,-0.2868,-0.1591,-0.0592,0.0694,0.0179,-0.1166
17,Operating Income,-7469000,-22397000,-39436000,-49916000,-67638000,-61343000,-46808000,-33106000,-85489000,-171400000
