,https://roic.ai/company/UURAF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9740,91338,94935
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9740,-91338,-94935
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125341
6,General and Administrative Exp.,- -,- -,- -,1776874,1358241,2186195,3124335,3171325,2816737,3659505,3470065,4484520,4098177,3975210,3073618,4262449
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,549711,348542,235029,190013,- -,346588,193297,184324,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1776874,1358241,2186195,3124335,3721036,3165279,3894534,3660078,4484520,4444765,4168507,3257942,4262449
9,Other Expenses,- -,450020,2155021,44192,29425,28316,24785,27510,47673,45073,39060,38809,27182,-193297,-184324,- -
10,Operating Expenses,- -,450020,2155021,1821066,1387666,2214511,3149120,3748546,3212952,3939607,3699138,4523329,4471947,3975210,3073618,4387790
11,COGS and Expenses,- -,450020,2155021,1821066,1387666,2214511,3149120,3748546,3212952,3939607,3699138,4523329,4471947,3984950,3164956,4482725
12,Interest Income ,- -,- -,- -,98768,31387,10765,79604,42884,16233,57029,5587,10152,7828,1002,194869,19539
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157500,389643,591647,488098
14,Depreciation and Amortization,- -,1068,31148,44192,29425,28316,24785,27510,47673,45073,39060,38809,27182,9740,91338,94935
15,EBITDA,- -,-448952,-2123873,523360,-1358686,-160824,-2655892,-1743804,-2350724,-3849169,-2828626,-3601307,-4436937,-3920154,-2878749,-5044221
16,EBITDA ratio,- -,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,-450020,-2155021,- -,- -,- -,- -,-5748546,-4012952,-3939607,-4028995,-4775323,- -,- -,- -,- -
18,Operating Income ratio,- -,-Infinity,-Infinity,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,35238,4001717,-2158605,49935,-2051332,-386033,65652,1678,11664,-496008,-621067,-411395,-780680,-7645016,-1043412
20,Income Before Tax,- -,-414782,1846696,-3979671,-1337731,-4265843,-3535153,-5682894,-4011274,-3927943,-4525003,-5396390,-4883342,-4765630,-10809972,-5526137
21,Income Before Tax Ratio,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,-153000,-924514,-1024000,- -,-490065,- -,-82073,-444088,-25200,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-261782,-922182,-2955671,-1337731,-3775778,-3535153,-5600821,-3567186,-3902743,-4525003,-5396390,-4883342,-4765630,-10809972,-5526137
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-0.07,0.15,-0.37,-0.15,-0.30,-0.15,-0.30,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.40,-0.14
26,EPS Diluted,- -,-0.07,0.15,-0.37,-0.15,-0.30,-0.15,-0.30,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.40,-0.14
27,Weighted Average Shares Outstanding,- -,2388795,6296240,7661136,9874428,13463883,19962174,20407391,22226798,25682461,26558606,33729920,36314241,36860617,29854160,39458455
28,Weighted Average Shares Outstanding Diluted,- -,2388795,6296240,7661136,9874428,13463883,19962174,20407391,22226798,25682461,26558606,33729920,36314241,36860617,29854160,39458455
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,7252346,467158,46430,183830,9306218,7554232,2140970,1311770,2328659,2733673,3114200,2065664,461475,2813492,1008838
32,Short-Term Investments,- -,- -,- -,2500,2008533,2336863,8500,3750,1355235,1000,750,1000,1000,1500,1000,27833
33,Cash and Short-Term Investments,500000,7252346,467158,48930,2192363,11643081,7562732,2144720,2667005,2329659,2734423,3115200,2066664,462975,2814492,1036671
34,Net Receivables,- -,110092,209518,183742,23892,51605,216160,376878,245431,139013,95871,63156,47255,156653,278837,154827
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,5495,4992611,1273317,34646,38786,291742,139009,66641,515652,541821,524582,182016,233449,228014,216538
37,Total Current Assets,500000,7367933,5669287,1505989,2250901,11733472,8070634,2660607,2979077,2984324,3372115,3702938,2295935,853077,3321343,1408036
38,PP&E,- -,3608778,13031606,15641904,18157053,19310200,23628284,24211455,25782720,32996846,40147924,749517,39648302,41741162,37150207,37142334
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8089154
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8089154
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,54900,247500,158109,2300,- -,- -,- -,- -,- -,- -,2569041,44124878,3831742,3457131,57287,56187
45,Total Non-Current Assets,54900,3856278,13189715,15644204,18157053,19310200,23628284,24211455,25782720,32996846,42716965,44874395,43480044,45198293,37207494,45287675
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,554900,11224211,18859002,17150193,20407954,31043672,31698918,26872062,28761797,35981170,46089080,48577333,45775979,46051370,40528837,46695711
48,Accounts Payable,34200,552534,1298704,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77949,1244860
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,20700,1797,1797,250630,310231,369015,776333,588785,313862,692827,316878,129582,661241,512632,493850,742552
53,Total Current Liabilities,54900,554331,1300501,250630,310231,369015,776333,588785,313862,692827,316878,129582,661241,512632,571799,1987412
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2514000,2728000,1126207,3295725
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,547185,1948000,878000,878000,878000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10735199,- -,- -,400000,- -,- -
58,Total Non-Current Liabilities,- -,547185,1948000,878000,878000,878000,- -,- -,- -,- -,10735199,- -,2514000,3128000,1126207,3295725
59,Other Liabilities,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2514000,2728000,77949,257303
61,Total Liabilities,554900,1101516,3248501,1128630,1188231,1247015,776333,588785,313862,692827,11052077,129582,3175241,3640632,1698006,5283137
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60108689,68250324,75965504
64,Retained Earnings,- -,- -,-1183964,-4139635,-5831366,-9607144,-13646875,-20438546,-24005732,-27908475,-32433478,-37829868,-42713210,-47478840,-58288812,-63814949
65,Other Comprehensive Income/Loss,- -,633000,2251666,-12500,-24500,-15250,-176666,-527820,536370,1987075,5747855,5040805,3474950,5438633,4281828,3821362
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24342256,24587491,25440657
67,Total Stockholders Equity,- -,10122695,15610501,16021563,19219723,29796657,30922585,26283277,28447935,35288343,35037003,48447751,42600738,42410738,38830831,41412574
68,Total Liabilities And Stockholders Equity,554900,11224211,18859002,17150193,20407954,31043672,31698918,26872062,28761797,35981170,46089080,48577333,45775979,46051370,40528837,46695711
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,554900,11224211,18859002,17150193,20407954,31043672,31698918,26872062,28761797,35981170,46089080,48577333,45775979,46051370,40528837,46695711
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-261782,-922182,-2955671,-1337731,-3775778,-3535153,-5600821,-3567186,-3902743,-4525003,-5396390,-4883342,-4765630,-10809972,-5526137
74,Depreciation and Amortization,- -,1068,31148,44192,29425,28316,24785,27510,47673,45073,39060,38809,27182,9740,91338,94935
75,Deferred Income Tax,- -,-153000,-924514,-1024000,- -,-490065,- -,-82073,-444088,-25200,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,219838,363525,442503,650947,809336,594703,641895,419857,420442,723730,578156,74975,405652
77,Change in Working Capital,- -,106492,-602373,-219560,160972,121920,-424308,7817,163468,-157601,-1577,-19193,665188,589577,-82122,424203
78,Accounts Receivable,- -,- -,- -,-34268,34268,- -,-151460,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-18903,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,71093,258528,2300234,-24945,2025371,468443,2000000,800000,- -,991263,835321,394183,770912,7622576,819248
83,Cash Provided by Operating Activities,- -,-236129,-2159393,-1634967,-808754,-1647733,-2815286,-2838231,-2405430,-3398576,-3076400,-4121011,-3073059,-2817245,-3103205,-3782099
84,CAPEX,- -,-966846,-3762595,-1191,-2399735,-27224,-5469481,-3043438,-1555796,-5324154,-6617348,-647694,-318977,-247834,-350661,-724275
85,Acquisitions Net,- -,- -,259407,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-751218,-312830,-10000000,- -,- -,-207185,- -,-841050,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,5020396,5507116,1833697,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,2360904,-1809444,14726,-3206357,- -,-60000,-1349332,1354485,- -,-1921742,- -,- -,- -,-487602
89,Cash Used for Investing Activites,- -,-966846,-1142284,-1810635,-3136227,-3546411,-10449085,2403678,-1071431,-4176854,-6617348,-3410486,-318977,-247834,-350661,-724275
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2967635,-86638
91,Common Stock Issued,- -,8342296,3739719,3185000,4388612,15571023,4226418,468408,5252000,7878126,- -,7305000,- -,1741932,7817970,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-765489,-145846,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-386975,-8091,-160126,-306231,-1254491,- -,- -,- -,860039,10098762,607024,2343500,-281042,957356,2786319
95,Cash Used/Provided by Financing Activities,- -,7955321,3731628,3024874,4082381,14316532,4226418,468408,4486511,8592319,10098762,7912024,2343500,1460890,5807691,2699681
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1808,2039
97,Net Change In Cash,- -,6752346,429951,-420728,137400,9122388,-9037953,33855,1009650,1016889,405014,380527,-1048536,-1604189,2352017,-1804654
98,Cash at the End of Period,- -,7252346,467158,46430,183830,9306218,268265,302120,1311770,2328659,2733673,3114200,2065664,461475,2813492,1008838
99,Cash at the Beginning of Period,- -,500000,37207,467158,46430,183830,9306218,268265,302120,1311770,2328659,2733673,3114200,2065664,461475,2813492
100,Free Cash Flow,- -,-1202975,-5921988,-1636158,-3208489,-1674957,-8284767,-5881669,-3961226,-8722730,-9693748,-4768705,-3392036,-3065079,-3453866,-4506374
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851
