,https://roic.ai/company/EIG,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,208535000,331113000,456655000,496486000,520250000,429923000,396778000,495935000,415604000,464154000,579182000,723581000,773467000,752100000,779800000,799300000,800400000,835900000,711400000,703100000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,43618000,36150000,38468000,45502000,65580000,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,43618000,36150000,38468000,45502000,65580000,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,279000000,241382000,367850000,310532000,372498000,416420000,670000000,667000000,653000000,639000000,650000000,631000000,642000000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,279000000,285000000,404000000,349000000,418000000,482000000,670000000,667000000,653000000,639000000,650000000,631000000,642000000,- -,- -
11,COGS and Expenses,175040000,231171000,350080000,328494000,265958000,279037000,284727000,403637000,349282000,417947000,481638000,670407000,666908000,652700000,639100000,655300000,630900000,642100000,563700000,556100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,2135000,7409000,5693000,3642000,3504000,3246000,3005000,2700000,1600000,1400000,1500000,600000,400000,500000
14,Depreciation and Amortization,- -,- -,- -,2223000,9648000,12836000,7226000,9899000,7098000,6388000,5601000,6080000,6995000,8300000,8500000,8200000,6300000,9000000,8200000,7000000
15,EBITDA,33495000,99942000,106575000,170215000,263940000,163722000,121412000,109606000,79113000,56237000,106649000,62500000,116559000,110400000,150800000,153600000,177300000,203400000,156300000,154500000
16,EBITDA ratio,0.1606,0.3018,0.2334,0.3428,0.5073,0.3808,0.3060,0.2210,0.1904,0.1212,0.1841,0.0864,0.1507,0.1468,0.1934,0.1922,0.2215,0.2433,0.2197,0.2197
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-8470000,1602000,2950000,3820000,59077000,4236000,1293000,413000,649000,452000,307000,939000,308000,200000,600000,800000,1200000,900000,800000,- -
20,Income Before Tax,33495000,99942000,106575000,167992000,254292000,150886000,112051000,92298000,66322000,46207000,97544000,53174000,106559000,99400000,140700000,144000000,169500000,193800000,147700000,147000000
21,Income Before Tax Ratio,0.1606,0.3018,0.2334,0.3384,0.4888,0.3510,0.2824,0.1861,0.1596,0.0996,0.1684,0.0735,0.1378,0.1322,0.1804,0.1802,0.2118,0.2318,0.2076,0.2091
22,Income Tax expense (Gain),834000,3720000,11008000,30394000,82722000,30603000,10266000,9277000,3523000,-2106000,-9347000,-10650000,5875000,5000000,34000000,42800000,28200000,36700000,27900000,27700000
23,Net Income,32661000,96222000,95567000,137598000,171570000,120283000,101785000,83021000,62799000,48313000,106891000,63824000,100684000,94400000,106700000,101200000,141300000,157100000,119800000,119300000
24,Net Income ratio,0.1566,0.2906,0.2093,0.2771,0.3298,0.2798,0.2565,0.1674,0.1511,0.1041,0.1846,0.0882,0.1302,0.1255,0.1368,0.1266,0.1765,0.1879,0.1684,0.1697
25,EPS,0.62,1.83,1.81,2.61,3.21,2.19,2.07,1.81,1.52,1.28,3.40,2.05,3.19,2.94,3.29,3.11,4.30,4.89,4.01,4.21
