,https://roic.ai/company/XCUR,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,1036000,9719000,118000,1296000,16613000,- -
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,17,- -
4,Gross Profit Ratio,- -,- -,- -,- -,0.0000,- -
5,Research and Development Exp.,13659000,14108000,14119000,19340000,32094000,48979000
6,General and Administrative Exp.,3539000,7046000,7818000,8573000,9955000,13087000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3539000,7046000,7818000,8573000,9955000,13087000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,17198000,21154000,21937000,27913000,42049000,62066000
11,COGS and Expenses,17198000,21154000,21937000,27913000,42049000,- -
12,Interest Income ,- -,- -,- -,178000,972000,141000
13,Interest Expense (Gain),724000,795000,672000,786000,573000,1691000
14,Depreciation and Amortization,180000,232000,358000,724000,1447000,1123000
15,EBITDA,-16037000,-11012000,-21383000,-24793000,-22648000,1123000
16,EBITDA ratio,-15.4797,-1.1330,-181.2119,-19.1304,-1.3633,Infinity
17,Operating Income,-16162000,-11435000,-21819000,-26617000,-25436000,- -
18,Operating Income ratio,-15.6004,-1.1766,-184.9068,-20.5378,-1.5311,- -
19,Total Other Income Expenses (Gains),-779000,-604000,-594000,314000,768000,- -
20,Income Before Tax,-16941000,-12039000,-22413000,-26303000,-24668000,-64102000
21,Income Before Tax Ratio,-16.3523,-1.2387,-189.9407,-20.2955,-1.4849,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-16941000,-12039000,-22413000,-26303000,-24668000,-64102000
24,Net Income ratio,-16.3523,-1.2387,-189.9407,-20.2955,-1.4849,-Infinity
25,EPS,-0.43,-0.31,-0.54,-0.31,-0.28,-0.73
26,EPS Diluted,-0.43,-0.31,-0.54,-0.31,-0.28,-0.73
27,Weighted Average Shares Outstanding,39454821,39454821,41189177,86069263,87203588,87227136
28,Weighted Average Shares Outstanding Diluted,39454821,39454821,41189177,86069263,87203588,87227136
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1698530/000169853019000015/0001698530-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1698530/000169853020000013/0001698530-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1698530/000169853021000031/0001698530-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1698530/000169853022000019/0001698530-22-000019-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,19623000,25764000,26268000,48460000,33262000,34644000
32,Short-Term Investments,- -,- -,- -,62326000,48818000,4497000
33,Cash and Short-Term Investments,19623000,25764000,26268000,110786000,82080000,39141000
34,Net Receivables,15000,30000,13000,271000,11000,- -
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,403000,912000,1382000,1719000,4231000,4525000
37,Total Current Assets,20041000,26706000,27663000,112776000,86322000,43666000
38,PP&E,503000,1317000,1061000,2455000,12729000,11877000
