,https://roic.ai/company/CBDS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,220000,226631,182160,172771,183337,152375,- -,7151,11610,29168,317985,505705,1159737,2035283
2,COGS,50000,52095,41810,40629,36264,14386,- -,2425,5787,27321,154451,209871,462940,893482
3,Gross Profit,170000,174536,140350,132142,147073,137989,- -,4726,5823,1847,163534,295834,696797,1141801
4,Gross Profit Ratio,0.7727,0.7701,0.7705,0.7648,0.8022,0.9056,- -,0.6609,0.5016,0.0633,0.5143,0.5850,0.6008,0.5610
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,3712,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,150000,160860,174460,169932,158239,177004,- -,1323415,7303371,2821657,7029678,4163005,2367996,1405191
7,Selling and Marketing Exp.,- -,174,14,- -,- -,- -,- -,- -,- -,- -,- -,- -,195879,- -
8,"Selling, General and Administrative Exp.",150000,161034,174474,169932,158239,177004,- -,1323415,7303371,2821657,7029678,4163005,2563875,3469221
9,Other Expenses,10000,9016,1525,- -,- -,- -,- -,- -,- -,- -,- -,- -,561434,217768
10,Operating Expenses,160000,170050,175999,169932,158239,177004,- -,1327127,7303371,2821657,7029678,4163005,3125309,3686989
11,COGS and Expenses,210000,222145,217809,210561,194503,191390,- -,1329552,7309158,2848978,7184129,4372876,3588249,4580471
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-10000,1981,2543,3754,4651,5094,- -,26497,26871,353464,12704,39429,49608,-60356
14,Depreciation and Amortization,30000,31651,24160,23820,15923,2162,- -,78881,103614,361932,549305,562456,561434,235624
15,EBITDA,30000,36228,-11489,-13970,4757,-36853,- -,-14264354,-7302374,-2417980,-7002075,-3526461,-3325344,-2283276
16,EBITDA ratio,0.1364,0.1599,-0.0631,-0.0809,0.0259,-0.2419,- -,-1994.7356,-628.9728,-82.8984,-22.0201,-6.9734,-2.8673,-1.1218
17,Operating Income,20000,4486,-35649,-37790,-11166,-39015,- -,-14392747,-7297548,-2829570,-7847088,-5040171,-3805105,-2545188
18,Operating Income ratio,0.0909,0.0198,-0.1957,-0.2187,-0.0609,-0.2560,- -,-2012.6901,-628.5571,-97.0094,-24.6775,-9.9666,-3.2810,-1.2505
19,Total Other Income Expenses (Gains),-10000,-1890,-2543,-3754,-4651,-5094,- -,23015,-26871,-325029,35599,130402,-201608,86644
20,Income Before Tax,10000,2596,-38192,-41544,-15817,-44109,- -,-14369732,-7324419,-3154599,-7811489,-4909769,-4006713,-2458544
21,Income Before Tax Ratio,0.0455,0.0115,-0.2097,-0.2405,-0.0863,-0.2895,- -,-2009.4717,-630.8716,-108.1527,-24.5656,-9.7088,-3.4548,-1.2080
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,10000,2596,-38192,-41544,-15817,-44109,- -,-14369732,-7432859,-3133376,-7564084,-4128346,-3936386,-2458544
24,Net Income ratio,0.0455,0.0115,-0.2097,-0.2405,-0.0863,-0.2895,- -,-2009.4717,-640.2118,-107.4251,-23.7875,-8.1635,-3.3942,-1.2080
25,EPS,0.01,0.00,-0.03,-0.03,-0.01,-0.03,- -,-1.14,-0.47,-0.18,-0.38,-0.20,-0.18,-0.09
26,EPS Diluted,0.01,0.00,-0.03,-0.03,-0.01,-0.03,- -,-1.14,-0.47,-0.18,-0.38,-0.20,-0.18,-0.09
27,Weighted Average Shares Outstanding,1300000,1300000,1300000,1300000,1300000,1311233,12573865,12573865,16177539,17866631,19924108,21016230,21664986,25408676
28,Weighted Average Shares Outstanding Diluted,1300000,1300000,1300000,1300000,1300000,1311233,12573865,12573865,16177539,17866631,19924108,21016230,21664986,25408676
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1360442/000082357910000065/0000823579-10-000065-index.html,- -,https://www.sec.gov/Archives/edgar/data/1360442/000144586612000117/0001445866-12-000117-index.html,https://www.sec.gov/Archives/edgar/data/1360442/000144586613000315/0001445866-13-000315-index.html,https://www.sec.gov/Archives/edgar/data/1360442/000144586614000348/0001445866-14-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1360442/000144586615000450/0001445866-15-000450-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1360442/000144586617000585/0001445866-17-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1360442/000144586618000372/0001445866-18-000372-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1360442/000144586620000975/0001445866-20-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1360442/000109690621000807/0001096906-21-000807-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,40000,8068,12718,3925,8028,3210,14863,25994,10356,257746,175857,151946,336107,322107
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,4876,40203,41191,230169,200000,- -,195000
33,Cash and Short-Term Investments,40000,8068,12718,3925,8028,3210,14863,30870,50559,298937,406026,351946,336107,517107
34,Net Receivables,- -,302,- -,- -,- -,- -,- -,- -,4190,2673,3813,10646,4551,2495
35,Inventory,- -,1868,2199,1606,1334,759,3969,17837,24937,9128,8511,5714,- -,56485
36,Other Current Assets,- -,2000,- -,- -,3576,- -,1784,625013,44,158160,1083769,29853,53999,55199
37,Total Current Assets,40000,12238,14917,5531,12938,3969,20616,673720,79730,468898,1502119,398159,394657,631286
38,PP&E,100000,65871,42596,18776,3828,2474,2033,7037,4504,3858,10600,6548,6440,199120
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,247051,3346869,2173869,1837202,1837202
40,Intangible Assets,- -,- -,- -,- -,- -,- -,3782,2999292,2904121,2940968,2853059,2294101,695218,489946
41,Intangible Assets,- -,- -,- -,- -,- -,- -,3782,2999292,2904121,3188019,6199928,4467970,2532420,2327148
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,9760,- -,- -,- -,48000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2728,2728,2728,2728,2728,881,1031,252418,50000,- -,- -,- -,- -
45,Total Non-Current Assets,100000,68599,45324,21504,6556,5202,6696,3007360,3170803,3241877,6210528,4474518,2586860,2526268
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,140000,80837,60241,27035,19494,9171,27312,3681080,3250533,3710775,7712647,4872677,2981517,3157554
48,Accounts Payable,- -,14230,9078,9736,9934,9462,5245,482942,344395,183258,108153,110065,161558,179200
49,Short-Term Debt,- -,1574,1574,- -,- -,60500,- -,- -,- -,- -,- -,- -,- -,1192911
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,90000,10240,34562,45390,55042,17099,32509703,2477753,27427,694609,1390696,1458784,1018520,188369
53,Total Current Liabilities,90000,26044,45214,55126,64976,87061,32514948,2960695,371822,877867,1498849,1568849,1180078,1560480
54,Long-Term Debt,10000,5771,4197,- -,- -,- -,16889,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2623,1049,- -,- -,1000000,- -,- -,- -,- -,640685,15421
58,Total Non-Current Liabilities,10000,5771,4197,2623,1049,- -,16889,1000000,- -,- -,- -,- -,640685,15421
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47312
61,Total Liabilities,100000,31815,49411,57749,66025,87061,32531837,3960695,371822,877867,1498849,1568849,1820763,1575901
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,429,732,732,759,1021,1090
63,Common Stock,- -,1300,1300,1300,1300,1325,7825,15115,17375,18645,20803,21318,22226,27455
64,Retained Earnings,-180000,-178619,-216811,-258355,-274172,-318281,-32545372,-46915104,-54093099,-59226331,-66790415,-70918761,-74855147,- -
65,Other Comprehensive Income/Loss,-110000,-139559,-163719,-187539,-203462,-205624,-856,4876,- -,-4309,188978,- -,-13474,- -
66,Other Total Stockholders Equity,340000,365900,390060,413880,429803,444690,33878,46614604,56953112,61825219,70782434,72971563,74847506,631675
67,Total Stockholders Equity,50000,49022,10830,-30714,-46531,-77890,-32504525,-280509,2877817,2613956,4202532,2074879,2132,660220
68,Total Liabilities And Stockholders Equity,150000,80837,60241,27035,19494,9171,27312,3680186,3249639,3491823,5701381,3643728,1822895,2236121
69,Minority Interest,-10000,- -,- -,- -,- -,- -,- -,894,894,218952,2011266,1228949,1158622,921433
70,Total Liabilities & Equity,140000,80837,60241,27035,19494,9171,27312,3681080,3250533,3710775,7712647,4872677,2981517,3157554
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1360442/000082357910000065/0000823579-10-000065-index.html,- -,https://www.sec.gov/Archives/edgar/data/1360442/000144586612000117/0001445866-12-000117-index.html,https://www.sec.gov/Archives/edgar/data/1360442/000144586613000315/0001445866-13-000315-index.html,https://www.sec.gov/Archives/edgar/data/1360442/000144586614000348/0001445866-14-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1360442/000144586615000450/0001445866-15-000450-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1360442/000144586617000585/0001445866-17-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1360442/000144586618000372/0001445866-18-000372-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1360442/000144586620000975/0001445866-20-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1360442/000109690621000807/0001096906-21-000807-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
