,https://roic.ai/company/AKTX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,247000,841000,1018000,1276000,6417000,5799080,17306000,23285280,11795380,16646630,8820204
6,General and Administrative Exp.,545000,1406000,734000,2330000,3760000,5502210,9940560,11798910,10896160,8223700,9160770
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",545000,1406000,734000,2330000,3760000,5502210,9940560,11798910,10896160,8223700,9160770
9,Other Expenses,- -,- -,- -,- -,- -,- -,-2,-1,-6,-7907210,- -
10,Operating Expenses,792000,2247000,1752000,3606000,10177000,11301290,27246558,35084189,22691534,16963120,17980974
11,COGS and Expenses,792000,2247000,1752000,3606000,10177000,53557710,27246560,37784190,19991530,16963120,17980974
12,Interest Income ,122000,- -,440000,- -,- -,20705,143195,175393,222256,5531,13615
13,Interest Expense (Gain),5000,- -,1041000,202000,- -,3053948,9149530,2398330,3542670,-122370,- -
14,Depreciation and Amortization,- -,- -,2000,2000,8000,10162,39944,42400,35848,19205,8907
15,EBITDA,-792000,-2384000,-1750000,-3651000,-10189000,-53547550,-27206620,-37741790,-19955680,-16943910,-18879816
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-792000,-2247000,-3667000,-3606000,-10177000,-30584570,-27246558,-37784189,-19991534,-16963120,-17980974
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),117000,128000,2232000,-14000,529000,-14732960,9105558,2384929,3524754,-142670,899357
20,Income Before Tax,-675000,-2119000,-1435000,-3620000,-9648000,-45317530,-18141000,-35399260,-16466780,-17105790,-17081617
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-675000,-2119000,-1435000,-3620000,-9648000,-45317530,-18141000,-35399260,-16466780,-17105790,-17081617
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-5.05,-15.85,-13.00,-17.00,-18.00,-5.00,-2.00,-3.00,-1.26,-0.97,-0.56
26,EPS Diluted,-5.05,-15.85,-13.00,-17.00,-18.00,-5.00,-2.00,-3.00,-1.26,-0.97,-0.56
27,Weighted Average Shares Outstanding,133698,133698,109466,210751,541166,8520885,11776934,12472934,15806934,22458659,22458659
28,Weighted Average Shares Outstanding Diluted,133698,133698,109466,210751,542713,8520885,11776934,12472934,15806934,22458659,31590376
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1541157/000114420416089697/0001144204-16-089697-index.html,https://www.sec.gov/Archives/edgar/data/1541157/000114420417018167/0001144204-17-018167-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1541157/000110465920040722/0001104659-20-040722-index.html,https://www.sec.gov/Archives/edgar/data/1541157/000110465921052672/0001104659-21-052672-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6000,1104000,7657000,6216000,68920000,34100000,28110000,5446140,5731690,14055777
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,10020000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,6000,1104000,7657000,6216000,68920000,44120000,28110000,5446140,5731690,14055777
34,Net Receivables,- -,21000,14000,175000,73000,10000,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,142000,730000,1510000,700000,2008180,1034930,521880
37,Total Current Assets,- -,27000,1118000,7832000,6431000,69660000,45630000,28810000,7454320,6766620,14577657
38,PP&E,- -,- -,2000,- -,49000,40000,60000,60000,20430,5010,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,50000,40000,40000,32980,30160,27150
41,Intangible Assets,- -,- -,- -,- -,- -,50000,40000,40000,32980,30160,27150
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,140000,140000,140000,521820,10,- -
45,Total Non-Current Assets,- -,- -,2000,- -,49000,230000,240000,240000,575230,35180,27150
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,27000,1120000,7832000,6480000,69890000,45870000,29050000,8029550,6801800,14604807
48,Accounts Payable,- -,1379000,1697000,652000,1007000,4320000,2210000,1970000,1586290,1228770,3380782
49,Short-Term Debt,- -,- -,898000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,857000,1255000,579000,352000,16800000,9500000,9880000,3331980,7345490,1839706
53,Total Current Liabilities,- -,2236000,3850000,1231000,1359000,21120000,11710000,11850000,4918270,8574260,5220488
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,276000,630000,787000,268000,50000,60000,50000,- -,- -,- -
58,Total Non-Current Liabilities,- -,276000,630000,787000,268000,50000,60000,50000,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,2512000,4480000,2018000,1627000,21170000,11770000,11900000,4918270,8574260,5220488
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,225000,245000,675000,927000,18340000,18340000,22930000,23651280,31987020,384733
64,Retained Earnings,- -,-12621000,-16922000,-20542000,-30190000,-56800000,-74940000,-110340000,-126803650,-143909440,-182280811
65,Other Comprehensive Income/Loss,- -,-9000,-11000,-10000,-18000,156480,-280097,-236246,-352426,-348860,-648065
66,Other Total Stockholders Equity,- -,9920000,13328000,25691000,34134000,87023045,90982647,104800217,106616083,110498822,191928462
67,Total Stockholders Equity,- -,-2485000,-3360000,5814000,4853000,48719525,34102550,17153971,3111287,-1772458,9384319
68,Total Liabilities And Stockholders Equity,- -,27000,1120000,7832000,6480000,69889525,45872550,29053971,8029557,6801802,14604807
69,Minority Interest,- -,- -,- -,- -,- -,475,-2550,-3971,-7,-2,- -
70,Total Liabilities & Equity,- -,27000,1120000,7832000,6480000,69890000,45870000,29050000,8029550,6801800,14604807
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1541157/000114420416089697/0001144204-16-089697-index.html,https://www.sec.gov/Archives/edgar/data/1541157/000114420417018167/0001144204-17-018167-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1541157/000110465920040722/0001104659-20-040722-index.html,https://www.sec.gov/Archives/edgar/data/1541157/000110465921052672/0001104659-21-052672-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-675000,-2119000,-1435000,-3620000,-9648000,-45317530,-18141000,-35399260,-16466780,-17105790,-17081617
74,Depreciation and Amortization,- -,- -,2000,2000,8000,10162,39944,42400,35848,19205,8907
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,2989000,2857000
76,Stock Based Compensation,- -,140000,514000,94000,468000,1789866,3933222,2734946,1649044,1047387,325523
77,Change in Working Capital,404000,1091000,2036000,-1640000,263000,4672430,-1450369,811273,-4454722,3090612,-55629
78,Accounts Receivable,-14000,4000,7000,-161000,102000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,237000,612000,627000,-1045000,351000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,33000,3469,7291,- -,- -,- -,- -
82,Other Non-Cash Items,-95000,-120000,-3251000,-286000,-552000,33879489,-9006332,211932,-3343630,-2958727,-3004592
83,Cash Provided by Operating Activities,-366000,-1008000,-2134000,-5450000,-9461000,-4965583,-24624535,-31598709,-22580240,-12918313,-16950408
84,CAPEX,- -,- -,- -,- -,-57000,-10560,-54750,-36885,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,1410577,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-142000,- -,-46120172,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,36098209,10021963,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-8219,10081,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-199000,1391798,-10066632,9985078,- -,- -,- -
90,Debt Repayment,- -,- -,- -,-1100000,- -,-3561239,- -,- -,- -,- -,- -
91,Common Stock Issued,372000,1005000,2342000,13103000,8219000,75000000,- -,17400000,306232,12647953,25046461
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,890000,- -,- -,-2394342,- -,-1728119,- -,- -,27500
95,Cash Used/Provided by Financing Activities,372000,1005000,3232000,12003000,8219000,69044419,- -,15671881,306232,12647953,25073961
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,121893,-130016,-50391,-6931,34084,200533
97,Net Change In Cash,6000,-3000,1098000,6553000,-1441000,65592527,-34821183,-5992141,-22280939,-236276,8324086
98,Cash at the End of Period,9000,6000,1104000,7657000,6216000,68919995,34098812,28106671,5967967,5731691,14055777
99,Cash at the Beginning of Period,3000,9000,6000,1104000,7657000,3327468,68919995,34098812,28248906,5967967,5731691
100,Free Cash Flow,-366000,-1008000,-2134000,-5450000,-9518000,-4976143,-24679285,-31635594,-22580240,-12918313,-16950408
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1541157/000114420416089697/0001144204-16-089697-index.html,https://www.sec.gov/Archives/edgar/data/1541157/000114420417018167/0001144204-17-018167-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1541157/000110465920040722/0001104659-20-040722-index.html,https://www.sec.gov/Archives/edgar/data/1541157/000110465921052672/0001104659-21-052672-index.htm
102,false,,,,,,,,,,,
