,https://roic.ai/company/ALRT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,458618,182006,364328,47696,175820,364179,318991,242571,200000,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000
2,COGS,388903,111994,194320,35142,287471,202495,72251,49049,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000
3,Gross Profit,69715,70012,170008,12554,-111651,161684,246740,193522,170000,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000
4,Gross Profit Ratio,0.1520,0.3847,0.4666,0.2632,-0.6350,0.4440,0.7735,0.7978,0.8500,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6250
5,Research and Development Exp.,61318,145622,41393,165973,173828,199207,438374,524042,270000,410000,260000,250000,340000,690000,340000,488836,522920,565800,416300,408640,1625080,- -,499000
6,General and Administrative Exp.,1015522,2023528,1609261,- -,- -,- -,- -,- -,- -,755907,815482,124108,970260,973181,1334130,293054,217454,108275,649986,1774616,2119325,2392984,881000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,658515,242425,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1015522,2023528,1609261,- -,- -,- -,- -,- -,- -,755907,815482,124108,1628775,1215606,1334130,293054,217454,108275,649986,1774616,2119325,2392984,881000
9,Other Expenses,12116,4995,2963,1004411,1047460,941938,717614,1287146,786441,-48756,5839,458762,-1242,1744,949,1039726,836754,354952,4,- -,-5,- -,- -
10,Operating Expenses,1088956,2174145,1653617,1170384,1221288,1141145,1155988,1811188,1056441,1117151,1081321,832870,1967533,1907350,1675079,1821616,1577128,1029027,1066290,2183256,3744400,- -,1380000
