,https://roic.ai/company/UTGN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,49869084,46976370,43992330,40885400,36057111,35747123,33365332,30170044,26488358,25466879,27471340,6336297,38872572,35239280,28758780,38443357,34963505,44834295,34365748,43624828,28767951,27837233,28734143,41273187,44195440,27387739,35613377
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744850,714970
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44834295,34365748,43624828,28767951,27837233,28734143,41273187,44195440,26642889,34898407
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9728,0.9799
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8843596,7442588,8902568,6867882,7561326,7213590,7093227,7397953,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7231903,7042585,8030984,8389781,9604668,8716167,10776690,8916771,7288133,7854301,8531113,8006748,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273193,- -,- -,- -,7870909,6400560
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9604668,8716167,10776690,8916771,7561326,7854301,8531113,8006748,7870909,6400560
11,COGS and Expenses,61244904,53801505,44105332,47002580,34201558,36454192,29173170,27927456,35806902,26334818,25571727,5901790,34798509,34018147,34254863,27782200,27194559,9604668,8716167,10776690,8916771,7561326,7854301,8531113,8006748,24830683,7115530
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1966776,1731309,1816491,2198773,637647,376924,326499,263441,162179,77453,- -,70463,1391427,906412,484449,304353,260540,296868,702959,677079,68876,- -,- -,- -,- -,- -,4051
14,Depreciation and Amortization,980968,575636,624854,584364,597771,505221,526216,571037,8149136,3928631,4678007,4877708,5477158,1093746,1430501,1311029,1412661,1242149,1260697,1303829,814336,698374,701809,1067297,1039453,1697285,210665
15,EBITDA,-4624529,-3334699,2868326,-2520387,3001781,-43064,4473421,2813451,-784668,2932751,6096638,8998961,9394401,3569107,-2676042,11490202,9255478,16980835,6614592,13107577,1156536,2532580,4004942,17365950,20901531,4126385,12039549
16,EBITDA ratio,-0.0927,-0.0710,0.0652,-0.0616,0.0833,-0.0012,0.1341,0.0933,-0.0296,0.1152,0.2219,1.4202,0.2417,0.1013,-0.0931,0.2989,0.2647,0.3787,0.1925,0.3005,0.0402,0.0910,0.1394,0.4208,0.4729,0.1507,0.3381
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28497847
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8002
19,Total Other Income Expenses (Gains),-1966776,-1731309,774884,-2198773,477325,-376924,-326499,-263441,-162179,-77453,- -,- -,-1391427,- -,- -,- -,2055502,-7622130,-6985989,2311646,-7104811,- -,- -,- -,- -,-16085089,-16673014
20,Income Before Tax,-11375820,-6825135,-113002,-6117180,1855553,-707069,4192162,2242588,-9318544,-867939,1899613,434507,4074063,1221133,-5496083,10661157,7768946,7819688,-2335053,13438315,-6831487,2122466,3306116,16507830,20187221,2557056,11824833
21,Income Before Tax Ratio,-0.2281,-0.1453,-0.0026,-0.1496,0.0515,-0.0198,0.1256,0.0743,-0.3518,-0.0341,0.0691,0.0686,0.1048,0.0347,-0.1911,0.2773,0.2222,0.1744,-0.0679,0.3080,-0.2375,0.0762,0.1151,0.4000,0.4568,0.0934,0.3320
22,Income Tax expense (Gain),-4571028,-4703741,986229,-4624032,690454,-228783,1181133,479355,-2699493,-797716,158408,181070,383197,915195,-300745,2278245,1265662,5494382,780924,1082927,-932715,666181,-1507016,3907536,3591301,340494,2069673
23,Net Income,-3001245,-937903,-559248,-679492,1075909,-696426,2439573,1499618,-6396490,-275617,1260223,3869720,2142619,653754,-4290247,7596575,6316615,9947436,3870012,10043742,1206039,1168025,4810149,12391117,16270777,2088606,9755160
24,Net Income ratio,-0.0602,-0.0200,-0.0127,-0.0166,0.0298,-0.0195,0.0731,0.0497,-0.2415,-0.0108,0.0459,0.6107,0.0551,0.0186,-0.1492,0.1976,0.1807,0.2219,0.1126,0.2302,0.0419,0.0420,0.1674,0.3002,0.3682,0.0763,0.2739
25,EPS,-1.60,-0.50,-0.32,-0.39,0.38,-0.17,0.65,0.43,-1.67,-0.07,0.32,1.00,0.56,0.17,-1.12,1.97,1.65,2.43,0.86,1.86,0.25,0.33,1.44,3.75,4.95,0.65,3.02
26,EPS Diluted,-1.60,-0.50,-0.32,-0.39,0.38,-0.17,0.65,0.37,-1.67,-0.07,0.32,1.00,0.56,0.17,-1.12,1.97,1.65,2.43,0.86,1.86,0.25,0.33,1.44,3.75,4.95,0.65,3.02
27,Weighted Average Shares Outstanding,1866851,1869511,1772870,1726843,2839703,4056439,3733432,3505424,3839947,3986731,3938781,3872425,3851596,3844081,3843113,3848079,3824444,3809639,3787913,3750239,3704322,3537394,3346774,3307448,3285813,3233773,3233773
28,Weighted Average Shares Outstanding Diluted,1866851,1869511,1772870,1726843,2839934,4056439,3733432,4005424,3839947,3986731,3938781,3872425,3851596,3844081,3843113,3848079,3824444,3809639,3787913,3750239,3704322,3537394,3346774,3307448,3285813,3233773,3233773
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832480/000083248013000004/0000832480-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248014000004/0000832480-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248015000006/0000832480-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248016000038/0000832480-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248017000005/0000832480-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248018000008/0000832480-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248019000006/0000832480-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248020000005/0000832480-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248021000005/0000832480-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248022000005/0000832480-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,24050485,8749727,11859472,12204087,8472553,17746468,39995875,37492843,18483452,82925675,23321246,19838618,13977443,11822615,15156548,25434199,20150162,28787629,39025754,30787278
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,377676,34677,39489,42116,47879,933967,- -,700000,- -,- -,362884071,344270501,331959457,317506620,341612292,333785901,335253105,352511442,165779997,39748261
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,24428161,8784404,11898961,12246203,8520432,18680435,39995875,38192843,18483452,82925675,386205317,364109119,345936900,329329235,356768840,359220100,355403267,381299071,204805751,70535539
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,245132,212197,36563781,36077018,79030907,78107875,422915,500305,- -,281636,2444790,2432939,2662865,2821338,2872850,19004016,23717312,19487458,46938304,975373
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
