,https://roic.ai/company/MCHX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,10070507,19892158,43804272,94995847,127759475,139390659,146374922,93261201,97565607,146726000,138305000,152550000,182644000,143013000,129547000,90291000,85251000,106132000,51218000,53476000
2,COGS,6334173,- -,- -,58916183,60433611,70901141,66022359,47632864,57557213,81835000,80594000,91858000,114581000,78767000,76970000,49339000,47804000,56537000,20888000,21694000
3,Gross Profit,3736334,- -,- -,36079664,67325864,68489518,80352563,45628337,40008394,64891000,57711000,60692000,68063000,64246000,52577000,40952000,37447000,49595000,30330000,31782000
4,Gross Profit Ratio,0.3710,- -,- -,0.3798,0.5270,0.4913,0.5490,0.4893,0.4101,0.4423,0.4173,0.3978,0.3727,0.4492,0.4059,0.4536,0.4393,0.4673,0.5922,0.5943
5,Research and Development Exp.,811673,1291422,2291430,4465763,10094967,12018010,17485518,14477906,16804032,22794000,23395000,27346000,29561000,31058000,28446000,18094000,15423000,20127000,21001000,16112000
6,General and Administrative Exp.,976881,- -,36866045,8336380,36583869,42740472,51604744,16049461,17506440,22709000,22911000,19385000,20923000,18510000,21754000,13567000,10881000,13516000,12796000,9294000
7,Selling and Marketing Exp.,1821237,- -,- -,- -,- -,- -,- -,17890196,13530198,15434000,13671000,11182000,12251000,16462000,22307000,15652000,13788000,16651000,16656000,13549000
8,"Selling, General and Administrative Exp.",2798118,- -,36866045,8336380,36583869,42740472,51604744,33939657,31036638,38143000,36582000,30567000,33174000,34972000,44061000,29219000,24669000,30167000,29452000,22843000
9,Other Expenses,364693,- -,5165463,18428011,20095168,16647272,186548352,-42140014,2728493,5455000,4728000,2926000,434000,- -,- -,- -,781000,6263000,5331000,4481000
10,Operating Expenses,3974484,- -,44322938,31230154,66774004,71405754,255638614,6277549,50569163,66392000,64705000,60839000,63169000,66030000,72507000,47313000,40873000,56557000,55784000,43436000
11,COGS and Expenses,10308657,23219881,44322938,90146337,127207615,142306895,321660973,53910413,108126376,148227000,145299000,152697000,177750000,144797000,149477000,96652000,88677000,113094000,76672000,65130000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,60443,76162,141000,14000,15000,2000,21000,67000,302000,1054000,752000,123000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,98539,107209,604000,438000,76000,76000,76000,109000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,214562,3337108,5659300,22713193,26537080,26170077,26537080,11703791,7693840,9473000,8457000,6683000,4105000,3661000,3194000,2791000,2598000,8167000,7248000,5970000
15,EBITDA,-18097,83444,4960148,29541462,30383644,25625210,-147272905,8215536,4140763,15649000,-9744000,10331000,9368000,30485000,-80709000,-3254000,-236000,2404000,-32143000,1812000
16,EBITDA ratio,-0.0018,0.0042,0.1132,0.3110,0.2378,0.1838,-1.0061,0.0881,0.0424,0.1067,-0.0705,0.0677,0.0513,0.2132,-0.6230,-0.0360,-0.0028,0.0227,-0.6276,0.0339
17,Operating Income,-238150,-3327723,-1017746,4849510,551860,-3037360,-175286051,39350788,-10560769,6030000,-18190000,2749000,4962000,-507000,-83897000,-6361000,-3888000,-6515000,-44058000,-11796000
18,Operating Income ratio,-0.0236,-0.1673,-0.0232,0.0510,0.0043,-0.0218,-1.1975,0.4219,-0.1082,0.0411,-0.1315,0.0180,0.0272,-0.0035,-0.6476,-0.0704,-0.0456,-0.0614,-0.8602,-0.2206
19,Total Other Income Expenses (Gains),5491,74059,318594,1978759,3143363,2492493,1476066,-42937582,6900483,-458000,-449000,-37000,-62000,-63000,-115000,316000,1054000,752000,123000,7638000
20,Income Before Tax,-232659,-3253664,-699152,6828269,3695223,-544867,-173809985,-3586794,-3660286,5572000,-18639000,2712000,4900000,-570000,-84012000,-6045000,-2834000,-5763000,-43935000,-4158000
21,Income Before Tax Ratio,-0.0231,-0.1636,-0.0160,0.0719,0.0289,-0.0039,-1.1874,-0.0385,-0.0375,0.0380,-0.1348,0.0178,0.0268,-0.0040,-0.6485,-0.0670,-0.0332,-0.0543,-0.8578,-0.0778
22,Income Tax expense (Gain),-142876,-1084312,33941,2920463,4290201,960401,-45946357,-1524790,-616989,2613000,16557000,1755000,24277000,27000,54000,42000,-156000,-1721000,-945000,232000
23,Net Income,-89783,-2169352,-733093,3907806,-443637,-1505268,-127863628,-2062004,-3043297,2959000,-35196000,1817000,-19090000,26721000,-84066000,-6087000,-2678000,-4042000,-38446000,-4390000
24,Net Income ratio,-0.0089,-0.1091,-0.0167,0.0411,-0.0035,-0.0108,-0.8735,-0.0221,-0.0312,0.0202,-0.2545,0.0119,-0.1045,0.1868,-0.6489,-0.0674,-0.0314,-0.0381,-0.7506,-0.0821
25,EPS,-0.01,-0.26,-0.05,0.04,0.07,-0.04,-3.51,-0.07,-0.10,0.08,-1.05,0.05,-0.48,0.65,-2.01,-0.15,-0.06,-0.09,-0.83,-0.10
26,EPS Diluted,-0.01,-0.26,-0.05,0.04,-0.04,-0.04,-3.51,-0.07,-0.10,0.08,-1.05,0.05,-0.48,0.65,-2.01,-0.15,-0.06,-0.09,-0.83,-0.10
27,Weighted Average Shares Outstanding,13446542,13259747,22087503,34564790,38261884,38937697,36432005,33714251,32653521,33286000,33986000,35614000,40010000,41168000,41740000,42713000,42445000,45460000,46220000,43917000
28,Weighted Average Shares Outstanding Diluted,24891913,13259747,22087503,36907633,39500123,38937697,47395729,44598508,43314128,45246000,43560000,45815000,45863000,46401000,46930000,47769000,47502000,50253000,50921000,48578000
