,https://roic.ai/company/MINM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,14458803,10740488,13298132,12672311,14691186,11241164,11901339,10790342,17834237,29417990,32323482,37614456,47988549,55422526
2,COGS,11467187,7739310,9018434,9369299,11056893,8139084,8409665,7388075,12467080,19176612,20679116,26708653,34382314,37892947
3,Gross Profit,2991616,3001178,4279698,3303012,3634293,3102080,3491674,3402267,5367157,10241378,11644366,10905803,13606235,17529579
4,Gross Profit Ratio,0.2069,0.2794,0.3218,0.2606,0.2474,0.2760,0.2934,0.3153,0.3009,0.3481,0.3602,0.2899,0.2835,0.3163
5,Research and Development Exp.,1720677,1373950,1128288,1008482,1154810,919722,1132791,1342081,1522510,1944690,1771887,2237416,3828223,6164362
6,General and Administrative Exp.,2280346,2382146,1247411,1172045,1252654,1316402,1052326,1229198,1541249,1433499,1648748,2666876,5443529,4889702
7,Selling and Marketing Exp.,2932449,1855961,1991494,2064022,1906711,1572632,1446110,1571256,5187849,7244514,8171052,9222737,9154685,13747959
8,"Selling, General and Administrative Exp.",5212795,4238107,3238905,3236067,3159365,2889034,2498436,2800454,6729098,8678013,9819800,11889613,14598214,18637661
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,831000,- -,- -,- -,- -
10,Operating Expenses,6933472,5612057,4367193,4244549,4314175,3808756,3631227,4142535,8251608,11453703,11591687,14127029,18426437,24802023
11,COGS and Expenses,18400659,13351367,13385627,13613848,15371068,11947840,12040892,11530610,20718688,30630315,32270803,40835682,52808751,62694970
12,Interest Income ,54081,4038,552,2315,112,39,33,444,254,100,285,13975,1081,44169
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,72360,54452,98757,78396,48404,48552,270407
14,Depreciation and Amortization,87774,59536,26428,23546,14082,9777,9048,121027,544694,500078,365076,608305,372175,1103
15,EBITDA,-4058961,-2511893,296395,-844438,-714868,-1051263,138614,-632386,-2326924,-753504,394993,-2594226,-3410972,-3251457
16,EBITDA ratio,-0.2807,-0.2339,0.0223,-0.0666,-0.0487,-0.0935,0.0116,-0.0586,-0.1305,-0.0256,0.0122,-0.0690,-0.0711,-0.0587
17,Operating Income,-3600943,-2610879,-87495,-941537,-679882,-706676,-139553,-740268,-2884451,-1212325,52679,-3221226,-4820202,-7272444
18,Operating Income ratio,-0.2490,-0.2431,-0.0066,-0.0743,-0.0463,-0.0629,-0.0117,-0.0686,-0.1617,-0.0412,0.0016,-0.0856,-0.1004,-0.1312
19,Total Other Income Expenses (Gains),-545792,39450,357462,73553,-49068,-354364,269119,-85505,-41619,-140014,-101158,-29709,988503,3749477
20,Income Before Tax,-4146735,-2571429,269967,-867984,-728950,-1061040,129566,-825773,-2926070,-1352339,-48479,-3250935,-3831699,-3522967
21,Income Before Tax Ratio,-0.2868,-0.2394,0.0203,-0.0685,-0.0496,-0.0944,0.0109,-0.0765,-0.1641,-0.0460,-0.0015,-0.0864,-0.0798,-0.0636
22,Income Tax expense (Gain),12919,5104,1782,2070,3392,3944,7080,7363,7070,14660,25798,24865,26716,63773
23,Net Income,-4159654,-2576533,268185,-870054,-732342,-1064984,122486,-833136,-2933140,-1366999,-74277,-3275800,-3858415,-3586740
24,Net Income ratio,-0.2877,-0.2399,0.0202,-0.0687,-0.0498,-0.0947,0.0103,-0.0772,-0.1645,-0.0465,-0.0023,-0.0871,-0.0804,-0.0647
25,EPS,-2.14,-1.27,0.12,-0.14,-0.11,-0.13,0.02,-0.09,-0.21,-0.09,-0.00,-0.18,-0.15,-0.14
26,EPS Diluted,-2.14,-1.27,0.12,-0.14,-0.11,-0.13,0.02,-0.09,-0.21,-0.09,-0.00,-0.18,-0.15,-0.14
27,Weighted Average Shares Outstanding,1948925,2042159,2154468,5856577,7270764,7676317,8322700,9471000,13908000,14917000,15957000,18051000,25301000,25301000
28,Weighted Average Shares Outstanding Diluted,1948925,2042159,2161616,5856577,7270764,7676317,8322700,9471000,13908000,14917000,15957000,18051000,25301000,25301000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467761/000114036121015017/0001140361-21-015017-index.htm,https://www.sec.gov/Archives/edgar/data/1467761/000149315222008365/0001493152-22-008365-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1204984,1223507,1009996,644365,195704,55393,137637,1846704,179846,229218,125982,1216893,771757,12570445
32,Short-Term Investments,- -,- -,328704,82280,44000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1204984,1223507,1338700,726645,239704,55393,137637,1846704,179846,229218,125982,1216893,771757,12570445
34,Net Receivables,1162921,1199581,1245557,1399046,1966334,1674812,1811006,1079145,2498259,2229512,2760606,4070576,9203334,4880663
35,Inventory,2902979,1586079,2713616,2722783,2630386,1714081,1724507,2784610,4926612,5202303,7927678,7440350,16504840,32503214
36,Other Current Assets,234428,223891,172971,185348,261688,225152,270263,381205,652402,578406,918585,419738,1199119,1087885
37,Total Current Assets,5505312,4233058,5470844,5033822,5098112,3669438,3943413,6091664,8257119,8239439,11732851,13147557,27679050,51042207
38,PP&E,102491,57787,43070,20168,26045,51025,67142,205132,175743,161574,261476,405816,542014,241626
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58872,58872
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388629,262698
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447501,321570
42,Investments,960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,166144,- -,- -,- -,- -,- -,573049,588907,391668,222160,349335,942404,1307556
45,Total Non-Current Assets,1062491,223931,43070,20168,26045,51025,67142,778181,764650,553242,483636,755151,1931919,1870752
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6567803,4456989,5513914,5053990,5124157,3720463,4010555,6869845,9021769,8792681,12216487,13902708,29610969,52912959
48,Accounts Payable,1210970,1014979,911299,1058942,931607,693546,726627,1423503,2502323,3526851,4369309,5024529,11744834,12458246
49,Short-Term Debt,- -,- -,- -,- -,910807,318318,840585,- -,1306620,90260,1741272,- -,2573122,143486
