,https://roic.ai/company/GBT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,2108000,123803000,194749000
2,COGS,- -,- -,- -,- -,- -,- -,48000,1986000,3316000
3,Gross Profit,- -,- -,- -,- -,- -,- -,2060000,121817000,191433000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.9772,0.9840,0.9830
5,Research and Development Exp.,12855000,16324000,36657000,61212000,87807000,131307000,174556000,155122000,212135000
6,General and Administrative Exp.,2309000,3855000,9671000,21915000,31438000,51435000,117088000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2309000,3855000,9671000,21915000,31438000,51435000,117088000,- -,266988000
9,Other Expenses,- -,- -,65000,- -,- -,- -,- -,210851000,- -
10,Operating Expenses,15164000,20179000,46393000,83127000,119245000,182742000,291644000,365973000,479123000
11,COGS and Expenses,15663000,20511000,46393000,83127000,119245000,182742000,291692000,367959000,482439000
12,Interest Income ,2000,1000,33000,- -,- -,- -,- -,5834000,720000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,9809000,15467000
14,Depreciation and Amortization,534000,666000,873000,1235000,1658000,4607000,9932000,10823000,8616000
15,EBITDA,-15129000,-19845000,-45520000,-81892000,-117587000,-178135000,-256834000,-226921000,-278531000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-121.8378,-1.8329,-1.4302
17,Operating Income,-15663000,-20511000,-46393000,-83127000,-119245000,-182742000,-281283000,-243172000,-287690000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-133.4360,-1.9642,-1.4772
19,Total Other Income Expenses (Gains),-2453000,-296000,33000,659000,2221000,8549000,14517000,-4381000,-14924000
20,Income Before Tax,-18116000,-20807000,-46360000,-82468000,-117024000,-174193000,-266766000,-247553000,-302614000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-126.5493,-1.9996,-1.5539
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,477000
23,Net Income,-18116000,-20807000,-46360000,-82468000,-117024000,-174193000,-266766000,-247553000,-303091000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-126.5493,-1.9996,-1.5563
