,https://roic.ai/company/ELTP,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,200000,10315,95246,1197507,630310,258250,301480,550697,1143841,1413119,2274825,3344298,4265963,2424118,3403525,4601376,5015246,12498332,9637715,7458711,7568508,17994639,25380749
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,831250,1024511,1464568,2305763,2675118,1013674,2315154,3236106,3013592,4484162,5898405,3511123,4700978,10015855,13513611
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,312591,388608,810257,1038535,1590845,1410444,1088371,1365270,2001654,8014170,3739310,3947588,2867530,7978784,11867138
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.2733,0.2750,0.3562,0.3105,0.3729,0.5818,0.3198,0.2967,0.3991,0.6412,0.3880,0.5293,0.3789,0.4434,0.4676
5,Research and Development Exp.,1300000,1988649,1475487,1609108,2013579,2075074,2698641,4343890,6085888,5795779,3631425,794433,1385211,1735689,975250,3959316,14727472,12428783,8301693,9621365,7599820,5532462,5112542
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1559334,2188672,3164159,3236540,2441181,2577042,3219915,3411935,3336226
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1559334,2188672,3164159,3236540,2441181,2577042,3219915,3411935,3336226
9,Other Expenses,700000,1071026,971156,1030606,- -,- -,- -,- -,2974501,2959696,3569154,2180424,1091394,1640893,116921,500906,616995,665647,352369,800460,1206495,1319795,1313847
10,Operating Expenses,2000000,3059675,2446643,2639714,- -,- -,- -,- -,9060389,8755475,7200579,2974857,2476605,3376582,2651505,6648894,18508626,16330970,11095243,12998867,12026230,10264192,9762615
11,COGS and Expenses,2000000,3059675,2446643,2639714,4182524,4957756,5214749,6557203,9891639,9779986,8665147,5280620,5151723,4390256,4966659,9885000,21522218,20815132,16993648,16509990,16727208,20280047,23276226
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40917,1064,- -,- -,- -,- -,- -,- -,12620,17510,21461,11979,514
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252183,261401,1491225,654057,392964,899916,287231,280670,238223,335498,369173,355874,259598
14,Depreciation and Amortization,100000,86290,194038,266919,310876,332836,356438,486687,439994,413701,500817,508610,483473,484151,423340,453746,581855,666461,714530,996406,1256917,1510601,1524591
15,EBITDA,-1600000,-2889902,-14134904,-1642996,-3821820,-6180381,-5549452,-6396227,-11361748,-13476239,-5848588,-7286863,-11908874,-14404018,1950514,-95514220,29795512,-256333,4763934,-2341268,-7653231,-371876,5928703
16,EBITDA ratio,-8.0000,-280.1650,-148.4042,-1.3720,-6.0634,-23.9318,-18.4074,-11.6148,-9.9330,-9.5365,-2.5710,-2.1789,-2.7916,-5.9420,0.5731,-20.7578,5.9410,-0.0205,0.4943,-0.3139,-1.0112,-0.0207,0.2336
17,Operating Income,-1800000,-3049360,-2351397,-1442207,-3552214,-4699506,-4913269,-6006506,-8747798,-8366867,-6390322,-1936321,-885760,-1966138,-1563133,-5283624,-16506971,-8316800,-7355933,-9051279,-9158700,-2285408,2104523
18,Operating Income ratio,-9.0000,-295.6238,-24.6876,-1.2043,-5.6357,-18.1975,-16.2972,-10.9071,-7.6477,-5.9209,-2.8091,-0.5790,-0.2076,-0.8111,-0.4593,-1.1483,-3.2914,-0.6654,-0.7632,-1.2135,-1.2101,-0.1270,0.0829
19,Total Other Income Expenses (Gains),- -,73168,-11977545,-467708,-580482,-1813711,-992621,-876408,-3064144,-2543473,-211266,-6120553,-12997810,-13576088,2697343,-91584258,45433397,7113336,9299500,4332278,-796637,47057,2039991
20,Income Before Tax,- -,-2976192,-14328942,-1909915,-4132696,-6513217,-5905890,-6882914,-11811942,-10910340,-6601588,-8056874,-13883570,-15542226,1134210,-96867882,28926426,-1203464,1943567,-4719001,-9955337,-2238351,4144514
