,https://roic.ai/company/EML,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,75400000,71700000,63000000,73400000,72100000,64200000,56600000,60100000,59700000,66000000,59700000,58000000,- -,67400000,71000000,88400000,83700000,81300000,- -,88300000,109107290,138500000,156300000,- -,135900000,112700000,142856049,157500000,142500000,- -,140825360,137608258,204239610,234275460,251742620,- -,240403114
2,COGS,59300000,55800000,45400000,56600000,55300000,46300000,39000000,43800000,43500000,49000000,45200000,45200000,- -,48800000,49500000,62200000,60800000,60600000,- -,66700000,84374501,103900000,120300000,- -,110400000,92000000,115504443,124200000,112300000,- -,108338960,103315387,154188790,175550420,189890070,- -,186744637
3,Gross Profit,16100000,15900000,17600000,16800000,16800000,17900000,17600000,16300000,16200000,17000000,14500000,12800000,- -,18600000,21500000,26200000,22900000,20700000,- -,21600000,24732789,34600000,36000000,- -,25500000,20700000,27351606,33300000,30200000,- -,32486400,34292871,50050820,58725040,61852550,- -,53658477
4,Gross Profit Ratio,0.2135,0.2218,0.2794,0.2289,0.2330,0.2788,0.3110,0.2712,0.2714,0.2576,0.2429,0.2207,- -,0.2760,0.3028,0.2964,0.2736,0.2546,- -,0.2446,0.2267,0.2498,0.2303,- -,0.1876,0.1837,0.1915,0.2114,0.2119,- -,0.2307,0.2492,0.2451,0.2507,0.2457,- -,0.2232
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5622830,6950970,6024570,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,11000000,- -,12600000,12200000,13800000,14600000,14300000,- -,15100000,16776253,18800000,20028851000,- -,18451100000,17072710000,- -,19820855000,19780999000,- -,20788523760,- -,32183440290,33948649740,35754907190,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20008851000,- -,-18432700000,-17055610000,- -,-19801055000,-19761199000,- -,-20767756000,23156999,-32151289000,-33914735000,-35719188000,- -,-35439858
8,"Selling, General and Administrative Exp.",9000000,9100000,8900000,9800000,10200000,9800000,9100000,10000000,9800000,10500000,10000000,11000000,- -,12600000,12200000,13784638,14563913,14317256,- -,15103624,16776253,18789514,20000000,- -,18400000,17100000,18639426,19800000,19800000,- -,20767760,23156999,32151290,33914740,35719190,- -,35439858
9,Other Expenses,2600000,2900000,2400000,2800000,3100000,2700000,2300000,2200000,2300000,2500000,200000,200000,- -,300000,500000,1815362,2236087,1782744,- -,1296376,- -,10486,100000,- -,0,-0,- -,-0,-0,- -,-10,- -,-0,-10,2650940,- -,-70879716
10,Operating Expenses,11600000,12000000,11300000,12600000,13300000,12500000,11400000,12200000,12100000,13000000,10200000,11200000,- -,12900000,12700000,15600000,16800000,16100000,- -,16400000,16776253,18800000,20100000,- -,18400000,17100000,18639426,19800000,19800000,- -,20767750,23156999,37774120,40865700,44394700,- -,-35439858
11,COGS and Expenses,70900000,67800000,56700000,69200000,68600000,58800000,50400000,56000000,55600000,62000000,55400000,56400000,- -,61700000,62200000,77800000,77600000,76700000,- -,83100000,101150754,122700000,140400000,- -,128800000,109100000,134143869,144000000,132100000,- -,129106710,126472386,191962910,216416120,234284770,- -,151304779
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),700000,500000,- -,600000,600000,500000,400000,200000,100000,100000,100000,200000,- -,- -,500000,1786325,2259347,1716056,- -,1302830,1014052,1097640,1288952,- -,1063607,1727980,231481,369357,322731,- -,254576,121500,976512,1202272,1857961,- -,2744800
14,Depreciation and Amortization,2600000,2900000,2400000,2800000,3100000,2700000,2300000,2200000,2300000,2500000,2600000,3000000,- -,3000000,2900000,3639384,4460704,3565460,- -,3619328,3459747,3745693,4369998,- -,4128312,4103317,3707216,3439800,3825286,- -,3486302,3814393,4719185,5329208,6454881,- -,8477512
15,EBITDA,7400000,7000000,7900000,7600000,6400000,8100000,8000000,5800000,6800000,6700000,6700000,4700000,- -,8800000,12100000,16125709,12820051,9981516,- -,10322158,11494106,19743333,20558950,- -,11191919,7731297,12445626,17007875,14259991,- -,15269645,15159308,17150644,24121812,24518812,- -,16627834
16,EBITDA ratio,0.0981,0.0976,0.1254,0.1035,0.0888,0.1262,0.1413,0.0965,0.1139,0.1015,0.1122,0.0810,- -,0.1306,0.1704,0.1824,0.1532,0.1228,- -,0.1169,0.1053,0.1426,0.1315,- -,0.0824,0.0686,0.0871,0.1080,0.1001,- -,0.1084,0.1102,0.0840,0.1030,0.0974,- -,0.0692
17,Operating Income,4500000,3900000,6300000,4200000,3500000,5400000,6200000,4100000,4100000,4000000,4200000,1700000,- -,5900000,9000000,12215887,7478671,6450364,- -,6484316,7956536,15794237,15929036,- -,7030398,3578776,8712180,13551423,10386321,- -,11718648,11135872,12276701,17859341,17457854,- -,7000254
18,Operating Income ratio,0.0597,0.0544,0.1000,0.0572,0.0485,0.0841,0.1095,0.0682,0.0687,0.0606,0.0704,0.0293,- -,0.0875,0.1268,0.1382,0.0894,0.0793,- -,0.0734,0.0729,0.1140,0.1019,- -,0.0517,0.0318,0.0610,0.0860,0.0729,- -,0.0832,0.0809,0.0601,0.0762,0.0693,- -,0.0291
19,Total Other Income Expenses (Gains),-400000,-300000,-300000,- -,-800000,200000,300000,800000,300000,100000,100000,-200000,- -,-100000,-300000,-1515887,-1378671,-1750364,- -,-1084316,-936229,-994237,-1129036,- -,-1030398,-1678776,-205251,-351423,-286321,- -,-189888,87543,-821761,-269011,-1251884,- -,-974642
20,Income Before Tax,4100000,3600000,6000000,4200000,2700000,5600000,6500000,4900000,4400000,4100000,4300000,1500000,- -,5800000,8700000,10700000,6100000,4700000,- -,5400000,7020307,14800000,14800000,- -,6000000,1900000,8506929,13200000,10100000,- -,11528760,11223415,11454940,17590330,16205970,- -,6025612
21,Income Before Tax Ratio,0.0544,0.0502,0.0952,0.0572,0.0374,0.0872,0.1148,0.0815,0.0737,0.0621,0.0720,0.0259,- -,0.0861,0.1225,0.1210,0.0729,0.0578,- -,0.0612,0.0643,0.1069,0.0947,- -,0.0442,0.0169,0.0595,0.0838,0.0709,- -,0.0819,0.0816,0.0561,0.0751,0.0644,- -,0.0251
22,Income Tax expense (Gain),1500000,1800000,2700000,1600000,1100000,2100000,2500000,1900000,1600000,1500000,1500000,600000,- -,2100000,3300000,3600000,2200000,1400000,- -,2000000,2653120,5200000,4800000,- -,1500000,900000,3001999,4598718,3211974,- -,3867287,3438092,6409687,3084392,2939830,- -,- -
23,Net Income,2600000,1800000,2800000,2600000,1600000,2800000,2800000,1500000,2800000,2600000,2500000,900000,- -,3700000,5400000,7100000,3900000,3300000,- -,3400000,4367187,9700000,10100000,- -,4500000,1000000,5504930,8600000,6900000,- -,7661480,7785323,5045260,14505940,13266140,- -,5405522
24,Net Income ratio,0.0345,0.0251,0.0444,0.0354,0.0222,0.0436,0.0495,0.0250,0.0469,0.0394,0.0419,0.0155,- -,0.0549,0.0761,0.0803,0.0466,0.0406,- -,0.0385,0.0400,0.0700,0.0646,- -,0.0331,0.0089,0.0385,0.0546,0.0484,- -,0.0544,0.0566,0.0247,0.0619,0.0527,- -,0.0225
25,EPS,0.35,0.26,0.43,0.41,0.26,0.28,0.45,0.25,0.45,0.42,0.40,0.15,- -,0.62,1.00,1.30,0.72,0.61,- -,0.62,0.80,1.76,1.79,- -,0.77,0.17,0.89,1.39,1.11,- -,1.23,1.25,0.81,3.48,2.13,- -,0.87
26,EPS Diluted,0.35,0.26,0.43,0.41,0.26,0.28,0.45,0.25,0.44,0.42,0.40,0.15,- -,0.61,0.96,1.29,0.71,0.59,- -,0.61,0.75,1.67,1.68,- -,0.73,0.17,0.89,1.38,1.11,- -,1.23,1.25,0.80,3.46,2.12,- -,0.86
27,Weighted Average Shares Outstanding,7354813,6919617,6458309,6390247,6150771,6257871,6265524,5918094,6173384,6157895,6000000,6136364,- -,5946429,5424107,5427299,5434610,5426209,- -,5421971,5458984,5487925,5631672,- -,5875140,5985640,6178664,6216931,6220928,- -,6225068,6251535,6259139,4172185,6235098,- -,6237698
28,Weighted Average Shares Outstanding Diluted,7354813,6919617,6458309,6390247,6150771,6257871,6265524,5918094,6360456,6330168,6246877,6559220,- -,6032609,5651163,5483541,5485400,5548146,- -,5480905,5848911,5783681,6000412,- -,6159563,6241780,6216193,6233375,6237758,- -,6237914,6251535,6294773,4182649,6270008,- -,6264521
