,https://roic.ai/company/CIH,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,275296000,335037000,421024000,579650000,635910000,620953000
2,COGS,66226000,83118000,87733000,110492000,105528000,110118000
3,Gross Profit,209070000,251919000,333291000,469158000,530382000,510835000
4,Gross Profit Ratio,0.7594,0.7519,0.7916,0.8094,0.8341,0.8227
5,Research and Development Exp.,9041000,17219000,20761000,- -,- -,- -
6,General and Administrative Exp.,22621000,47252000,46232000,82615000,92818000,90434000
7,Selling and Marketing Exp.,47507000,60469000,77731000,99020000,112414000,113626000
8,"Selling, General and Administrative Exp.",70128000,107721000,123963000,181635000,205232000,204060000
9,Other Expenses,-1650000,-18087000,-1395000,-903000,-5997000,-765000
10,Operating Expenses,77519000,106853000,143329000,180732000,199235000,203295000
11,COGS and Expenses,143745000,189971000,231062000,291224000,304763000,313413000
12,Interest Income ,40000,1828000,664000,2200000,1625000,9750000
13,Interest Expense (Gain),2108000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,765000,697000,1188000,1119000,- -,- -
15,EBITDA,132356000,149720000,196656000,291307000,343418000,325682000
16,EBITDA ratio,0.4808,0.4469,0.4671,0.5026,0.5400,0.5245
17,Operating Income,129901000,144198000,188567000,287523000,-227177000,306775000
18,Operating Income ratio,0.4719,0.4304,0.4479,0.4960,-0.3572,0.4940
19,Total Other Income Expenses (Gains),-418000,4825000,6901000,2665000,570291000,18973000
20,Income Before Tax,129483000,149023000,195468000,290188000,343114000,325748000
21,Income Before Tax Ratio,0.4703,0.4448,0.4643,0.5006,0.5396,0.5246
22,Income Tax expense (Gain),18453000,20870000,30048000,44737000,49079000,46500000
23,Net Income,111030000,128153000,165420000,245451000,294339000,279182000
24,Net Income ratio,0.4033,0.3825,0.3929,0.4234,0.4629,0.4496
25,EPS,1.16,1.33,1.72,2.74,3.28,3.50
26,EPS Diluted,1.16,1.33,1.72,2.73,3.27,3.50
27,Weighted Average Shares Outstanding,96112336,96112336,96112336,89607335,89842465,79867332
28,Weighted Average Shares Outstanding Diluted,96112336,96112336,96112336,89925689,89930473,79867332
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,231188000,164202000,214076000,280355000,361521000
32,Short-Term Investments,- -,- -,- -,125000000,391671000,- -
33,Cash and Short-Term Investments,- -,231188000,164202000,339076000,672026000,361521000
34,Net Receivables,- -,8295000,15534000,24243000,34938000,49217000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,369000,2663000,9386000,2559000,25531000
37,Total Current Assets,- -,239852000,182399000,372705000,709523000,436269000
38,PP&E,- -,5075000,3932000,52468000,46714000,40316000
39,Goodwill,- -,- -,- -,- -,1744000,- -
