,https://roic.ai/company/TZOO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,84000,954000,3950000,6147938,9847820,17991241,33679232,50772141,69525000,78911000,81404000,93973000,112784000,148342000,151168000,158234000,142076000,141716000,128552000,106524000,111322000,111412000,53601000,62712000
2,COGS,- -,- -,- -,304081,351169,399039,694713,878102,1038000,2097000,2996000,5628000,7253000,13283000,15745000,17402000,17906000,18824000,14313000,12909000,12268000,11889000,10563000,11388000
3,Gross Profit,- -,- -,- -,5843857,9496651,17592202,32984519,49894039,68487000,76814000,78408000,88345000,105531000,135059000,135423000,140832000,124170000,122892000,114239000,93615000,99054000,99523000,43038000,51324000
4,Gross Profit Ratio,- -,- -,- -,0.9505,0.9643,0.9778,0.9794,0.9827,0.9851,0.9734,0.9632,0.9401,0.9357,0.9105,0.8958,0.8900,0.8740,0.8672,0.8887,0.8788,0.8898,0.8933,0.8029,0.8184
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12528000,9445000,9224000,8993000,6885000,3081000,2590000
6,General and Administrative Exp.,- -,- -,- -,1354088,8020403,13853369,21951196,35023984,38734000,56190000,75297000,24930000,27565000,54547000,38692000,41684000,43470000,24176000,22697000,22558000,23304000,22824000,20494000,19753000
7,Selling and Marketing Exp.,- -,- -,- -,3274747,- -,- -,- -,- -,- -,- -,- -,49707000,54454000,65490000,68242000,74870000,67233000,79042000,71029000,57288000,58519000,60350000,30616000,30294000
8,"Selling, General and Administrative Exp.",- -,- -,- -,4628835,8020403,13853369,21951196,35023984,38734000,56190000,75297000,74637000,82019000,120037000,106934000,116554000,110703000,103218000,93726000,79846000,81823000,83174000,51110000,50047000
9,Other Expenses,- -,- -,- -,- -,- -,- -,323,- -,- -,- -,- -,- -,- -,- -,3000000,22000000,-7583000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,4628835,8020403,13853369,21951519,35023984,38734000,56190000,75297000,74637000,82019000,120037000,109934000,138554000,103120000,115746000,103171000,89070000,90816000,90059000,54191000,52637000
