,https://roic.ai/company/ITPOF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,99260058,89532098,101347509,126138966,165253025,198003786,243360412,376056262,569947000,653915000,594905000,601575000,621321000,692449000,804844000,812285000,767272000,737155000,615462000,720516000,786737000,784430000,781500000,812732000,781907000,808801000,898126000,1053019000,1158519000,1213028000,1531469000
2,COGS,69971843,59221231,66234986,83059810,109668825,132602535,164737816,253420472,419544000,500547000,476089000,476330000,482423000,549252000,635845000,694693000,652865000,658900000,532543000,640906000,672262000,643393000,623006000,649099000,613895000,617314000,696719000,834136000,911644000,924244000,1191495000
3,Gross Profit,29288215,30310867,35112523,43079156,55584200,65401251,78622596,122635791,150403000,153368000,118816000,125245000,138898000,143197000,168999000,117592000,114407000,78255000,82919000,79610000,114475000,141037000,158494000,163633000,168012000,191487000,201407000,218883000,246875000,288784000,339974000
4,Gross Profit Ratio,0.2951,0.3385,0.3465,0.3415,0.3364,0.3303,0.3231,0.3261,0.2639,0.2345,0.1997,0.2082,0.2236,0.2068,0.2100,0.1448,0.1491,0.1062,0.1347,0.1105,0.1455,0.1798,0.2028,0.2013,0.2149,0.2368,0.2243,0.2079,0.2131,0.2381,0.2220
5,Research and Development Exp.,- -,- -,- -,- -,- -,1300025,1598426,3018108,3901000,5109000,4182000,3169000,3272000,4233000,4725000,6271000,4135000,5610000,5605000,6252000,6200000,6227000,6900000,7873000,9459000,10790000,11601000,12024000,12527000,11196000,11882000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69457000,70857000,73441000,- -,79135000,82682000,85955000,79345000,93729000,107679000,122497000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9496179,12304411,12269433,16691923,19894345,24000459,29171281,46478864,85330000,83092000,91343000,86524000,90047000,95272000,106725000,86925000,72949000,69457000,70857000,73441000,76969000,79135000,82682000,85955000,84072000,102580000,107592000,122466000,136674000,157486000,177139000
9,Other Expenses,6097546,6602367,7281858,7396422,8397613,9300178,12887312,20422531,31229000,6540000,7014000,- -,- -,- -,- -,- -,- -,7456000,-148000,880000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,15593725,18906778,19551291,24088345,28291958,34600662,43657020,69919503,120460000,94741000,102539000,89693000,93319000,99505000,111450000,93196000,77084000,82523000,76314000,80573000,83169000,85362000,89582000,93828000,93531000,113370000,119193000,134490000,149201000,168682000,189021000
11,COGS and Expenses,85565568,78128009,85786277,107148155,137960783,167203197,208394835,323339975,540004000,595288000,578628000,566023000,575742000,648757000,747295000,787889000,729949000,741423000,608857000,721479000,755431000,728755000,712588000,742927000,707426000,730684000,815912000,968626000,1060845000,1092926000,1380516000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1116000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1048000,- -,- -,518000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18365000,15888000,15538000,15361000,12430000,4673000,2638000,3080000,3953000,6595000,15166000,30496000,28226000,22527000
14,Depreciation and Amortization,6097547,6602367,7281858,7396421,8397613,9300178,12887312,20422531,31229000,27934000,33831000,28653000,29375000,29889000,31131000,36622000,38902000,36538000,37486000,37368000,30882000,30397000,27746000,26169000,30880000,30978000,36138000,44829000,61415000,63840000,65547000
15,EBITDA,13394611,14705271,19651042,24088344,33390508,38800742,26673739,60663972,39023000,64856000,11197000,-38568000,43428000,11498000,60450000,-160785000,42826000,-34456000,43000000,28316000,57117000,65709000,63972000,87526000,101615000,105620000,120006000,116550000,149437000,183857000,179951000
16,EBITDA ratio,0.1349,0.1642,0.1939,0.1910,0.2021,0.1960,0.1096,0.1613,0.0685,0.0992,0.0188,-0.0641,0.0699,0.0166,0.0751,-0.1979,0.0558,-0.0467,0.0699,0.0393,0.0726,0.0838,0.0819,0.1077,0.1300,0.1306,0.1336,0.1107,0.1290,0.1516,0.1175
