,https://roic.ai/company/AGNC,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,41107000,130091000,307377000,850643000,1327000000,1304000000,-211000000,238000000,676000000,841000000,229000000,771000000,-173000000,837000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173000000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5755000,11145000,18806000,73958000,31000000,32000000,22000000,23000000,19000000,42000000,45000000,47000000,56000000,54000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5755000,11145000,18806000,73958000,31000000,32000000,22000000,23000000,19000000,42000000,45000000,47000000,56000000,54000000
9,Other Expenses,25245000,43855000,76194000,285042000,625000000,672000000,1683000000,1228000000,679000000,480000000,1775000000,2107000000,37000000,- -
10,Operating Expenses,31000000,55000000,95000000,359000000,656000000,704000000,1705000000,1251000000,698000000,522000000,1820000000,2154000000,93000000,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,- -
12,Interest Income ,55127000,127920000,253005000,1108872000,2109000000,2193000000,1472000000,1466000000,1321000000,1293000000,1949000000,2842000000,1519000000,1361000000
13,Interest Expense (Gain),24937000,43539000,76026000,284575000,512000000,536000000,372000000,330000000,394000000,524000000,1173000000,2149000000,674000000,75000000
14,Depreciation and Amortization,10763000,26084000,- -,- -,- -,- -,- -,- -,2000000,3000000,25000000,- -,1082000000,- -
15,EBITDA,71052000,188569000,364597000,1061260000,1808000000,1808000000,139000000,545000000,1019000000,1298000000,1327000000,2837000000,1490000000,824000000
16,EBITDA ratio,1.7285,1.4495,1.1862,1.2476,1.3625,1.3865,-0.6588,2.2899,1.5074,1.5434,5.7948,3.6796,-8.6127,0.9845
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1299000000,- -
20,Income Before Tax,- -,118946000,288571000,776685000,1296000000,1272000000,-233000000,215000000,623000000,771000000,129000000,688000000,-266000000,749000000
21,Income Before Tax Ratio,- -,0.9143,0.9388,0.9131,0.9766,0.9755,1.1043,0.9034,0.9216,0.9168,0.5633,0.8923,1.5376,0.8949
22,Income Tax expense (Gain),- -,335000,455000,6205000,19000000,13000000,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,35352000,118611000,288116000,770480000,1277000000,1259000000,-233000000,215000000,623000000,771000000,129000000,688000000,-266000000,749000000
24,Net Income ratio,0.8600,0.9118,0.9373,0.9058,0.9623,0.9655,1.1043,0.9034,0.9216,0.9168,0.5633,0.8923,1.5376,0.8949
25,EPS,2.36,6.78,7.89,5.02,4.17,3.28,-0.72,0.54,1.79,2.04,0.21,1.16,-0.66,1.36
26,EPS Diluted,2.36,6.78,7.89,5.02,4.17,3.28,-0.72,0.54,1.79,2.04,0.21,1.16,-0.66,1.36
27,Weighted Average Shares Outstanding,15000000,17507000,36495000,153344000,303900000,379100000,353300000,348600000,331900000,358600000,441100000,540600000,551600000,551600000
28,Weighted Average Shares Outstanding Diluted,15000000,17507000,36495000,153344000,303900000,379100000,353300000,348600000,331900000,358700000,441400000,541400000,551600000,551600000
