,https://roic.ai/company/CTRA,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,149400000,128000000,140500000,147600000,164300000,237100000,213900000,163100000,185100000,159600000,165700000,368651000,447042000,353756000,509391000,530408000,682797000,761988000,732170000,945791000,879276000,844035000,979864000,1204546000,1746278000,2173011000,1357150000,1155677000,1764219000,2188148000,2066277000,1466624000,3449000000
2,COGS,66100000,63500000,67300000,68200000,81200000,138100000,129200000,43600000,46200000,54200000,44800000,191285000,200167000,143221000,194680000,176928000,210773000,207562000,198761000,223488000,161015000,156108000,224565000,741459000,1051333000,1157640000,1203205000,1138151000,1167818000,1168054000,1057368000,1035408000,1512000000
3,Gross Profit,83300000,64500000,73200000,79400000,83100000,99000000,84700000,119500000,138900000,105400000,120900000,177366000,246875000,210535000,314711000,353480000,472024000,554426000,533409000,722303000,718261000,687927000,755299000,463087000,694945000,1015371000,153945000,17526000,596401000,1020094000,1008909000,431216000,1937000000
4,Gross Profit Ratio,0.5576,0.5039,0.5210,0.5379,0.5058,0.4175,0.3960,0.7327,0.7504,0.6604,0.7296,0.4811,0.5522,0.5951,0.6178,0.6664,0.6913,0.7276,0.7285,0.7637,0.8169,0.8150,0.7708,0.3844,0.3980,0.4673,0.1134,0.0152,0.3381,0.4662,0.4883,0.2940,0.5616
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68374000,79177000,104667000,121239000,104606000,82590000,69444000,87242000,97786000,96641000,94870000,105391000,198000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",21300000,20600000,25400000,23400000,20400000,17300000,16800000,16800000,19700000,22000000,24000000,20421000,25650000,28377000,25112000,34735000,37650000,58168000,50775000,74185000,68374000,79177000,104667000,121239000,104606000,82590000,69444000,87242000,97786000,96641000,94870000,105391000,198000000
9,Other Expenses,47900000,28200000,34100000,38500000,44000000,66700000,58400000,55500000,55500000,56500000,70400000,76482000,108960000,121002000,119868000,144489000,162677000,-47691000,184285000,198894000,316703000,407702000,407164000,86350000,61210000,75758000,70269000,56885000,55013000,136462000,37323000,29799000,101000000
10,Operating Expenses,69200000,48800000,59500000,61900000,64400000,84000000,75200000,72300000,75200000,78500000,94400000,96903000,134610000,149379000,144980000,179224000,200327000,10477000,235060000,273079000,385077000,486879000,511831000,207589000,165816000,158348000,139713000,144127000,152799000,233103000,132193000,135190000,299000000
11,COGS and Expenses,135300000,112300000,126800000,130100000,145600000,222100000,204400000,115900000,121400000,132700000,139200000,288188000,334777000,292600000,339660000,356152000,411100000,218039000,433821000,496567000,546092000,642987000,736396000,949048000,1217149000,1315988000,1342918000,1282278000,1320617000,1401157000,1189561000,1170598000,1811000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58979000,67941000,71663000,68293000,64942000,73785000,96911000,88336000,82130000,73201000,54952000,54124000,62000000
14,Depreciation and Amortization,41300000,23100000,27200000,31500000,34500000,54600000,47200000,42700000,40600000,41200000,53400000,53441000,80619000,96512000,94903000,103343000,108458000,128975000,143951000,185403000,221270000,327083000,343141000,451405000,651052000,632760000,622211000,590128000,568817000,417479000,405733000,390903000,693000000
15,EBITDA,79300000,45700000,33300000,39700000,44200000,53000000,-94400000,74100000,86500000,50000000,67100000,95380000,155168000,120289000,131098000,241967000,344692000,639480000,401483000,521026000,503539000,593522000,649991000,757538000,1201532000,738946000,531849000,18865000,422512000,1188817000,1360909000,686150000,2257000000
