,https://roic.ai/company/FLSS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,132715357,207006415,360929299,215919920,334069975,445782638,472596892,419933000,449278000,244107000,116205000,- -,180898000,188422000
2,COGS,82073249,130458184,246554753,184089262,261411056,335307021,354684666,324137000,341053000,192419000,104023000,- -,177368000,189001000
3,Gross Profit,50642108,76548231,114374546,31830658,72658919,110475617,117912226,95796000,108225000,51688000,12182000,- -,3530000,-579000
4,Gross Profit Ratio,0.3816,0.3698,0.3169,0.1474,0.2175,0.2478,0.2495,0.2281,0.2409,0.2117,0.1048,- -,0.0195,-0.0031
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6026184,8823299,17700341,21228819,23373046,- -,33382501,30186000,36428000,31591000,26380000,- -,25390000,24065000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6026184,8823299,17700341,21228819,23373046,- -,33382501,30186000,36428000,31591000,26380000,- -,25390000,24065000
9,Other Expenses,7409381,15341906,33724218,39471755,39960295,70977386,50996689,54838000,54959000,55034000,52374000,- -,- -,- -
10,Operating Expenses,13435565,24165205,51424559,60700574,63333341,70977386,84379190,85024000,91387000,86625000,78754000,- -,25390000,24065000
11,COGS and Expenses,95508814,154623389,297979312,244789836,324744397,406284407,439063856,409161000,432440000,279044000,182777000,- -,202758000,213066000
12,Interest Income ,- -,- -,- -,- -,118924,56265,78066,27000,9000,211000,31000,- -,8000,49000
13,Interest Expense (Gain),5074367,8342652,25797663,26918517,27273125,27454417,28033466,28211000,28228000,27962000,27879000,- -,11158000,24726000
14,Depreciation and Amortization,7409381,15341906,33724218,39576270,39960295,41831957,50996689,54838000,54959000,55034000,52374000,- -,30543000,29404000
15,EBITDA,44756825,67961515,92348783,12020211,49422370,52264913,83975437,65344000,71806000,20308000,-28704000,- -,8691000,-14413000
16,EBITDA ratio,0.3372,0.3283,0.2559,0.0557,0.1479,0.1172,0.1777,0.1556,0.1598,0.0832,-0.2470,- -,0.0480,-0.0765
17,Operating Income,37206543,52383026,58586618,-28869916,9325578,39498231,33533036,10772000,16838000,-34937000,-81109000,- -,-21860000,-43866000
18,Operating Income ratio,0.2803,0.2531,0.1623,-0.1337,0.0279,0.0886,0.0710,0.0257,0.0375,-0.1431,-0.6980,- -,-0.1208,-0.2328
19,Total Other Income Expenses (Gains),-4933466,-8106069,-25759716,-25604660,-27136628,-62743881,-27955400,-28184000,-28219000,-27751000,-27848000,- -,-11150000,-24677000
20,Income Before Tax,32273077,44276957,32826902,-54474576,-17811050,-23245650,5577636,-17412000,-11381000,-62688000,-108957000,- -,-33010000,-68543000
21,Income Before Tax Ratio,0.2432,0.2139,0.0910,-0.2523,-0.0533,-0.0521,0.0118,-0.0415,-0.0253,-0.2568,-0.9376,- -,-0.1825,-0.3638
22,Income Tax expense (Gain),- -,683291,62574492,-25143867,-6501132,-4676774,3359101,-4615000,-3060000,-16614000,172000,- -,-403000,-144000
23,Net Income,32273077,43593666,-29747590,-29330709,-11309918,-12344687,1586181,-13090000,-8321000,-46074000,-109129000,- -,-32607000,-68399000
24,Net Income ratio,0.2432,0.2106,-0.0824,-0.1358,-0.0339,-0.0277,0.0034,-0.0312,-0.0185,-0.1887,-0.9391,- -,-0.1803,-0.3630
25,EPS,2.38,3.22,-2.60,-1.88,-0.60,-0.60,0.04,-0.65,-0.42,-2.12,-4.95,- -,-6.07,-12.50
26,EPS Diluted,2.38,3.22,-2.60,-1.88,-0.60,-0.60,0.04,-0.65,-0.42,-2.12,-4.95,- -,-6.07,-12.50
27,Weighted Average Shares Outstanding,13536175,13536175,11473639,15660719,20918425,20918417,21061640,21388000,21749000,22071000,22214000,22214000,5368000,5472000
28,Weighted Average Shares Outstanding Diluted,13536175,13536175,11473639,15660719,20918425,20918417,21340253,21388000,21749000,22071000,22214000,22214000,5368000,5472000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434842/000143484219000025/0001434842-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1434842/000143484220000003/0001434842-20-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7649635,5209345,23469067,28425367,30458457,36600091,17618900,26409000,34918000,74611000,20437000,5465000,8083000,5224000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7649635,5209345,23469067,28425367,30458457,36600091,17618900,26409000,34918000,74611000,20437000,5465000,8083000,5224000
34,Net Receivables,24331081,43503106,69799119,58093865,88845701,136922038,93045256,82986000,84441000,27702000,17252000,24837000,48178000,27091000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3263865,4618169,6375102,7668973,6572856,10284645,14950352,14004000,10537000,9486000,36341000,41227000,14764000,12976000
37,Total Current Assets,35244581,53330620,99643288,94188205,125877014,183806774,125614508,123399000,129896000,111799000,74030000,71529000,71025000,45291000
