,https://roic.ai/company/QTT,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,57954312,517052950,3022145785,5570080604,5285195023
2,COGS,7178321,76480495,503612729,1640632056,1674416148
3,Gross Profit,50775991,440572455,2518533056,3929448548,3610778875
4,Gross Profit Ratio,0.8761,0.8521,0.8334,0.7055,0.6832
5,Research and Development Exp.,2626972,15317004,270107740,926231578,947870809
6,General and Administrative Exp.,4427219,25946636,980725286,267033100,392815316
7,Selling and Marketing Exp.,54632811,494725212,3250038106,5489707876,3381560531
8,"Selling, General and Administrative Exp.",59060030,520671848,4230763392,5756740976,3774375847
9,Other Expenses,- -,- -,- -,-30292356,-79298306
10,Operating Expenses,61687002,535988852,4500871132,6652680198,4642948350
11,COGS and Expenses,68865323,612469347,5004483861,8293312254,6317364498
12,Interest Income ,50840,673858,31301616,48440468,10418919
13,Interest Expense (Gain),- -,- -,- -,26878316,38143009
14,Depreciation and Amortization,21360,330238,5893447,20558884,25169660
15,EBITDA,-10841019,-94429451,-1937078781,-2636400629,-1042133542
16,EBITDA ratio,-0.1871,-0.1826,-0.6410,-0.4733,-0.1972
17,Operating Income,-10911011,-95416397,-1981613184,-2723231650,-1032169475
18,Operating Income ratio,-0.1883,-0.1845,-0.6557,-0.4889,-0.1953
19,Total Other Income Expenses (Gains),48632,656708,35366431,38806679,-74004328
20,Income Before Tax,-10862379,-94759689,-1946246753,-2684424971,-1106173803
21,Income Before Tax Ratio,-0.1874,-0.1833,-0.6440,-0.4819,-0.2093
22,Income Tax expense (Gain),- -,- -,-400541,4842876,-1007370
23,Net Income,-10862379,-94759689,-1942571687,-2688680705,-1104438841
24,Net Income ratio,-0.1874,-0.1833,-0.6428,-0.4827,-0.2090
25,EPS,-0.38,-3.55,-144.92,-106.80,-39.23
26,EPS Diluted,-0.38,-3.55,-144.92,-106.80,-39.23
27,Weighted Average Shares Outstanding,28328499,28328499,14000189,25368278,29005231
28,Weighted Average Shares Outstanding Diluted,28328499,28328499,14000189,25368278,29005231
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,268628,278458413,2186288246,347817093,494474891
32,Short-Term Investments,12370000,129770000,115436080,1276830926,391033374
33,Cash and Short-Term Investments,12638628,408228413,2301724326,1624648019,885508265
34,Net Receivables,16152731,44354337,255815676,907506552,1185104518
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,966701,13624992,68533904,160072196,401703458
37,Total Current Assets,29758060,466207742,2626073906,2692226767,2472316241
38,PP&E,138120,4614062,13929542,93357128,67531681
39,Goodwill,- -,- -,7268330,7268330,7268330
40,Intangible Assets,- -,- -,94527598,88943679,83122972
41,Intangible Assets,- -,- -,101795928,96212009,90391302
42,Investments,- -,- -,- -,37589200,82888709
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,5758946,10672141,20811791,202729656
45,Total Non-Current Assets,138120,10373008,126397611,247970128,443541348
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,29896180,476580750,2752471517,2940196895,2915857589
48,Accounts Payable,7678904,14992741,131249219,328268752,448980738
49,Short-Term Debt,- -,- -,- -,38210188,103810221
50,Tax Payable,3215765,38799433,177437739,252159649,231318045
51,Deferred Revenue,729004,39864599,155099317,246630128,140776350
52,Other Current Liabilities,32679289,256388730,824635228,1262588642,1192423039
53,Total Current Liabilities,41087197,311246070,1110983764,1875697710,1885990348
54,Long-Term Debt,- -,- -,- -,1245557122,1198623604
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,23631899,21228656,18825416
57,Other Non-Current Liabilities,- -,- -,106623074,503057028,1097781989
58,Total Non-Current Liabilities,- -,- -,130254973,1769842806,2315231009
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,64861634,44516142
61,Total Liabilities,41087197,311246070,1241238737,3645540516,4201221357
62,Preferred Stock,- -,273894691,- -,495844565,- -
63,Common Stock,15723,15723,41547,44651,46817
64,Retained Earnings,-12325548,-117456701,-2153235425,-4862464162,-6007226873
