,https://roic.ai/company/CLCN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,10998,70445,14171,498444,- -,- -,4820719,7458160,5709720,3238360,2456030,2416730,4517960,3038440,2195194
2,COGS,- -,10734,63650,12653,261516,- -,- -,- -,2607280,1540340,744510,177490,103930,843430,- -,298389
3,Gross Profit,- -,264,6795,1518,236928,- -,- -,4820719,4850880,4169380,2493850,2278540,2312800,3674530,3038440,1896805
4,Gross Profit Ratio,- -,0.0240,0.0965,0.1071,0.4753,- -,- -,1.0000,0.6504,0.7302,0.7701,0.9277,0.9570,0.8133,1.0000,0.8641
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,110609,60502,962613,1858545,1586986,3289587,2348852,3315073,4186046,2715509,1690158,1651074,1486624,1169720
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222653,130496,45997
8,"Selling, General and Administrative Exp.",- -,- -,110609,60502,962613,1858545,1586986,3289587,2348852,3315073,4186046,2715509,1690158,1873727,1617120,1215717
9,Other Expenses,- -,31693,- -,9150,30089,220125,1247785,485375,839094,917695,488932,78202,81930,-86013,193956,114543
10,Operating Expenses,- -,31693,110609,69652,992702,2078670,2834771,3774962,3187946,4232768,4674978,2793711,1772088,1787714,1811076,1330260
11,COGS and Expenses,- -,42427,174259,82305,1254218,- -,- -,3774962,5952310,6164120,5634070,3148490,2631810,2564120,2452985,1628649
12,Interest Income ,- -,- -,2874,932,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1606,1880,6975,- -,- -,4882,455,6580,3320,90,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,589,10691,18525,30267,36380,41301,53711,57175,51607,115627,112543,114543
15,EBITDA,- -,-32082,-97527,-109238,-770465,- -,- -,995178,1484135,-538379,-2321449,-609085,-167223,2132967,697998,439445
16,EBITDA ratio,- -,-2.9171,-1.3844,-7.7086,-1.5457,- -,- -,0.2064,0.1990,-0.0943,-0.7169,-0.2480,-0.0692,0.4721,0.2297,0.2002
17,Operating Income,- -,-31429,-103814,-49834,-755774,-500918,582496,1045757,1612099,-369507,-2268964,-692452,-215080,1953843,585455,325166
18,Operating Income ratio,- -,-2.8577,-1.4737,-3.5166,-1.5163,-Infinity,Infinity,0.2169,0.2162,-0.0647,-0.7007,-0.2819,-0.0890,0.4325,0.1927,0.1481
19,Total Other Income Expenses (Gains),- -,-653,4681,-61284,-76989,- -,- -,-85728,-123219,-71793,-100286,26102,-3750,63497,34706,-264
20,Income Before Tax,- -,-32082,-99133,-111118,-832763,- -,- -,960029,1488880,-441300,-2369250,-666350,-218830,2017340,- -,324902
21,Income Before Tax Ratio,- -,-2.9171,-1.4072,-7.8412,-1.6707,- -,- -,0.1991,0.1996,-0.0773,-0.7316,-0.2713,-0.0905,0.4465,- -,0.1480
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,12073,589700,-129320,-560400,364650,- -,- -,- -,- -
23,Net Income,- -,-32082,-99133,-111118,-778029,- -,- -,947956,857600,-456940,-1818080,-1031000,-218830,2017340,- -,324902
24,Net Income ratio,- -,-2.9171,-1.4072,-7.8412,-1.5609,- -,- -,0.1966,0.1150,-0.0800,-0.5614,-0.4198,-0.0905,0.4465,- -,0.1480
25,EPS,- -,-0.06,-0.14,-0.14,-0.43,-0.10,0.05,0.08,0.07,-0.04,-0.15,-0.09,-0.02,0.17,0.05,0.02
26,EPS Diluted,- -,-0.06,-0.14,-0.14,-0.43,-0.10,0.05,0.08,0.07,-0.04,-0.15,-0.09,-0.02,0.17,0.04,0.02
27,Weighted Average Shares Outstanding,- -,502083,685667,775500,1793575,5003405,11445492,11678873,11824470,11952252,12001409,12007736,12010775,12043558,13402981,13278388
28,Weighted Average Shares Outstanding Diluted,- -,502083,685667,775500,1793575,5003405,11445492,11678873,11874338,11952252,12001409,12007736,12010775,12043558,13784990,13503269
