,https://roic.ai/company/ARTH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11565
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26282
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14717
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.2725
5,Research and Development Exp.,- -,- -,218901,1477479,1760037,1683299,2094795,2884245,2396838,1611094,1353084
6,General and Administrative Exp.,5037,36611,1526075,3134285,3700477,4367476,5207753,4565522,3974919,3759554,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5037,36611,1526075,3134285,3700477,4367476,5207753,4565522,3974919,3759554,5009323
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5037,36611,1744976,4611764,5460514,6050775,7302548,7449767,6371757,5370648,6362407
11,COGS and Expenses,5037,36611,1744976,4611764,5460514,6050775,7302548,7449767,6371757,5370648,6388689
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,108879,111059,377805,276687,52385,- -,- -,- -,150531
14,Depreciation and Amortization,- -,- -,586,322,- -,- -,1498,5342,8238,6926,2587
15,EBITDA,-5037,-36611,-1744390,-4611442,-5460514,-6050775,-7301050,-7444425,-6363519,-4684451,-6087364
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-526.3609
17,Operating Income,- -,- -,-1744976,-4611764,-5460514,-6050775,-7302548,-7449767,-6371757,-5370648,-6377124
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-551.4158
19,Total Other Income Expenses (Gains),- -,- -,-108815,-3531059,2512988,58405,-486308,2635735,1824175,679271,136642
20,Income Before Tax,-5037,-36611,-1853791,-8142823,-2947526,-5992370,-7788856,-4814032,-4547582,-4691377,-6240482
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-539.6007
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-5037,-36611,-1853791,-8142823,-2947526,-5992370,-7788856,-4814032,-4547582,-4691377,-6240482
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-539.6007
25,EPS,-0.00,-0.00,-0.09,-0.12,-0.04,-0.05,-0.05,-0.03,-0.03,-0.02,-0.03
26,EPS Diluted,-0.00,-0.00,-0.09,-0.12,-0.04,-0.05,-0.05,-0.03,-0.03,-0.02,-0.03
27,Weighted Average Shares Outstanding,11813703,51524902,21366752,67492823,81394873,121462897,142722788,152712714,166339862,188051683,220001412
28,Weighted Average Shares Outstanding Diluted,11813703,51524902,21366752,67492823,81394873,121462897,142722788,152712714,166339862,188051683,220001412
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1537561/000116552712001353/0001165527-12-001353-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420413069281/0001144204-13-069281-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420414073579/0001144204-14-073579-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420415070409/0001144204-15-070409-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420416137852/0001144204-16-137852-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420417059213/0001144204-17-059213-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420418065134/0001144204-18-065134-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000110465919065500/0001104659-19-065500-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000110465920134664/0001104659-20-134664-index.htm,https://www.sec.gov/Archives/edgar/data/1537561/000141057821000550/0001410578-21-000550-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,17925,4468,557319,833520,3960100,5036476,5994052,4667410,2180329,959309,2266639
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,17925,4468,557319,833520,3960100,5036476,5994052,4667410,2180329,959309,2266639
34,Net Receivables,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,346647,967993,1093765
36,Other Current Assets,99,250,19629,43470,42919,107784,85343,151794,362705,215673,307341
37,Total Current Assets,18024,4718,1576948,876990,4003019,5144260,6079395,4819204,2889681,2142975,3667745
38,PP&E,- -,- -,322,- -,- -,- -,7188,17261,9023,4552,5240
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,10062,- -,- -,- -,3500,3500,3500,-2139475,3500
45,Total Non-Current Assets,- -,- -,10384,- -,- -,- -,10688,20761,12523,-2134923,8740
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18024,4718,1587332,876990,4003019,5144260,6090083,4839965,2902204,8052,3676485
48,Accounts Payable,- -,25,314769,175832,231761,374896,264876,160946,533555,342050,408083
49,Short-Term Debt,- -,- -,- -,- -,473747,899627,- -,- -,- -,37442,1000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3061,6041,140840,2547835,580570,604257,168655,127439,180256,266749,319464
53,Total Current Liabilities,3061,6066,455609,2723667,1286078,1878780,433531,288385,713811,646241,1727547
54,Long-Term Debt,- -,- -,944707,955766,966824,78255,- -,- -,- -,- -,1600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,4090000,210000,26230,3430033,3191752,2995690,- -,1374612
