,https://roic.ai/company/SOHOB,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,23888266,24109017,20935884,24435206,26531023,57855561,67241797,69814379,70762732,71518726,77382344,81172504,87343220,89374527,122939919,138533476,152845752,154266693,178173121,185788133,71502576000,127587924
2,COGS,- -,- -,- -,- -,- -,45154053,50211524,51877091,55869022,- -,59061598,61781992,64297743,65468944,90204355,101885110,112833171,113277368,130489456,138850209,19208057000,15829487
3,Gross Profit,- -,- -,- -,- -,- -,12701508,17030273,17937288,14893710,71518726,18320746,19390512,23045477,23905583,32735564,36648366,40012581,40989325,47683665,46937924,52294519000,111758437
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.2195,0.2533,0.2569,0.2105,1.0000,0.2368,0.2389,0.2638,0.2675,0.2663,0.2645,0.2618,0.2657,0.2676,0.2526,0.7314,0.8759
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,3802618,2071646,2591180,3137349,- -,- -,- -,- -,4078826,4360583,5085949,7268256,6021065,6335926,6180962,6830354,6492526000,6997166
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,8507581,3802618,2071646,2591180,3137349,2940979,3170627,3389764,4025794,4078826,4360583,5085949,7268256,6021065,6335926,6180962,6830354,6492526,6997166
9,Other Expenses,2196038,2167706,2019677,13078626,21110473,4309575,4916721,5050234,6346222,64473865,8506802,8702880,8661769,8467228,11969284,13591495,15019071,16999619,20884643,21637316,82037696474,112816277
10,Operating Expenses,2196038,2167706,2019677,21586207,24913091,6381221,7507901,8187583,9287201,67644492,11896566,12728674,12740595,12827811,17055233,20859751,21040136,23335545,27065605,28467670,82044189000,119813443
