,https://roic.ai/company/MMRTY,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,16709200000,20369500000,23787700000,26561400000,29963600000,34807600000,39783600000,43128700000,47451000000,52950100000,61209100000,72263400000,78173200000,84731800000,91250000000,93735200000,90941600000,93660000000,86485500000
2,COGS,- -,14462000000,17750000000,20647600000,22912400000,24650000000,28435700000,32481400000,35351000000,38879300000,43281800000,49957100000,58926400000,63610800000,68689600000,73948900000,76084600000,73250400000,75946800000,68857400000
3,Gross Profit,- -,2247200000,2619500000,3140100000,3649000000,5313600000,6371900000,7302200000,7777700000,8571700000,9668300000,11252000000,13337000000,14562400000,16042200000,17301100000,17650600000,17691200000,17713200000,17628100000
4,Gross Profit Ratio,- -,0.1345,0.1286,0.1320,0.1374,0.1773,0.1831,0.1835,0.1803,0.1806,0.1826,0.1838,0.1846,0.1863,0.1893,0.1896,0.1883,0.1945,0.1891,0.2038
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1017200000,1168500000,1416600000,1649400000,2079000000,2449800000,2736200000,2965800000,3352900000,3766300000,4336100000,- -,- -,- -,33100000,33000000,34500000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1017200000,1168500000,1416600000,1649400000,2079000000,2449800000,2736200000,2965800000,3352900000,3766300000,4336100000,- -,- -,- -,33100000,33000000,34500000,- -,- -
9,Other Expenses,- -,-798200000,-981800000,-1246100000,-1460300000,1906500000,-1314200000,-1520500000,-1663100000,3348400000,4280700000,4877700000,11362900000,12576300000,13841900000,14833800000,15053700000,15767000000,16740100000,16670900000
10,Operating Expenses,- -,219000000,186700000,170500000,189100000,3985500000,1135600000,1215700000,1302700000,6701300000,8047000000,9213800000,11362900000,12576300000,13841900000,14866900000,15086700000,15801500000,16740100000,16670900000
11,COGS and Expenses,- -,14681000000,17936700000,20818100000,23101500000,28635500000,29571300000,33697100000,36653700000,45580600000,51328800000,59170900000,70289300000,76187100000,82531500000,88815800000,91171300000,89051900000,92686900000,85528300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,95900000,100400000,110600000,112800000,92600000,140400000,183900000,283800000,386800000,507700000,601000000,585400000,648800000,1860400000,1779800000
14,Depreciation and Amortization,- -,106200000,107800000,133500000,156900000,202900000,240900000,297800000,343100000,386500000,486300000,594200000,772700000,871200000,946200000,1113100000,1114400000,1156000000,3301700000,3849800000
15,EBITDA,- -,592300000,752300000,971300000,1070700000,1596600000,1970200000,2429400000,2357900000,2299100000,2130800000,2575900000,2894800000,2821200000,3072600000,3611200000,3856600000,3092800000,4060900000,3769100000
16,EBITDA ratio,- -,0.0354,0.0369,0.0408,0.0403,0.0533,0.0566,0.0611,0.0547,0.0485,0.0402,0.0421,0.0401,0.0361,0.0363,0.0396,0.0411,0.0340,0.0434,0.0436
17,Operating Income,- -,2028200000,2432800000,2969600000,3459900000,1328100000,5236300000,6086500000,6475000000,1870400000,1621300000,2038200000,1974100000,1986100000,2200300000,2434200000,2563900000,1889700000,973100000,957200000
18,Operating Income ratio,- -,0.1214,0.1194,0.1248,0.1303,0.0443,0.1504,0.1530,0.1501,0.0394,0.0306,0.0333,0.0273,0.0254,0.0260,0.0267,0.0274,0.0208,0.0104,0.0111
