,https://roic.ai/company/OIIM,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,23728000,40356000,45819000,70187000,88599000,92196000,105552000,124915000,165540000,138825000,127498000,137789000,124283000,97666000,73785000,63591000,54841000,56561000,60205000,62714000,60928000,78335000,101096000
2,COGS,- -,8561000,15687000,16465000,28143000,38314000,37403000,40741000,56772000,71099000,58110000,52020000,53205000,53273000,44067000,36411000,30856000,27145000,27317000,29426000,30741000,28960000,37951000,48206000
3,Gross Profit,- -,15167000,24669000,29354000,42044000,50285000,54793000,64811000,68143000,94441000,80715000,75478000,84584000,71010000,53599000,37374000,32735000,27696000,29244000,30779000,31973000,31968000,40384000,52890000
4,Gross Profit Ratio,- -,0.6392,0.6113,0.6407,0.5990,0.5676,0.5943,0.6140,0.5455,0.5705,0.5814,0.5920,0.6139,0.5714,0.5488,0.5065,0.5148,0.5050,0.5170,0.5112,0.5098,0.5247,0.5155,0.5232
5,Research and Development Exp.,- -,5521000,9682000,14320000,18935000,19219000,20260000,25421000,31751000,34624000,37424000,33017000,31055000,33591000,34310000,27017000,21885000,18493000,15645000,17989000,19766000,19065000,17119000,19410000
6,General and Administrative Exp.,- -,- -,8714000,9909000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,7746000,8714000,9909000,12369000,17476000,21682000,20279000,29995000,34712000,39003000,45049000,31087000,31165000,34594000,30898000,24721000,23632000,19481000,19047000,20332000,19286000,17742000,21623000
9,Other Expenses,- -,1236000,458000,166000,- -,- -,- -,10174000,10962000,1484000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-817000,-391000
10,Operating Expenses,- -,14503000,18854000,24395000,31304000,36695000,41942000,55874000,72708000,70820000,74427000,78066000,62142000,64756000,68904000,57915000,46606000,42125000,35126000,37036000,40098000,38351000,34044000,40642000
11,COGS and Expenses,- -,23064000,34541000,40860000,59447000,75009000,79345000,96615000,129480000,141919000,132537000,130086000,115347000,118029000,112971000,94326000,77462000,69270000,62443000,66462000,70839000,67311000,71995000,88848000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2328000,1319000,927000,1262000,1706000,1303000,1035000,681000,301000,344000,369000,543000,506000,249000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,1236000,1262000,1346000,2055000,2958000,3078000,3948000,5186000,6927000,6924000,5929000,5282000,5077000,5372000,4685000,3718000,2446000,1682000,1667000,1641000,1780000,3225000,- -
15,EBITDA,- -,2087000,8133000,8132000,14457000,17985000,18634000,13129000,3479000,33367000,-4233000,4714000,18809000,15146000,-19318000,-13422000,-10155000,-14009000,-246000,-3468000,4870000,-2088000,10289000,13085000
16,EBITDA ratio,- -,0.0880,0.2015,0.1775,0.2060,0.2030,0.2021,0.1244,0.0279,0.2016,-0.0305,0.0370,0.1365,0.1219,-0.1978,-0.1819,-0.1597,-0.2554,-0.0043,-0.0576,0.0777,-0.0343,0.1313,0.1294
17,Operating Income,- -,664000,5815000,4959000,10740000,13590000,12851000,8937000,-4565000,23621000,564000,-2588000,22442000,7104000,-27970000,-20541000,-16823000,-14429000,-5859000,-6238000,-8125000,-6383000,5523000,11857000
18,Operating Income ratio,- -,0.0280,0.1441,0.1082,0.1530,0.1534,0.1394,0.0847,-0.0365,0.1427,0.0041,-0.0203,0.1629,0.0572,-0.2864,-0.2784,-0.2646,-0.2631,-0.1036,-0.1036,-0.1296,-0.1048,0.0705,0.1173
19,Total Other Income Expenses (Gains),- -,187000,1056000,1827000,1662000,1437000,2705000,244000,2858000,2819000,-12133000,1373000,928000,2956000,2385000,2440000,2950000,-2026000,3931000,1103000,11354000,2515000,1541000,1228000
20,Income Before Tax,- -,851000,6871000,6786000,12402000,15027000,15556000,9181000,-1707000,26440000,-11569000,-1215000,23370000,10060000,-25585000,-18101000,-13873000,-16455000,-1928000,-5135000,3229000,-3868000,7064000,13085000
21,Income Before Tax Ratio,- -,0.0359,0.1703,0.1481,0.1767,0.1696,0.1687,0.0870,-0.0137,0.1597,-0.0833,-0.0095,0.1696,0.0809,-0.2620,-0.2453,-0.2182,-0.3000,-0.0341,-0.0853,0.0515,-0.0635,0.0902,0.1294
22,Income Tax expense (Gain),- -,13000,227000,1152000,1673000,1826000,1472000,1034000,-2450000,1456000,2240000,1602000,1325000,1063000,1103000,992000,1184000,4640000,1058000,1010000,1141000,1171000,937000,972000
23,Net Income,- -,838000,6644000,5634000,10729000,13201000,14084000,8147000,743000,24984000,-13809000,-2817000,12202000,9006000,-25793000,-19099000,-15057000,-21095000,-2986000,-6145000,2088000,-5039000,6127000,12113000
24,Net Income ratio,- -,0.0353,0.1646,0.1230,0.1529,0.1490,0.1528,0.0772,0.0059,0.1509,-0.0995,-0.0221,0.0886,0.0725,-0.2641,-0.2588,-0.2368,-0.3847,-0.0528,-0.1021,0.0333,-0.0827,0.0782,0.1198
25,EPS,- -,0.00,0.00,0.00,0.28,0.34,0.36,0.21,0.02,0.66,-0.50,-0.08,0.35,0.50,-0.83,-0.67,-0.50,-0.81,-0.12,-0.24,0.08,-0.19,0.25,0.45
26,EPS Diluted,- -,0.00,0.00,0.00,0.27,0.33,0.35,0.20,0.02,0.65,-0.50,-0.08,0.35,0.50,-0.83,-0.67,-0.50,-0.81,-0.12,-0.24,0.08,-0.19,0.20,0.45
27,Weighted Average Shares Outstanding,- -,486700000,970950000,1701000000,38300000,38374000,39156000,39223360,38651500,38114500,37256620,36819900,34133000,33121840,31044000,28716000,27249300,26029000,25643000,25780000,26015900,26320640,26978000,26978000
28,Weighted Average Shares Outstanding Diluted,- -,1486050000,1613000000,1778800000,39591000,39736000,40102000,39949180,38937920,38875700,37384360,36819900,35057000,33886060,31044000,28716000,27249300,26029000,25643000,25780000,26616440,26320640,28724000,26978000
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095348/000101287003002335/d20f.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095348/000119312509108579/d20f.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184310000975/f20f_052010.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184311001579/f20f_052011.htm,- -,https://www.sec.gov/Archives/edgar/data/1095348/000117184313001663/f20f_043013.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184314002034/f20f_042914.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184315002381/f20f_043015.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184316009559/f20f_042816p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184317002014/f20f_040617p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184318002832/f20f_042018p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184319002736/f20f_042619p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184320003137/f20f_043020p.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,37448000,108936000,69334000,66489000,56320000,46375000,45438000,52597000,31844000,38831000,42277000,32562000,27898000,42293000,41069000,41199000,31332000,28520000,32414000,10696000,18752000,20780000
32,Short-Term Investments,- -,- -,- -,10014000,42675000,53923000,63768000,55653000,19697000,28650000,72344000,74502000,68728000,93016000,69427000,33606000,21481000,11233000,21532000,17601000,6172000,35693000,29054000,29186000
33,Cash and Short-Term Investments,- -,- -,37448000,118950000,112009000,120412000,120088000,102028000,65135000,81247000,104188000,113333000,111005000,125578000,97325000,75899000,62550000,52432000,52864000,46121000,38586000,46389000,47806000,49966000
34,Net Receivables,- -,- -,5420000,3700000,7595000,9794000,9431000,11671000,21266000,27356000,10578000,15861000,13239000,12062000,9373000,10447000,7127000,5453000,7621000,9444000,11680000,10553000,16430000,18784000
35,Inventory,- -,- -,5472000,5361000,6967000,9613000,11231000,15943000,14076000,22127000,16388000,9457000,13683000,7926000,7917000,7217000,8642000,9662000,9275000,9330000,10288000,8796000,12588000,19523000
