,https://roic.ai/company/STE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8800000,12900000,26700000,45800000,64300000,91200000,587900000,719656000,797600000,760626000,800087000,866697000,972087000,1087012000,1119745000,1160285000,1197407000,1265090000,1298525000,1257733000,1207448000,1406810000,1501902000,1622252000,1850263000,2238764000,2612756000,2619996000,2782170000,3030895000,3107519000
2,COGS,3400000,5600000,10700000,17200000,22700000,32100000,339500000,395098000,395700000,405529000,425576000,511496000,563266000,629113000,648094000,676100000,692600000,741133000,771783000,718552000,761286000,838345000,880639000,972630000,1075962000,1343283000,1587124000,1525773000,1606743000,1710972000,1764419000
3,Gross Profit,5400000,7300000,16000000,28600000,41600000,59100000,248400000,324558000,401900000,355097000,374511000,355201000,408821000,457899000,471651000,484185000,504807000,523957000,526742000,539181000,446162000,568465000,621263000,649622000,774301000,895481000,1025632000,1094223000,1175427000,1319923000,1343100000
4,Gross Profit Ratio,0.6136,0.5659,0.5993,0.6245,0.6470,0.6480,0.4225,0.4510,0.5039,0.4668,0.4681,0.4098,0.4206,0.4212,0.4212,0.4173,0.4216,0.4142,0.4056,0.4287,0.3695,0.4041,0.4137,0.4004,0.4185,0.4000,0.3925,0.4176,0.4225,0.4355,0.4322
5,Research and Development Exp.,- -,- -,- -,- -,6700000,8300000,22000000,23914000,24800000,24169000,23975000,21706000,25525000,28454000,35547000,33597000,33626000,36916000,32760000,34008000,34280000,35953000,41305000,48641000,54139000,56664000,59397000,60782000,63038000,65546000,66326000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,717529000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5000000,7100000,13300000,19900000,20600000,28700000,125500000,188030000,207400000,261550000,279791000,252882000,257527000,289089000,291111000,315582000,326896000,348035000,314983000,296613000,325468000,309552000,337694000,380970000,493342000,626710000,680069000,629884000,669937000,716731000,731320000
9,Other Expenses,200000,200000,400000,700000,1200000,1800000,16500000,- -,33300000,39672000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5200000,7300000,13700000,20600000,28500000,38800000,164000000,211944000,265500000,325391000,303766000,274588000,283052000,317543000,326658000,349179000,360522000,384951000,347743000,330621000,359748000,345505000,378999000,429611000,547481000,683374000,739466000,690666000,732975000,782277000,797646000
11,COGS and Expenses,8600000,12900000,24400000,37800000,51200000,70900000,503500000,607042000,661200000,730920000,729342000,786084000,846318000,946656000,974752000,1025279000,1053122000,1126084000,1119526000,1049173000,1121034000,1183850000,1259638000,1402241000,1623443000,2026657000,2326590000,2216439000,2339718000,2493922000,2562065000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1603000,1275000,607000,857000,-56000,339000,796000,1665000,1571000,2157000,3020000,1987000,6345000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10563000,13171000,12000000,12065000,15731000,18770000,19187000,42708000,44520000,50629000,45015000,40279000,37180000
14,Depreciation and Amortization,200000,200000,400000,700000,1200000,1800000,16500000,24202000,33300000,39672000,46571000,46884000,46515000,48683000,51192000,57919000,60257000,62778000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225921000,197235000,219237000
15,EBITDA,400000,200000,3000000,10400000,15000000,22800000,11600000,131557000,160500000,56584000,52328000,120221000,170633000,186767000,193133000,173380000,194245000,182577000,177048000,204987000,85819000,223173000,242829000,207146000,228007000,213770000,228500000,404904000,639381000,735995000,774480000
16,EBITDA ratio,0.0455,0.0155,0.1124,0.2271,0.2333,0.2500,0.0197,0.1828,0.2012,0.0744,0.0654,0.1387,0.1755,0.1718,0.1725,0.1494,0.1622,0.1443,0.1363,0.1630,0.0711,0.1586,0.1617,0.1277,0.1232,0.0955,0.0875,0.1545,0.2298,0.2428,0.2492
17,Operating Income,200000,- -,2300000,8000000,13100000,20300000,84400000,112614000,136400000,29706000,24174000,80613000,125769000,140356000,144993000,109698000,137701000,123545000,175445000,203712000,85212000,222316000,242829000,206807000,227211000,212927000,227595000,403454000,411465000,536973000,548368000
18,Operating Income ratio,0.0227,- -,0.0861,0.1747,0.2037,0.2226,0.1436,0.1565,0.1710,0.0391,0.0302,0.0930,0.1294,0.1291,0.1295,0.0945,0.1150,0.0977,0.1351,0.1620,0.0706,0.1580,0.1617,0.1275,0.1228,0.0951,0.0871,0.1540,0.1479,0.1772,0.1765
19,Total Other Income Expenses (Gains),- -,100000,300000,500000,700000,700000,-89300000,-5259000,-9200000,-12794000,-18417000,-7276000,-1651000,-2272000,-3052000,-1580000,-4771000,-3746000,-8960000,-11896000,-11393000,-11208000,-15731000,-18431000,-18391000,-41043000,-42949000,-48472000,-41995000,-38292000,-30835000
20,Income Before Tax,- -,- -,2600000,8500000,13800000,21000000,-4900000,107355000,127200000,16912000,5757000,73337000,124118000,138084000,141941000,108118000,132930000,119799000,166485000,191816000,73819000,211108000,227098000,188376000,208820000,171884000,184646000,354982000,369470000,498681000,517533000
21,Income Before Tax Ratio,- -,- -,0.0974,0.1856,0.2146,0.2303,-0.0083,0.1492,0.1595,0.0222,0.0072,0.0846,0.1277,0.1270,0.1268,0.0932,0.1110,0.0947,0.1282,0.1525,0.0611,0.1501,0.1512,0.1161,0.1129,0.0768,0.0707,0.1355,0.1328,0.1645,0.1665
22,Income Tax expense (Gain),- -,- -,100000,3400000,5100000,8200000,25700000,41859000,42300000,6427000,4440000,27135000,44682000,43841000,55961000,45172000,51833000,42693000,55800000,63349000,22554000,74993000,67121000,58934000,73756000,60299000,74015000,63360000,64394000,90876000,120663000
23,Net Income,- -,- -,2500000,6300000,8700000,12800000,-30600000,65496000,84900000,10485000,1317000,46202000,79436000,94243000,85980000,70289000,82155000,77106000,110685000,128467000,51265000,136115000,159977000,129442000,135064000,110763000,109965000,290915000,304051000,407605000,397400000
24,Net Income ratio,- -,- -,0.0936,0.1376,0.1353,0.1404,-0.0520,0.0910,0.1064,0.0138,0.0016,0.0533,0.0817,0.0867,0.0768,0.0606,0.0686,0.0609,0.0852,0.1021,0.0425,0.0968,0.1065,0.0798,0.0730,0.0495,0.0421,0.1110,0.1093,0.1345,0.1279
25,EPS,-0.01,-0.01,0.02,0.08,-0.15,0.33,-0.46,0.96,1.24,0.16,0.02,0.67,1.14,1.36,1.24,1.03,1.26,1.22,1.88,2.18,0.86,2.33,2.74,2.20,2.27,1.57,1.29,3.42,3.59,4.81,4.66
26,EPS Diluted,-0.01,-0.01,0.02,0.07,-0.15,0.33,-0.46,0.94,1.20,0.15,0.02,0.65,1.12,1.33,1.23,1.02,1.25,1.20,1.86,2.16,0.85,2.31,2.72,2.17,2.25,1.56,1.28,3.39,3.56,4.76,4.63
