,https://roic.ai/company/LPCN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,428031,164990,0,16141
2,COGS,- -,- -,5122864,15479446,12580245,8076053,11004281,6464708,7468210,9748469,- -
3,Gross Profit,- -,- -,-5122864,-15479446,-12580245,-8076053,-11004281,-6036677,-7303220,-9748469,- -
4,Gross Profit Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-14.1034,-44.2646,-256538656.8947,- -
5,Research and Development Exp.,- -,- -,5122864,15479446,12580245,8076053,11004281,6464708,7468210,9748,7666
6,General and Administrative Exp.,4996,75725,3635690,5001368,5801823,10382146,10213695,5289142,5597070,8247795,5330
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4996,75725,3635690,5001368,5801823,10382146,10213695,5289142,5597070,8247795,5330
9,Other Expenses,- -,929,-5122864,-15479446,-12580245,-8076053,-11004281,-6464708,-7468210,-9748,- -
10,Operating Expenses,- -,76654,3635690,5001368,5801823,10382146,10213695,5289142,5597070,8247795,12995
11,COGS and Expenses,5162,76654,8758554,20480814,18382068,18458199,21217976,11753850,13065280,17996264,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,75650,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,386618,-203
14,Depreciation and Amortization,- -,- -,21767,14620,26721,31960,28370,18595,15443,3554,- -
15,EBITDA,-5162,-76654,-8736787,-20466194,-18355347,-18426239,-21189606,-11640727,-12991701,-20574447,-837
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-27.1960,-78.7424,-541432815.7895,-0.0519
17,Operating Income,-5162,-76654,-10683630,-20480814,-18382068,-19186834,-21217976,-11325819,-12900290,-17996264,3145503
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-26.4603,-78.1883,-473585894.7368,194.8785
19,Total Other Income Expenses (Gains),- -,- -,38476,108338,173890,216078,235816,-333503,-106854,-2968355,-3146137
20,Income Before Tax,-5162,-76654,-10645154,-20372476,-18208178,-18970756,-20982160,-11659322,-13007144,-20964619,-634
