,https://roic.ai/company/MLCO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,611000,6071000,17328000,36101000,358613000,1416134000,1332873000,2641976000,3830847000,4078013000,5087178000,4802309000,3974800000,4519396000,5284823000,5158509000,5736801000,1727923000,2012356000
2,COGS,- -,250000,596000,28666000,292039000,1162220000,1157516000,2017830000,2809826000,2939806000,3558573000,3344659000,2798980000,3113738000,3552849000,3316650000,3637915000,1538402000,1491773000
3,Gross Profit,- -,5821000,16732000,7435000,66574000,253914000,175357000,624146000,1021021000,1138207000,1528605000,1457650000,1175820000,1405658000,1731974000,1841859000,2098886000,189521000,520583000
4,Gross Profit Ratio,- -,0.9588,0.9656,0.2059,0.1856,0.1793,0.1316,0.2362,0.2665,0.2791,0.3005,0.3035,0.2958,0.3110,0.3277,0.3571,0.3659,0.1097,0.2587
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1110000,11099000,26297000,10734000,110000,95000,31115000,23029000,57433000,25616000,30677000
6,General and Administrative Exp.,- -,- -,- -,30781000,148459000,125855000,222868000,218569000,223939000,241419000,279678000,414364000,590114000,455772000,501011000,567140000,585142000,472943000,461139000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,6621000,16919000,30781000,148459000,125855000,222868000,218569000,223939000,241419000,279678000,414364000,590114000,455772000,501011000,567140000,585142000,472943000,461139000
9,Other Expenses,- -,130000,3535000,34307000,113932000,126885000,224536000,313065000,350862000,378597000,382806000,369264000,487181000,586675000,592236000,624854000,708633000,631519000,606218000
10,Operating Expenses,- -,6751000,20454000,65088000,262391000,252740000,447404000,531634000,575911000,631115000,688781000,794362000,1077405000,1042542000,1124362000,1215023000,1351208000,1130078000,1098034000
11,COGS and Expenses,461000,7001000,21050000,93754000,554430000,1414960000,1604920000,2549464000,3385737000,3570921000,4247354000,4139021000,3876385000,4156280000,4677211000,4531673000,4989123000,2668480000,2589807000
12,Interest Income ,- -,- -,- -,- -,- -,8215000,498000,404000,4131000,10958000,7660000,20025000,13900000,5951000,3579000,5471000,9311000,5134000,6618000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,31824000,93357000,113806000,109611000,152660000,124090000,118330000,223567000,229582000,264880000,310102000,340839000,350544000
14,Depreciation and Amortization,- -,1872000,8503000,36512000,114937000,126885000,217496000,313065000,350862000,378597000,382806000,368394000,470634000,552272000,540575000,564076000,651205000,618530000,579847000
15,EBITDA,137000,902000,5153000,-38852000,-64668000,122952000,-59273000,396817000,757688000,902468000,1175370000,1103800000,695742000,959923000,1117149000,1180026000,1342819000,-307036000,121525000
16,EBITDA ratio,0.2242,0.1486,0.2974,-1.0762,-0.1803,0.0868,-0.0445,0.1502,0.1978,0.2213,0.2310,0.2298,0.1750,0.2124,0.2114,0.2288,0.2341,-0.1777,0.0604
17,Operating Income,150000,-930000,-3722000,-57653000,-195817000,1174000,-272047000,92512000,445110000,507092000,839824000,685360000,98415000,363116000,607612000,626836000,747678000,-940557000,-577451000
18,Operating Income ratio,0.2455,-0.1532,-0.2148,-1.5970,-0.5460,0.0008,-0.2041,0.0350,0.1162,0.1243,0.1651,0.1427,0.0248,0.0803,0.1150,0.1215,0.1303,-0.5443,-0.2870
19,Total Other Income Expenses (Gains),- -,-131000,64000,-22726000,16212000,-5107000,-36546000,-102117000,-157902000,-111363000,-259370000,-154938000,-158192000,-288020000,-292329000,-273430000,-345111000,-516970000,-376128000
20,Income Before Tax,- -,-1061000,-3658000,-80379000,-179605000,-3933000,-308593000,-9605000,287208000,395729000,580454000,530422000,-59777000,75096000,315283000,353406000,402567000,-1457527000,-953579000
21,Income Before Tax Ratio,- -,-0.1748,-0.2111,-2.2265,-0.5008,-0.0028,-0.2315,-0.0036,0.0750,0.0970,0.1141,0.1105,-0.0150,0.0166,0.0597,0.0685,0.0702,-0.8435,-0.4739
22,Income Tax expense (Gain),- -,37000,-91000,-1885000,-1454000,-1470000,-132000,920000,-1636000,-2943000,2441000,3036000,1031000,8178000,-10000,-445000,8339000,-2913000,2885000
23,Net Income,137000,-1007000,-3259000,-73479000,-178151000,-2463000,-308461000,-10525000,294656000,417203000,637463000,608280000,105747000,175906000,347002000,351515000,373173000,-1263492000,-811751000
24,Net Income ratio,0.2242,-0.1659,-0.1881,-2.0354,-0.4968,-0.0017,-0.2314,-0.0040,0.0769,0.1023,0.1253,0.1267,0.0266,0.0389,0.0657,0.0681,0.0650,-0.7312,-0.4034
25,EPS,0.00,-0.00,-0.02,-0.35,-0.43,-0.01,-0.63,-0.02,0.55,0.88,1.16,1.11,0.20,0.35,0.71,0.73,0.78,-2.65,-1.70
26,EPS Diluted,0.00,-0.00,-0.02,-0.35,-0.43,-0.01,-0.63,-0.02,0.55,0.88,1.15,1.10,0.20,0.34,0.70,0.72,0.77,-2.65,-1.70
27,Weighted Average Shares Outstanding,167887668,625000000,174315068,211076146,408293344,440315647,488658006,531850674,534737775,548930752,549892881,549190516,539087680,505571426,489217736,483683684,478856361,477350912,478029214
28,Weighted Average Shares Outstanding Diluted,167887668,625000000,522945205,503663004,408293344,440315647,488658006,531850674,538951561,548930752,554732697,553501043,542369590,508428091,493114070,486969775,481149141,477350912,478029214
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381640/000114554908000637/h02015e20vf.htm,https://www.sec.gov/Archives/edgar/data/1381640/000136231009004568/0001362310-09-004568-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000095012310030436/0000950123-10-030436-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000095012311031782/0000950123-11-031782-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000119312512169612/d305012d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312513159811/d480016d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312514143622/d634556d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312515130190/d807931d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312516537953/d215050d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312517119393/d259833d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312518115018/d403262d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312519091845/0001193125-19-091845-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000119312520091982/0001193125-20-091982-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,386000,5537000,19769000,583996000,835419000,815144000,212598000,441923000,1158024000,1709209000,1381757000,1597655000,1611026000,1702310000,1408211000,1436558000,1394982000,1755351000,1652890000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,626940000,110616000,724736000,210840000,99758000,91598000,49369000,- -,- -
33,Cash and Short-Term Investments,386000,5537000,19769000,583996000,835419000,815144000,212598000,441923000,1158024000,1709209000,2008697000,1708271000,2335762000,1913150000,1507969000,1528156000,1444351000,1755351000,1652890000
34,Net Receivables,- -,1130000,1435000,566000,49390000,73405000,299701000,261247000,308352000,322517000,287921000,254759000,272864000,226541000,178921000,249692000,284775000,130384000,54875000
35,Inventory,- -,15000,87000,196000,1484000,2170000,6534000,10228000,15258000,16576000,18169000,23111000,33074000,32600000,34988000,40828000,43959000,37277000,29589000
36,Other Current Assets,- -,94000,641000,1790000,314698000,85533000,255887000,187074000,23882000,700724000,833660000,1516820000,378461000,107263000,122915000,138786000,121587000,85811000,131392000
37,Total Current Assets,- -,6776000,21932000,586548000,1200991000,976252000,774720000,900472000,1505516000,2749026000,3148447000,3502961000,3020161000,2279554000,1844793000,1957462000,1894672000,2008823000,1868746000
38,PP&E,- -,10613000,67794000,279885000,980241000,2107722000,2786646000,2671895000,2655429000,2684094000,3308846000,4696391000,5760229000,5655823000,5730760000,5661653000,5834952000,5844732000,5978718000
39,Goodwill,- -,34417000,34417000,81915000,81915000,81915000,81915000,81915000,81915000,81915000,81915000,81915000,81915000,81915000,81915000,81376000,95620000,82203000,81721000
40,Intangible Assets,- -,52611000,143513000,427286000,451688000,438073000,451796000,432375000,1546693000,1536472000,1440869000,1319202000,1207909000,1127856000,1047802000,987256000,914076000,865070000,773194000
41,Intangible Assets,- -,87028000,177930000,509201000,533603000,519988000,533711000,514290000,1628608000,1618387000,1522784000,1401117000,1289824000,1209771000,1129717000,1068632000,1009696000,947273000,854915000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568936000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,28000,- -,25000,24000,105000,93000,115000,83000,152000,11000,2992000,3558000,6376000,4029000
44,Other Non-Current Assets,- -,1695000,153552000,904286000,905433000,894299000,805292000,797758000,480403000,895854000,833469000,831979000,339485000,195041000,189775000,186644000,176608000,213763000,177282000
45,Total Non-Current Assets,- -,99336000,399276000,1693372000,2419277000,3522037000,4125649000,3983968000,4764464000,5198440000,5665192000,6929602000,7389621000,7060787000,7050263000,6919921000,7593750000,7012144000,7014944000
