,https://roic.ai/company/YMAB,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,- -,- -,20750000,34897000
2,COGS,- -,- -,- -,- -,2203000,2514000
3,Gross Profit,- -,- -,- -,- -,18547000,32383000
4,Gross Profit Ratio,- -,- -,- -,- -,0.8938,0.9280
5,Research and Development Exp.,13855000,14307000,34269000,63492000,93697000,93245000
6,General and Administrative Exp.,3184000,4937000,8961000,19512000,44785000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3184000,4937000,8961000,19512000,44785000,54571000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,17039000,19244000,43230000,83004000,138482000,147816000
11,COGS and Expenses,17039000,19244000,43230000,83004000,140685000,150330000
12,Interest Income ,- -,- -,- -,1976000,598000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,1852000
14,Depreciation and Amortization,- -,- -,29000,166000,396000,782000
15,EBITDA,-17039000,-19244000,-43201000,-82838000,-118941000,-52641000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-5.7321,-1.5085
17,Operating Income,-17039000,-19244000,-43230000,-83004000,-119935000,-115433000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-5.7800,-3.3078
19,Total Other Income Expenses (Gains),-18000,83000,-44000,1976000,598000,60158000
20,Income Before Tax,-17057000,-19161000,-43274000,-81028000,-119337000,-55275000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-5.7512,-1.5839
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-17057000,-19161000,-43274000,-81028000,-119337000,-55275000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-5.7512,-1.5839
25,EPS,-0.51,-0.58,-1.50,-2.30,-2.97,-1.38
26,EPS Diluted,-0.51,-0.58,-1.50,-2.30,-2.97,-1.38
27,Weighted Average Shares Outstanding,33293666,33293666,28772384,35183488,40118537,40118537
28,Weighted Average Shares Outstanding Diluted,33293666,33293666,28772384,35183488,40118537,40118537
