,https://roic.ai/company/CDNA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,20451000,22098000,27306000,28144000,40631000,48324000,76569000,127068000,192194000,296397000
2,COGS,7930000,9078000,8541000,10273000,21122000,21371000,32987000,45455000,63117000,97389000
3,Gross Profit,12521000,13020000,18765000,17871000,19509000,26953000,43582000,81613000,129077000,199008000
4,Gross Profit Ratio,0.6122,0.5892,0.6872,0.6350,0.4802,0.5578,0.5692,0.6423,0.6716,0.6714
5,Research and Development Exp.,4752000,3176000,3846000,9333000,12385000,12388000,14514000,30711000,48941000,76525000
6,General and Administrative Exp.,4694000,4809000,8436000,12247000,20725000,18913000,21959000,36540000,48806000,74964000
7,Selling and Marketing Exp.,5417000,5892000,6472000,8349000,11166000,12808000,21670000,38894000,53858000,77245000
8,"Selling, General and Administrative Exp.",10111000,10701000,14908000,20596000,31891000,31721000,43629000,75434000,102664000,152209000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-4813000,- -
10,Operating Expenses,14863000,13877000,18754000,29929000,44276000,44109000,58143000,106145000,146792000,228734000
11,COGS and Expenses,22793000,22955000,27295000,40202000,65398000,65480000,91130000,151600000,209909000,326123000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,271000,160000
13,Interest Expense (Gain),2703000,2149000,2116000,1587000,1860000,5863000,3701000,- -,- -,- -
14,Depreciation and Amortization,1072000,663000,512000,796000,2920000,3759000,4215000,5523000,9544000,11885000
15,EBITDA,-1284000,-730000,1909000,-11324000,-36295000,-47556000,-40274000,-18424000,-10206000,-20203000
16,EBITDA ratio,-0.0628,-0.0330,0.0699,-0.4024,-0.8933,-0.9841,-0.5260,-0.1450,-0.0531,-0.0682
17,Operating Income,-2342000,-857000,1250000,-11932000,-37332000,-20294000,-15578000,-24532000,-22528000,-29726000
18,Operating Income ratio,-0.1145,-0.0388,0.0458,-0.4240,-0.9188,-0.4200,-0.2035,-0.1931,-0.1172,-0.1003
19,Total Other Income Expenses (Gains),-2717000,-2685000,-1969000,-1775000,-4030000,-36975000,-32637000,585000,2778000,-2362000
20,Income Before Tax,-5059000,-3542000,-719000,-13707000,-41362000,-57269000,-48215000,-23947000,-19750000,-32088000
21,Income Before Tax Ratio,-0.2474,-0.1603,-0.0263,-0.4870,-1.0180,-1.1851,-0.6297,-0.1885,-0.1028,-0.1083
22,Income Tax expense (Gain),- -,- -,-1500000,- -,-1606000,-1709000,-1434000,-1979000,-1036000,-1426000
23,Net Income,-5059000,-3542000,781000,-13707000,-39469000,-55469000,-46756000,-21968000,-18714000,-30662000
24,Net Income ratio,-0.2474,-0.1603,0.0286,-0.4870,-0.9714,-1.1479,-0.6106,-0.1729,-0.0974,-0.1034
25,EPS,-0.69,-0.41,0.13,-1.16,-2.39,-2.38,-1.31,-0.52,-0.40,-0.58
26,EPS Diluted,-0.69,-0.41,0.10,-1.16,-2.39,-2.38,-1.31,-0.52,-0.40,-0.58
27,Weighted Average Shares Outstanding,7372700,7371515,5815928,11860885,16496911,23332503,35638956,42151617,46481772,52681451
28,Weighted Average Shares Outstanding Diluted,7372700,7371515,9283001,11860885,16496911,23332503,35638956,42151617,46481772,52681451
