,https://roic.ai/company/SNDA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,30700000,42800000,64000000,59654000,70543000,61482000,66325000,93262000,105230000,159070000,189052000,193274000,191991000,211929000,263502000,310536000,350362000,383925000,412177000,447448000,466997000,460018000,447100000,383864000
2,COGS,17500000,16900000,24000000,29035000,38181000,33118000,40208000,57801000,68707000,106037000,120585000,107315000,122817000,132503000,160077000,187300000,213831000,233605000,248736000,273899000,290662000,294661000,306786000,279572000
3,Gross Profit,13200000,25900000,40000000,30619000,32362000,28364000,26117000,35461000,36523000,53033000,68467000,85959000,69174000,79426000,103425000,123236000,136531000,150320000,163441000,173549000,176335000,165357000,140314000,104292000
4,Gross Profit Ratio,0.4300,0.6051,0.6250,0.5133,0.4588,0.4613,0.3938,0.3802,0.3471,0.3334,0.3622,0.4448,0.3603,0.3748,0.3925,0.3968,0.3897,0.3915,0.3965,0.3879,0.3776,0.3595,0.3138,0.2717
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38956000,46707000,66928000,73702000,81546000,86216000,90397000,97034000,87688000,91940000,87048000,57737000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38956000,46707000,66928000,73702000,81546000,86216000,90397000,97034000,87688000,91940000,87048000,57737000
9,Other Expenses,8400000,9500000,30300000,21115000,19090000,17403000,20302000,28730000,25561000,41366000,51704000,68944000,13606000,14204000,18586000,35879000,43735000,50204000,54209000,62125000,67947000,65814000,67955000,60302000
10,Operating Expenses,8400000,9500000,30300000,21115000,19090000,17403000,20302000,28730000,25561000,41366000,51704000,68944000,52562000,60911000,85514000,109581000,125281000,136420000,144606000,159159000,155635000,157754000,155003000,118039000
11,COGS and Expenses,25900000,26400000,54300000,50150000,57271000,50521000,60510000,86531000,94268000,147403000,172289000,176259000,175379000,193414000,245591000,296881000,339112000,370025000,393342000,433058000,446297000,452415000,461789000,397611000
12,Interest Income ,- -,- -,- -,5981000,5914000,5968000,4278000,572000,133000,843000,674000,422000,67000,48000,102000,453000,151000,52000,53000,67000,73000,165000,221000,193000
13,Interest Expense (Gain),- -,1900000,- -,11980000,14888000,10749000,12481000,15769000,18595000,16610000,12763000,12217000,11819000,11242000,11900000,18022000,23767000,31261000,35732000,42207000,49471000,50543000,49802000,44564000
14,Depreciation and Amortization,2100000,2900000,5200000,5681000,7979000,6713000,8871000,12912000,13793000,13329000,12215000,13350000,13262000,14030000,18299000,35130000,43238000,49487000,53017000,60398000,66199000,62824000,64190000,60302000
15,EBITDA,6600000,24300000,13000000,19663000,27494000,25159000,29440000,19653000,24761000,26430000,32428000,31604000,30048000,32947000,35723000,49002000,56260000,57341000,75365000,75023000,73998000,58000000,78410000,-190113000
16,EBITDA ratio,0.2150,0.5678,0.2031,0.3296,0.3897,0.4092,0.4439,0.2107,0.2353,0.1662,0.1715,0.1635,0.1565,0.1555,0.1356,0.1578,0.1606,0.1494,0.1828,0.1677,0.1585,0.1261,0.1754,-0.4953
17,Operating Income,4800000,16400000,9700000,9504000,13272000,10961000,5815000,6731000,10962000,11667000,16763000,17015000,16612000,18515000,17911000,13655000,11250000,13900000,18835000,14390000,7842000,7603000,-14689000,-13747000
18,Operating Income ratio,0.1564,0.3832,0.1516,0.1593,0.1881,0.1783,0.0877,0.0722,0.1042,0.0733,0.0887,0.0880,0.0865,0.0874,0.0680,0.0440,0.0321,0.0362,0.0457,0.0322,0.0168,0.0165,-0.0329,-0.0358
19,Total Other Income Expenses (Gains),-300000,3100000,-1900000,-7502000,-8492000,-2836000,2164000,-15797000,-18608000,-15176000,-9313000,-10978000,-11645000,-10840000,-12387000,-17805000,-21995000,-37307000,-32219000,-41972000,-49514000,-62970000,-20893000,-281232000
20,Income Before Tax,4500000,19500000,7800000,2002000,4780000,8125000,7979000,-9066000,-7646000,-3509000,7450000,6037000,4967000,7675000,5524000,-4150000,-10745000,-23407000,-13384000,-27582000,-41672000,-55367000,-35582000,-294979000
21,Income Before Tax Ratio,0.1466,0.4556,0.1219,0.0336,0.0678,0.1322,0.1203,-0.0972,-0.0727,-0.0221,0.0394,0.0312,0.0259,0.0362,0.0210,-0.0134,-0.0307,-0.0610,-0.0325,-0.0616,-0.0892,-0.1204,-0.0796,-0.7684
22,Income Tax expense (Gain),800000,7500000,3000000,763000,1871000,3015000,3098000,-2270000,-2273000,-909000,3090000,2313000,2208000,3421000,2499000,-1031000,5759000,719000,900000,435000,2496000,-1771000,448000,389000
23,Net Income,3700000,12000000,4800000,1239000,2756000,4682000,4990000,-6758000,-5354000,-2600000,4360000,3724000,2759000,4254000,3025000,-3119000,-16504000,-24126000,-14284000,-28017000,-44168000,-53596000,-36030000,-295368000
24,Net Income ratio,0.1205,0.2804,0.0750,0.0208,0.0391,0.0762,0.0752,-0.0725,-0.0509,-0.0163,0.0231,0.0193,0.0144,0.0201,0.0115,-0.0100,-0.0471,-0.0628,-0.0347,-0.0626,-0.0946,-0.1165,-0.0806,-0.7695
25,EPS,4.95,9.15,3.75,0.90,2.10,3.60,3.75,-4.05,-3.15,-1.50,2.55,2.10,1.50,2.40,1.65,-1.65,-8.70,-12.45,-7.50,-14.55,-22.50,-27.00,-17.85,-144.08
26,EPS Diluted,4.95,9.15,3.60,0.90,2.10,3.60,3.75,-4.05,-3.15,-1.50,2.40,2.10,1.50,2.40,1.65,-1.65,-8.70,-12.45,-7.50,-14.55,-22.50,-27.00,-17.85,-144.08
27,Weighted Average Shares Outstanding,743342,1314496,1314496,1314473,1314473,1315073,1318939,1680875,1721808,1734275,1747008,1758475,1750475,1772475,1799675,1823275,1854342,1886742,1912542,1927276,1963543,1987476,2017543,2050000
28,Weighted Average Shares Outstanding Diluted,743342,1316673,1320429,1314939,1315606,1327806,1331673,1680875,1721808,1734275,1775808,1774675,1757075,1779142,1804142,1823275,1854342,1886742,1912542,1927276,1963543,1987476,2017543,2050000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1043000/000119312521145122/0001193125-21-145122-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,11768000,6594000,19515000,21831000,25569000,23359000,25880000,28972000,31248000,22283000,18737000,13611000,39209000,56087000,34026000,17646000,31309000,23975000,17885000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,11768000,6594000,19515000,21831000,25569000,23359000,25880000,28972000,31248000,22283000,18737000,13611000,39209000,56087000,34026000,17646000,31309000,23975000,17885000
34,Net Receivables,- -,- -,- -,- -,- -,2850000,2893000,5865000,4858000,4863000,6162000,7325000,5257000,8650000,10672000,9883000,9291000,5908000,9254000,13675000,12307000,10733000,8215000,5896000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,6053000,11864000,7147000,11408000,12659000,14613000,15968000,16371000,23933000,28044000,27822000,29911000,67457000,31927000,34327000,34096000,31416000,31023000,19647000
37,Total Current Assets,- -,- -,- -,- -,- -,20671000,21351000,32527000,38097000,43091000,44134000,49173000,50600000,63831000,60999000,56442000,52813000,112574000,97268000,82028000,64049000,73458000,63213000,43428000
38,PP&E,- -,- -,- -,- -,- -,153544000,380115000,381051000,373007000,313569000,310442000,305881000,300678000,295095000,365459000,527159000,649967000,747243000,890572000,1032430000,1099786000,1059049000,1193734000,656267000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14163000,12063000,7813000,7719000,6301000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14163000,12063000,7813000,7719000,6301000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6536000,2224000,1070000,1074000,1010000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,7106000,6554000,7011000,8217000,15448000,12824000,11062000,7781000,3478000,5782000,9350000,- -,- -,- -,- -,- -,152000,76000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,96930000,13313000,10586000,14730000,22380000,22653000,22004000,14908000,18153000,29016000,28754000,29696000,30071000,23474000,25022000,18836000,16485000,10673000,3138000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,257580000,399982000,398648000,395954000,351397000,345919000,338947000,329903000,318950000,401327000,580500000,692736000,785127000,921765000,1063753000,1118622000,1075686000,1204483000,659405000
