,https://roic.ai/company/SSL,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9637594550,11954699880,13450099950,15816719500,16364987100,19174049358,25598088720,43475447500,62907300000,67859281980,58030053600,67426900540,56980160720,99922206000,121976580000,137836000000,122256000000,142436000000,169446000000,181269000000,202683000000,185266000000,172942000000,172407000000,181461000000,203576000000,190367000000,201910000000
2,COGS,6323609650,8128221390,9334392750,10606458000,11917070550,13790642844,16597754640,27080557500,37477350000,44752994370,37293637450,44268642520,27300164800,61094889000,70055700000,88508000000,79183000000,90467000000,111042000000,89568000000,102740000000,93736000000,87687000000,87640000000,93031000000,108557000000,112684000000,103014000000
3,Gross Profit,3313984900,3826478490,4115707200,5210261500,4447916550,5383406514,9000334080,16394890000,25429950000,23106287610,20736416150,23158258020,29679995920,38827317000,51920880000,49328000000,43073000000,51969000000,58404000000,91701000000,99943000000,91530000000,85255000000,84767000000,88430000000,95019000000,77683000000,98896000000
4,Gross Profit Ratio,0.3439,0.3201,0.3060,0.3294,0.2718,0.2808,0.3516,0.3771,0.4042,0.3405,0.3573,0.3435,0.5209,0.3886,0.4257,0.3579,0.3523,0.3649,0.3447,0.5059,0.4931,0.4940,0.4930,0.4917,0.4873,0.4667,0.4081,0.4898
5,Research and Development Exp.,- -,- -,- -,- -,147262500,147209592,318535920,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9050000000,10458000000,10903000000,11672000000,29305000000,34124000000,27435000000,29623000000,30636000000,37202000000,37551000000,37397000000,39679000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6496000000,6796000000,6701000000,5371000000,5762000000,6041000000,6914000000,6405000000,7060000000,7836000000,8388000000,8026000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9050000000,16954000000,17699000000,18373000000,34676000000,39886000000,33476000000,36537000000,37041000000,44262000000,45387000000,45785000000,47705000000
9,Other Expenses,757860350,996709830,877792350,977292500,1272348000,1616288922,2019653280,5048917500,10215450000,11257485120,12114141900,8224738780,10627053680,12740433600,20181040000,24662000000,2182000000,4320000000,3516000000,11086000000,10132000000,11061000000,13261000000,14910000000,14025000000,20503000000,18208000000,20047000000
