,https://roic.ai/company/TPTX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,25000000,30829000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,25,- -
4,Gross Profit Ratio,- -,- -,- -,0.0000,- -
5,Research and Development Exp.,15241000,21062000,57943000,113411000,192979000
6,General and Administrative Exp.,1488000,4578000,19781000,73425000,75850000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1488000,4578000,19781000,73425000,75850000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,16729000,25640000,77724000,186836000,268829000
11,COGS and Expenses,16729000,25640000,77724000,186836000,268829000
12,Interest Income ,136000,856000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,63000,138000,1579000,2393000,3967000
15,EBITDA,-16666000,-25502000,-76145000,-154899000,-232584000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-6.1960,-7.5443
17,Operating Income,-16729000,-25640000,-77724000,-161836000,-238000000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-6.4734,-7.7200
19,Total Other Income Expenses (Gains),136000,856000,5593000,4544000,1449000
20,Income Before Tax,-16593000,-24784000,-72131000,-157292000,-236551000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-6.2917,-7.6730
22,Income Tax expense (Gain),1000,1000,- -,- -,- -
23,Net Income,-16593000,-24785000,-72131000,-157292000,-236551000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-6.2917,-7.6730
25,EPS,-1.11,-1.66,-2.99,-3.85,-4.80
26,EPS Diluted,-1.11,-1.66,-2.99,-3.85,-4.80
27,Weighted Average Shares Outstanding,14938047,14938047,24124924,40843782,49264549
28,Weighted Average Shares Outstanding Diluted,14938047,14938047,24124924,40843782,49264549
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1595893/000156459020011492/0001564590-20-011492-index.htm,https://www.sec.gov/Archives/edgar/data/1595893/000156459021009849/0001564590-21-009849-index.htm,https://www.sec.gov/Archives/edgar/data/1595893/000095017022002302/0000950170-22-002302-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,45033000,101029000,48188000,554101000,427879000
32,Short-Term Investments,- -,- -,360963000,568407000,553703000
33,Cash and Short-Term Investments,45033000,101029000,409151000,1122508000,981582000
34,Net Receivables,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -
