,https://roic.ai/company/INSW,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,585360000,517018000,497634000,398319000,290101000,270361000,366184000,421648000,272546000
2,COGS,583222000,449689000,284224000,272514000,276894000,279602000,282635000,252473000,310351000
3,Gross Profit,2138000,67329000,213410000,125805000,13207000,-9241000,83549000,169175000,-37805000
4,Gross Profit Ratio,0.0037,0.1302,0.4288,0.3158,0.0455,-0.0342,0.2282,0.4012,-0.1387
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,69848000,56014000,41555000,40661000,25340000,24304000,26798000,29047000,33256000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",69848000,56014000,41555000,40661000,25340000,24304000,26798000,29047000,33256000
9,Other Expenses,- -,- -,- -,- -,- -,- -,1245000,-71000,-21000
10,Operating Expenses,69848000,56014000,41555000,40661000,25340000,24304000,28043000,28976000,33235000
11,COGS and Expenses,653070000,505703000,325779000,313175000,302234000,303906000,310678000,281449000,343586000
12,Interest Income ,- -,- -,- -,- -,676000,1300000,2767000,558000,104000
13,Interest Expense (Gain),350000,56258000,42970000,39476000,40438000,60231000,66267000,36712000,36796000
14,Depreciation and Amortization,108675000,84931000,81653000,79885000,78853000,72428000,75653000,74343000,86674000
15,EBITDA,-610563000,22834000,297933000,101578000,13247000,43614000,141091000,105525000,-8404000
16,EBITDA ratio,-1.0431,0.0442,0.5987,0.2550,0.0457,0.1613,0.3853,0.2503,-0.0308
17,Operating Income,-415385000,42476000,221873000,22790000,-59262000,-25099000,66381000,43999000,-90299000
18,Operating Income ratio,-0.7096,0.0822,0.4459,0.0572,-0.2043,-0.0928,0.1813,0.1044,-0.3313
19,Total Other Income Expenses (Gains),-304203000,-160831000,-48563000,-40573000,-46782000,-63946000,-67210000,-49529000,-42743000
20,Income Before Tax,-719588000,-118355000,173310000,-17783000,-106044000,-89045000,-829000,-5530000,-133042000
21,Income Before Tax Ratio,-1.2293,-0.2289,0.3483,-0.0446,-0.3655,-0.3294,-0.0023,-0.0131,-0.4881
22,Income Tax expense (Gain),4217000,744000,140000,440000,44000,-105000,1000,1000,1618000
23,Net Income,-723805000,-119099000,173170000,-18223000,-106088000,-88940000,-830000,-5531000,-133492000
24,Net Income ratio,-1.2365,-0.2304,0.3480,-0.0457,-0.3657,-0.3290,-0.0023,-0.0131,-0.4898
25,EPS,-24.82,-4.08,6.05,-0.62,-3.64,-3.05,-0.03,-0.20,-3.48
26,EPS Diluted,-24.82,-4.08,6.05,-0.62,-3.64,-3.05,-0.03,-0.20,-3.48
27,Weighted Average Shares Outstanding,29157494,29157494,29157494,29157992,29159440,29136634,29225483,28372375,38407007
28,Weighted Average Shares Outstanding Diluted,29157494,29157494,29157494,29157992,29159440,29136634,29225483,28372375,38407007
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1679049/000114420417017875/0001144204-17-017875-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000114420418013984/0001144204-18-013984-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000114420419013398/0001144204-19-013398-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000155837020001928/0001558370-20-001928-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000155837021002852/0001558370-21-002852-index.htm,https://www.sec.gov/Archives/edgar/data/1679049/000155837022002682/0001558370-22-002682-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,178240000,308858000,92001000,60027000,58313000,89671000,199390000,97883000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,178240000,308858000,92001000,60027000,58313000,89671000,199390000,97883000
34,Net Receivables,- -,94363000,79415000,72220000,62598000,99869000,87783000,47841000,112747000
35,Inventory,- -,6381000,3396000,1338000,3270000,3066000,3896000,3601000,2110000
36,Other Current Assets,- -,6188000,5067000,5350000,5897000,6372000,5994000,6002000,11759000
37,Total Current Assets,- -,285172000,396736000,170909000,131792000,167620000,187344000,256834000,224499000
38,PP&E,- -,1316538000,1240411000,1100050000,1104727000,1330795000,1326234000,1129802000,1875309000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
