,https://roic.ai/company/UE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,299856000,304233000,362995000,315676000,322945000,325976000,407042000,414160000,387649000,330095000,425082000
2,COGS,85964000,89317000,86055000,101823000,99906000,96709000,110631000,137877000,124241000,- -,132375000
3,Gross Profit,213892000,214916000,276940000,213853000,223039000,229267000,296411000,276283000,263408000,330095000,292707000
4,Gross Profit Ratio,0.7133,0.7064,0.7629,0.6774,0.6906,0.7033,0.7282,0.6671,0.6795,1.0000,0.6886
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,36963000,30754000,36018000,28124000,42173000,37485000,41261000,46432000,52686000,48682000,52024000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",36963000,30754000,36018000,28124000,42173000,37485000,41261000,46432000,52686000,48682000,52024000
9,Other Expenses,32891000,53196000,54709000,63289000,82790000,58764000,86004000,103560000,94116000,- -,92331000
10,Operating Expenses,69854000,83950000,90727000,91413000,124963000,96249000,127265000,149992000,146802000,48682000,144355000
11,COGS and Expenses,155818000,173267000,176782000,193236000,224869000,192958000,237896000,287869000,271043000,48682000,276730000
12,Interest Income ,- -,20000,11000,35000,150000,679000,2248000,8336000,9774000,2599000,360000
13,Interest Expense (Gain),53128000,51754000,53907000,53300000,52846000,49051000,53342000,61989000,63783000,68184000,54946000
14,Depreciation and Amortization,52991000,54978000,55925000,55313000,58299000,57178000,82511000,100063000,93785000,97751000,94135000
15,EBITDA,195022000,177933000,221246000,176106000,151224000,197848000,202645000,270721000,268378000,302681000,252906000
16,EBITDA ratio,0.6504,0.5849,0.6095,0.5579,0.4683,0.6069,0.4978,0.6537,0.6923,0.9170,0.5950
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-55138000,-59752000,-74778000,-54925000,-55434000,-35584000,-96486000,-5809000,878000,- -,64707000
20,Income Before Tax,88900000,71214000,111435000,67515000,42642000,97434000,72660000,120482000,117484000,58754000,108954000
21,Income Before Tax Ratio,0.2965,0.2341,0.3070,0.2139,0.1320,0.2989,0.1785,0.2909,0.3031,0.1780,0.2563
22,Income Tax expense (Gain),1440000,1364000,2100000,1721000,1294000,804000,-278000,3519000,1287000,38996000,1139000
23,Net Income,87463000,69837000,109314000,65772000,38785000,90815000,67070000,105150000,109523000,97750000,102686000
24,Net Income ratio,0.2917,0.2296,0.3011,0.2084,0.1201,0.2786,0.1648,0.2539,0.2825,0.2961,0.2416
25,EPS,0.88,0.70,0.97,0.66,0.39,0.91,0.62,0.92,0.91,0.79,0.87
26,EPS Diluted,0.88,0.70,0.97,0.66,0.39,0.91,0.61,0.92,0.91,0.79,0.87
27,Weighted Average Shares Outstanding,99136000,99248000,99136000,99300000,99252000,99364000,107132000,113863000,119751000,117722000,117722000
28,Weighted Average Shares Outstanding Diluted,99136000,99248000,99136000,99300000,99278000,99794000,118390000,114051000,119896000,117902000,117902000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1611547/000110465915032592/0001104659-15-032592-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154716000035/0001611547-16-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154717000009/0001611547-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154718000009/0001611547-18-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1611547/000161154720000008/0001611547-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154721000006/0001611547-21-000006-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4345000,5223000,2600000,168983000,131654000,490279000,440430000,432954000,384572000,164478000
