,https://roic.ai/company/NERV,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,41175600,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,41175600,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,550360,708489,42908566,18533363,20439994,30255892,34888574,58124354,22039440,32038947
6,General and Administrative Exp.,1030656,2466490,11961865,7576256,9750702,10914269,16841308,17740742,17289413,13326710
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1030656,2466490,11961865,7576256,9750702,10914269,16841308,17740742,17289413,13326710
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1581016,3174979,54870431,26109619,30190696,41170161,51729882,75865096,39328853,45365657
11,COGS and Expenses,1581016,3174979,54870431,26109619,30190696,41170161,51729882,75865096,39328853,45365657
12,Interest Income ,7,1559,- -,96910,- -,941833,1673890,- -,- -,- -
13,Interest Expense (Gain),- -,59608,2049735,1053070,1029734,614264,110448,- -,- -,6327321
14,Depreciation and Amortization,- -,- -,33869,17276,16530,11094,17467,161507,176177,101786
15,EBITDA,-1581009,-3173420,-54836562,-26092343,-30174166,-41159067,-51712415,-75703589,2116948,-45263871
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0514,-Infinity
17,Operating Income,-1581016,-3174979,-54870431,-26109619,-30190696,-41170161,-51729882,-75865096,1846747,-45365657
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0449,-Infinity
19,Total Other Income Expenses (Gains),-939,-87026,-2031008,-972013,-854676,270682,1558595,1427474,94024,-6343651
20,Income Before Tax,-1581955,-3262005,-56901439,-27081632,-31045372,-40899479,-50171287,-74437622,1940771,-51709308
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0471,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-9376272,- -,-2254132,- -,-1803356
23,Net Income,-1581955,-3262005,-56901439,-27081632,-31045372,-31523207,-50171287,-72183490,1940771,-49905952
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0471,-Infinity
25,EPS,-0.09,-0.18,-4.47,-1.16,-0.99,-0.83,-1.29,-1.85,0.05,-1.17
26,EPS Diluted,-0.09,-0.18,-4.47,-1.16,-0.99,-0.83,-1.29,-1.85,0.05,-1.17
27,Weighted Average Shares Outstanding,18278084,18278084,12724395,23412181,31514154,37937191,38792581,39014000,40823717,42721566
28,Weighted Average Shares Outstanding Diluted,18278084,18278084,12724395,23412181,31514154,37937191,38792581,39014000,40916871,42721566
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1598646/000156459015002008/nerv-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1598646/000156459016014641/0001564590-16-014641-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459017004048/0001564590-17-004048-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459018005224/0001564590-18-005224-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459019007246/0001564590-19-007246-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459020009243/0001564590-20-009243-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459021011340/0001564590-21-011340-index.htm,https://www.sec.gov/Archives/edgar/data/1598646/000156459022007853/0001564590-22-007853-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,200314,1818317,18545702,14284054,82980609,26051821,50234871,21412623,25356952,60755080
32,Short-Term Investments,- -,- -,- -,17920632,- -,102109419,37762439,24441520,- -,- -
33,Cash and Short-Term Investments,200314,1818317,18545702,32204686,82980609,128161240,87997310,45854143,25356952,60755080
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,8995,852,791993,1276136,883241,1379184,2021050,1282483,2083264,1446359
37,Total Current Assets,209309,1819169,19337695,33480822,83863850,129540424,90018360,47136626,27440216,62201439
38,PP&E,- -,3232,43446,26170,9640,50945,33478,277963,101786,- -
39,Goodwill,- -,7918387,14869399,14869399,14869399,14869399,14869399,14869399,14869399,14869399
40,Intangible Assets,- -,19000000,34200000,34200000,34200000,34200000,34200000,15200000,15200000,51080
41,Intangible Assets,- -,26918387,49069399,49069399,49069399,49069399,49069399,30069399,30069399,14920479
42,Investments,- -,- -,- -,- -,- -,5022982,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,433998,- -,- -,- -,14808,14808,14808,14808,- -
45,Total Non-Current Assets,- -,27355617,49112845,49095569,49079039,54158134,49117685,30362170,30185993,14920479
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,209309,29174786,68450540,82576391,132942889,183698558,139136045,77498796,57626209,77121918
48,Accounts Payable,- -,522981,641813,1360569,1468341,1435636,1799666,2317004,995614,1853215
49,Short-Term Debt,- -,- -,- -,1434756,4853753,3962664,- -,- -,3962664,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,190290,883602,2867678,2524638,3363765,1439848,1809532,4312064,-1798026,965739
53,Total Current Liabilities,190290,1406583,3509491,5319963,9685859,6838148,3609198,6629068,3160252,2818954
54,Long-Term Debt,- -,- -,- -,8503111,3841062,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,41175600,41175600,41175600,- -,- -
56,Deferred Tax Liabilities,- -,7588600,13433760,13433760,13433760,4057488,4057488,1803356,1803356,- -
57,Other Non-Current Liabilities,- -,- -,7694,- -,- -,29878,28990,111229,- -,66327321
58,Total Non-Current Liabilities,- -,7588600,13441454,21936871,17274822,45262966,45262078,43090185,1803356,66327321
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,284130,111229,- -
61,Total Liabilities,190290,8995183,16950945,27256834,26960681,52101114,48871276,49719253,4963608,69146275
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,356,611,1844,2472,3502,3875,3894,3908,4272,4272
64,Retained Earnings,-14567786,-17829791,-74731230,-101812862,-132858234,-164381441,-214552728,-286736218,-284795447,-334701399
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,14586449,38008783,126228981,157129947,238836940,295975010,304813603,314511853,337453776,342672770
67,Total Stockholders Equity,19019,20179603,51499595,55319557,105982208,131597444,90264769,27779543,52662601,7975643
68,Total Liabilities And Stockholders Equity,209309,29174786,68450540,82576391,132942889,183698558,139136045,77498796,57626209,77121918
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,209309,29174786,68450540,82576391,132942889,183698558,139136045,77498796,57626209,77121918
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1598646/000156459015002008/nerv-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1598646/000156459016014641/0001564590-16-014641-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459017004048/0001564590-17-004048-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459018005224/0001564590-18-005224-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459019007246/0001564590-19-007246-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459020009243/0001564590-20-009243-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459021011340/0001564590-21-011340-index.htm,https://www.sec.gov/Archives/edgar/data/1598646/000156459022007853/0001564590-22-007853-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-1581955,-3262005,-56901439,-27081632,-31045372,-31523207,-50171287,-72183490,1940771,-49905952
74,Depreciation and Amortization,- -,- -,33869,17276,16530,11094,17467,161507,176177,101786
75,Deferred Income Tax,- -,- -,- -,- -,- -,-9376272,- -,-2254132,- -,-1803356
76,Stock Based Compensation,587805,655723,17966611,2202235,3571211,5033123,8182678,9173265,9704229,5218994
77,Change in Working Capital,85607,393567,15415618,12332655,46017132,48524285,-36293114,-45901604,-16227594,259335
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
