,https://roic.ai/company/ISDR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11040000,10430000,6660000,2690000,- -,- -,- -,- -,- -,- -,- -,48875,640150,1425331,1885232,3860513,3228099,4305566,8842229,13629684,11619883,12058866,12628000,14232000,16295000,18526000,21883000
2,COGS,6810000,6840000,4640000,2630000,- -,- -,- -,- -,- -,- -,- -,1175,264572,745175,786633,2509416,1391967,1501158,2577891,4065655,3447992,3024339,3395000,4103000,5080000,5415000,5748000
3,Gross Profit,4230000,3590000,2020000,60000,- -,- -,- -,- -,- -,- -,- -,47700,375578,680156,1098599,1351097,1836132,2804408,6264338,9564029,8171891,9034527,9233000,10129000,11215000,13111000,16135000
4,Gross Profit Ratio,0.3832,0.3442,0.3033,0.0223,- -,- -,- -,- -,- -,- -,- -,0.9760,0.5867,0.4772,0.5827,0.3500,0.5688,0.6513,0.7085,0.7017,0.7033,0.7492,0.7312,0.7117,0.6882,0.7077,0.7373
5,Research and Development Exp.,500000,210000,100000,280000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326584,403623,763000,1276000,1219000,825000,1219000
6,General and Administrative Exp.,3200000,1820000,1660000,2960000,1660000,870000,390000,130000,- -,- -,- -,- -,- -,1226243,537604,742173,965159,1309166,2481560,4227412,3241404,3185308,3384000,4085000,5086000,5029000,5491000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287198,247887,337848,361641,799760,1588374,2705322,2343330,2600851,2604000,3002000,3551000,3812000,5079000
8,"Selling, General and Administrative Exp.",3200000,1820000,1660000,2960000,1660000,870000,390000,130000,- -,- -,- -,304053,596534,1513441,785491,1080021,1326800,2108926,4069934,6932734,5584734,5786159,5988000,7087000,8637000,8841000,10570000
9,Other Expenses,990000,520000,410000,1940000,20000,10000,30000,- -,- -,- -,- -,1003,26584,35191,38246,39172,54704,138349,494179,1158642,1079337,909432,454000,603000,885000,751000,603000
10,Operating Expenses,4690000,2550000,2170000,5180000,1680000,880000,420000,130000,- -,- -,- -,305056,623118,1548632,823737,1119193,1381504,2247275,4564113,8091376,6990655,7099214,7205000,8966000,10741000,10417000,12392000
11,COGS and Expenses,11500000,9390000,6810000,7810000,1680000,880000,420000,130000,- -,- -,- -,306231,887690,2293807,1610370,3628609,2773471,3748433,7142004,12157031,10438647,10123553,10600000,13069000,15821000,15832000,18140000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,3000
13,Interest Expense (Gain),-150000,-160000,-210000,-190000,- -,-110000,- -,- -,- -,- -,- -,- -,- -,8886,688,19298,- -,- -,- -,- -,- -,- -,- -,- -,321000,56000,3000
14,Depreciation and Amortization,990000,520000,410000,350000,20000,20000,40000,- -,- -,- -,- -,1003,26584,35191,38246,39172,54704,138349,494179,1158062,1099870,1076808,735000,1397000,1667000,1348000,1143000
15,EBITDA,240000,1170000,3620000,-4960000,-1660000,-860000,-380000,-130000,- -,- -,- -,-261530,-222587,-918966,313108,267076,315780,695081,1678756,920713,1111967,3096366,2737000,2607000,2783000,4234000,5258000
16,EBITDA ratio,0.0217,0.1122,0.5435,-1.8439,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,-5.3510,-0.3477,-0.6447,0.1661,0.0692,0.0978,0.1614,0.1899,0.0676,0.0957,0.2568,0.2167,0.1832,0.1708,0.2285,0.2403
17,Operating Income,-470000,1040000,-140000,-5120000,-1680000,-880000,-420000,-130000,- -,- -,- -,-257356,-247540,-998476,274862,227904,248365,557133,1700225,1472653,634236,1935313,2028000,1163000,474000,2694000,3743000
18,Operating Income ratio,-0.0426,0.0997,-0.0210,-1.9033,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,-5.2656,-0.3867,-0.7005,0.1458,0.0590,0.0769,0.1294,0.1923,0.1080,0.0546,0.1605,0.1606,0.0817,0.0291,0.1454,0.1710
19,Total Other Income Expenses (Gains),-130000,-130000,-140000,10000,- -,-110000,- -,- -,- -,- -,- -,- -,35717,-85681,- -,-19298,12711,-401,-515648,-1710002,-622139,84245,-26000,47000,321000,136000,369000
20,Income Before Tax,-600000,910000,-280000,-5110000,-1680000,-990000,-420000,-130000,- -,- -,- -,- -,- -,- -,- -,208606,261076,556732,1184577,-237349,12097,2019558,2002000,1210000,795000,2830000,4112000
21,Income Before Tax Ratio,-0.0543,0.0872,-0.0420,-1.8996,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,0.0540,0.0809,0.1293,0.1340,-0.0174,0.0010,0.1675,0.1585,0.0850,0.0488,0.1528,0.1879
22,Income Tax expense (Gain),- -,40000,- -,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-220800,21800,251000,556000,-279475,-132487,464350,131000,373000,109000,724000,821000
23,Net Income,-600000,770000,3420000,-5090000,-3570000,2080000,-420000,-130000,- -,- -,- -,-262533,-249171,-963043,274174,429406,239276,305732,628577,42126,144584,1555208,1871000,837000,686000,2106000,3291000
24,Net Income ratio,-0.0543,0.0738,0.5135,-1.8922,-Infinity,Infinity,-Infinity,-Infinity,- -,- -,- -,-5.3715,-0.3892,-0.6757,0.1454,0.1112,0.0741,0.0710,0.0711,0.0031,0.0124,0.1290,0.1482,0.0588,0.0421,0.1137,0.1504
25,EPS,-30.00,38.50,171.00,-254.50,-178.50,104.00,-21.00,-6.50,- -,-0.16,- -,-10.76,-0.20,-0.50,0.20,0.20,0.14,0.16,0.32,0.02,0.06,0.55,0.63,0.25,0.18,0.56,0.87
26,EPS Diluted,-30.00,38.50,171.00,-254.50,-178.50,104.00,-21.00,-6.50,- -,-0.16,- -,-10.76,-0.20,-0.50,0.20,0.20,0.14,0.15,0.31,0.02,0.06,0.54,0.62,0.24,0.18,0.56,0.86
27,Weighted Average Shares Outstanding,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24391,1403961,1783410,1701471,1740709,1757329,1910825,1964303,2082941,2486684,2819720,2947000,3415000,3839000,3755000,3780000
28,Weighted Average Shares Outstanding Diluted,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24391,1403961,1783410,1701785,1760339,1770078,2038213,2027668,2124917,2575952,2903255,3033000,3463000,3861000,3784000,3820000
