,https://roic.ai/company/ACB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,40834,- -,- -,- -,- -,- -,- -,1439271,18067000,55196000,247939000,278906000,245252000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,-762965,2011000,11677000,88124000,312445000,266810000
3,Gross Profit,- -,- -,40834,- -,- -,- -,- -,- -,- -,2202236,16056000,43519000,159815000,-33539000,-21558000
4,Gross Profit Ratio,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,1.5301,0.8887,0.7884,0.6446,-0.1203,-0.0879
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,432384,565140,314000,1679000,14778000,26070000,11447000
6,General and Administrative Exp.,- -,- -,185349,49986,181955,250022,152642,280666,2608189,3928197,14397000,80415000,279404000,265175000,139680000
7,Selling and Marketing Exp.,- -,- -,- -,7198,18970,61266,142944,- -,1021807,1706385,10270000,29445000,99289000,91271000,55198000
8,"Selling, General and Administrative Exp.",- -,- -,185349,57184,200925,311288,295586,280666,3629996,5634582,24667000,109860000,378693000,356446000,194878000
9,Other Expenses,1246,229047,834,583,409,19497,107292,25819,304796,593216,716000,12088000,63371000,70830000,18762000
10,Operating Expenses,1246,229047,186183,57767,201334,330785,402878,306485,4367176,6792938,25697000,123627000,456842000,453346000,225087000
11,COGS and Expenses,1246,229047,186183,57767,201334,330785,402878,306485,4367176,6029973,27708000,135304000,544966000,765791000,491897000
12,Interest Income ,- -,- -,40834,14345,15563,15025,9389,7855,27639,72777,861000,2514000,3679000,4990000,5745000
13,Interest Expense (Gain),- -,- -,310,484,745,- -,- -,101075,177412,619119,1292000,2282000,41025000,77538000,66437000
14,Depreciation and Amortization,- -,490,834,583,409,422,432,303,304796,593216,1087000,12260000,88259000,114891000,98076000
15,EBITDA,-1246,-228557,-144515,-57184,-185362,-330363,-402446,-298327,-9241522,-4660008,-14885000,94578000,-191860000,-3174645000,-535433000
16,EBITDA ratio,-Infinity,-Infinity,-3.5391,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.2378,-0.8239,1.7135,-0.7738,-11.3825,-2.1832
17,Operating Income,-1246,-229047,- -,-58251,-202079,-330785,-402878,- -,-4367176,-4590702,-11192000,-95772000,-314244000,-490962000,-282818000
18,Operating Income ratio,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-3.1896,-0.6195,-1.7351,-1.2674,-1.7603,-1.1532
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-151693,15025,9389,-93220,-5358901,-1281641,-6072000,173098000,-13987000,-2892934000,-416980000
20,Income Before Tax,- -,- -,- -,- -,-353772,-315760,-393489,-399705,-9726077,-5872343,-17264000,77326000,-328231000,-3383896000,-699798000
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.0801,-0.9556,1.4009,-1.3238,-12.1327,-2.8534
22,Income Tax expense (Gain),- -,- -,- -,- -,-31275,- -,- -,- -,-207708,-148837,-4296000,8100000,-30307000,-83403000,-6321000
23,Net Income,1267,-177286,-145659,-43906,-322497,-315760,-393489,-399705,-9518369,-5723506,-12968000,71936000,-290837000,-3283671000,-693625000
24,Net Income ratio,Infinity,-Infinity,-3.5671,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.9767,-0.7178,1.3033,-1.1730,-11.7734,-2.8282
25,EPS,0.01,-0.24,-0.12,-0.04,-0.24,-0.24,-0.24,-0.24,-1.44,-0.48,-0.60,1.92,-3.48,-33.94,-4.10
26,EPS Diluted,0.01,-0.24,-0.12,-0.04,-0.24,-0.24,-0.24,-0.24,-1.44,-0.48,-0.60,1.80,-3.48,-33.94,-4.10
27,Weighted Average Shares Outstanding,162846,935156,1199995,1232248,1324161,1324161,1335668,1345492,6411338,10748979,23252342,38315057,84645535,97534973,169118540
28,Weighted Average Shares Outstanding Diluted,162846,935156,1199995,1232248,1324161,1324161,1335668,1345492,6411338,10748979,23252342,39277902,84645535,97534973,169118540
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1683541/000168354119000008/0001683541-19-000008-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,428069,1630358,1591321,116924,21446,1092557,644713,879419,315853,169579,159796000,89193000,172727000,162179000,421457000
32,Short-Term Investments,- -,- -,- -,1530000,1350000,- -,- -,- -,- -,- -,14845000,60178000,143248000,7066000,3751000
33,Cash and Short-Term Investments,428069,1630358,1591321,1646924,1371446,1092557,644713,879419,315853,169579,174641000,149371000,315975000,169245000,425208000
34,Net Receivables,993,57197,23651,7060,14170,19587,10583,1005724,628247,86170,5630000,15096000,112326000,54110000,56482000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,25409,4162324,11791000,43215000,165477000,157262000,137721000
36,Other Current Assets,- -,1500,10500,1500,1500,7635,62240,1500,91086,825802,1544000,12016000,70389000,40122000,46481000
37,Total Current Assets,429062,1689055,1625472,1655484,1387116,1119779,717536,1886643,1060595,5243875,193606000,219698000,664167000,420739000,665892000
38,PP&E,- -,2779,1945,74050,953,1441,1009,706,10785521,11370484,45523000,246352000,765567000,946380000,606093000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41100000,729050000,3172550000,928432000,887737000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31087000,256232000,688366000,412267000,367448000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72187000,985282000,3860916000,1340699000,1255185000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11071000,334442000,118845000,18114000,289000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,16000,- -,- -,- -,- -,- -,- -,- -,1680506,1782186,292000,124942000,93335000,57763000,77272000
45,Total Non-Current Assets,16000,2779,1945,74050,953,1441,1009,706,12466027,13152670,129073000,1691018000,4838663000,2362956000,1938839000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,445062,1691834,1627417,1729534,1388069,1121220,718545,1887349,13526622,18396545,322679000,1910716000,5502830000,2783695000,2604731000
48,Accounts Payable,4240,6575,8330,15322,15443,46668,24345,33550,1323224,1686794,8753000,47456000,38671000,19706000,13277000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,500438,6078580,6047408,69000,2451000,249667000,152618000,40937000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1659000,10040000,6770000,4672000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,27629,1421000,2266000,1477000,3525000,4169000
52,Other Current Liabilities,10600,- -,- -,- -,- -,- -,- -,- -,- -,233444,13221000,22992000,146550000,96957000,57992000
53,Total Current Liabilities,14840,6575,8330,15322,15443,46668,24345,533988,7401804,7995275,23464000,75165000,436365000,272806000,116375000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2292008,4439100,63818000,200760000,395158000,378629000,358613000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10527000,2254000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5937000,69406000,91886000,3946000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189374000,1864000,92043000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2292008,4439100,80282000,272420000,676418000,384439000,450656000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351000,- -,- -,- -,71619000
61,Total Liabilities,14840,6575,8330,15322,15443,46668,24345,533988,9693812,12434375,103746000,347585000,1112783000,657245000,567031000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,1848395,2640575,11432977,17147878,221447000,1466433000,4673118000,5785395000,6424296000
64,Retained Earnings,1267,-176019,-321678,-365584,-688081,-936819,-1329553,-1533941,-11341904,-16916008,-28426000,87749000,-283638000,-3592787000,-4321085000
65,Other Comprehensive Income/Loss,-1045,-490,-1324,-1907,-2316,174226,-3170,246727,3741737,5730300,25912000,4387000,-3843000,-41802000,-65511000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,178528,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,430222,1685259,1619087,1714212,1372626,1074552,694200,1353361,3832810,5962170,218933000,1558569000,4385637000,2150806000,2037700000
68,Total Liabilities And Stockholders Equity,445062,1691834,1627417,1729534,1388069,1121220,718545,1887349,13526622,18396545,322679000,1906154000,5498420000,2808051000,2604731000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4562000,4410000,-24356000,- -
70,Total Liabilities & Equity,445062,1691834,1627417,1729534,1388069,1121220,718545,1887349,13526622,18396545,322679000,1910716000,5502830000,2783695000,2604731000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1683541/000168354119000008/0001683541-19-000008-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,1267,-177286,-145659,-43906,-322497,-315760,-393489,-399705,-9518369,-5723506,-12968000,71936000,-290837000,-3283671000,-693625000
74,Depreciation and Amortization,- -,490,834,583,409,422,432,303,304796,593216,1087000,12260000,88259000,114891000,98076000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-207708,-70102,-4277000,6441000,-23257000,-78303000,-6443000
76,Stock Based Compensation,- -,- -,79487,7656,12186,17686,1887,84406,872587,912698,7584000,37450000,107039000,59899000,20243000
77,Change in Working Capital,13847,-65969,26301,32583,-6989,19673,-67924,75242,-26244,-285562,-1242000,-25392000,-37952000,7643000,397000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80572,-654000,-5887000,-57161000,55459000,7371000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1132778,-1679000,-10437000,-50284000,-29390000,8451000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-22323,9205,405364,922732,2610000,3105000,103146000,-21459000,-28294000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,27629,453000,-573000,-1588000,-2084000,-342000
82,Other Non-Cash Items,- -,155509,- -,- -,135981,- -,11250,99960,5250760,-2198223,-690000,-184362000,-35497000,2841589000,370775000
83,Cash Provided by Operating Activities,15114,-87256,-39037,-3084,-180910,-277979,-447844,-139794,-3324178,-6771479,-10506000,-81667000,-192245000,-337952000,-210577000
84,CAPEX,- -,-3269,- -,-61688,-94568,-910,- -,- -,-7833612,-1884833,-25718000,-136945000,-414298000,-355006000,-53082000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6917000,-197948000,114347000,27880000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9877000,-63836000,-50584000,-2000000,-6671000
87,Sales/Maturities of Investments,- -,- -,- -,50000,180000,- -,- -,- -,- -,- -,- -,- -,46975000,90843000,18064000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-1000000,-1686,- -,-7963000,-139030000,-8737000,-11200000,14784000
89,Cash Used for Investing Activites,- -,-3269,- -,-11688,85432,-910,- -,-1000000,-7835298,-1884833,-50475000,-537759000,-312297000,-249483000,-26905000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3601530,-4193000,-281000,-21364000,-125224000,-122920000
91,Common Stock Issued,428955,1501045,- -,120375,- -,- -,- -,950500,266733,5035884,120823000,215606000,59331000,575506000,666026000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-16000,-208231,- -,- -,- -,- -,- -,424000,10291829,7165178,103698000,333224000,559581000,132280000,-21152000
95,Cash Used/Provided by Financing Activities,412955,1292814,- -,120375,- -,- -,- -,1374500,10558562,8599532,220328000,548549000,597548000,582562000,521954000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000,355000,2936000,-5675000,-25194000
97,Net Change In Cash,- -,1202289,-39037,105603,-95478,-278889,-447844,234706,-600914,-56780,159537000,-70522000,95942000,-10548000,259278000
98,Cash at the End of Period,428069,1630358,1591321,116924,21446,1092557,644713,879419,315853,259073,159796000,89193000,172727000,162179000,421457000
99,Cash at the Beginning of Period,- -,428069,1630358,11321,116924,1371446,1092557,644713,916767,315853,259000,159715000,76785000,172727000,162179000
100,Free Cash Flow,15114,-90525,-39037,-64772,-275478,-278889,-447844,-139794,-11157790,-8656312,-36224000,-218612000,-606543000,-692958000,-263659000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1683541/000168354119000008/0001683541-19-000008-index.html,- -,- -
102,Forex Rate,0.9387,0.9793,0.86,0.9394,1.0379,0.9835,0.9505,0.9369,0.8003,0.7736,0.7712,0.7614,0.7637,0.7364,0.8066
