,https://roic.ai/company/YRD,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,18974611,197835149,1357361660,3237991000,5543350000,5620728000,8616784000,3961962000
2,COGS,7605601,21965142,100941309,180076000,417882000,644303000,665083000,1104682000
3,Gross Profit,11369010,175870008,1256420351,3057915000,5125468000,4976425000,7951701000,2857280000
4,Gross Profit Ratio,0.5992,0.8890,0.9256,0.9444,0.9246,0.8854,0.9228,0.7212
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,30289080,65070414,141658004,402111000,526845000,525094000,731806000,627368000
7,Selling and Marketing Exp.,31634453,138663874,702395449,1571038000,2921236000,2525876000,4457353000,1905095000
8,"Selling, General and Administrative Exp.",61923532,203734288,844053453,1973149000,3448081000,3050970000,5189159000,2532463000
9,Other Expenses,- -,- -,- -,- -,- -,1087427000,1634513000,374816000
10,Operating Expenses,61923532,203734288,844053453,1973149000,3448081000,4138397000,6823672000,2907279000
11,COGS and Expenses,69529134,225699430,944994762,2153225000,3865963000,4782700000,7488755000,4011961000
12,Interest Income ,- -,- -,4953259,36843000,114851000,71301000,73367000,61623000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,436337,1147572,3758764,10609000,23729000,39434000,394608000,327463000
15,EBITDA,-50118185,-26716709,421078921,1113058000,1776719000,1200326000,1789447000,-445896000
16,EBITDA ratio,-2.6413,-0.1350,0.3102,0.3437,0.3205,0.2136,0.2077,-0.1125
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,4953259,17683000,75603000,322864000,268990000,-723360000
20,Income Before Tax,-50554522,-27864280,417320157,1102449000,1752990000,1160892000,1397019000,-773359000
21,Income Before Tax Ratio,-2.6643,-0.1408,0.3074,0.3405,0.3162,0.2065,0.1621,-0.1952
22,Income Tax expense (Gain),- -,31015,132796670,-13949000,381207000,194287000,239228000,-80611000
23,Net Income,-50554522,-27895296,284523487,1116398000,1371783000,966605000,1155611000,-692748000
24,Net Income ratio,-2.6643,-0.1410,0.2096,0.3448,0.2475,0.1720,0.1341,-0.1748
25,EPS,-0.86,-0.88,5.65,18.88,22.78,15.81,12.48,-7.68
26,EPS Diluted,-0.86,-0.88,5.65,18.77,22.44,15.55,12.39,-7.68
27,Weighted Average Shares Outstanding,58500000,58500000,50326028,59120207,60228786,61122116,92609793,90150949
28,Weighted Average Shares Outstanding Diluted,58500000,58500000,50326028,59468541,61128419,62144552,93267732,90150949
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1631761/000110465917025460/a16-23489_120f.htm,https://www.sec.gov/Archives/edgar/data/1631761/000110465918028031/a18-5296_120f.htm,https://www.sec.gov/Archives/edgar/data/1631761/000110465919024543/a18-41359_120f.htm,https://www.sec.gov/Archives/edgar/data/1631761/000110465920062564/a20-1506_120f.htm,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,1377086,848097857,968225000,1857175000,2028748000,3198086000,2469909000
32,Short-Term Investments,- -,- -,30070110,1158000000,963253000,832465000,460991000,175515000
33,Cash and Short-Term Investments,- -,1377086,878167967,2126225000,2820428000,2861213000,3659077000,2645424000
34,Net Receivables,24804562,384889328,590431029,755388000,1785634000,3705207000,4993296000,3368068000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4102782,12430992,527083849,1315593000,1992136000,179647000,136868000,326326000
37,Total Current Assets,28907345,398697407,1995682845,4197206000,6598198000,6746067000,8789241000,6339818000
38,PP&E,987819,3417903,16223058,35503000,82249000,89831000,529989000,252867000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,98917000,9944000,315641000,6627000,3286000
43,Tax Assets,- -,- -,176272388,436402000,801089000,184136000,45407000,16745000
44,Other Non-Current Assets,- -,- -,6939756,15360000,27184000,183351000,273156000,89537000
45,Total Non-Current Assets,987819,3417903,199435202,586182000,920466000,772959000,855179000,362435000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
