,https://roic.ai/company/AZEK,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,681805000,794203000,899259000,1178974000
2,COGS,479769000,541006000,603209000,789023000
3,Gross Profit,202036000,253197000,296050000,389951000
4,Gross Profit Ratio,0.2963,0.3188,0.3292,0.3308
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,4182000,9076000,8616000,246797000
7,Selling and Marketing Exp.,144688000,183572000,308275000,- -
8,"Selling, General and Administrative Exp.",148870000,192648000,316891000,246797000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,148870000,192648000,316891000,246797000
11,COGS and Expenses,628639000,733654000,920100000,1035820000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),65402000,79219000,64783000,17319000
14,Depreciation and Amortization,77665000,93929000,99781000,101604000
15,EBITDA,126700000,148997000,34053000,240741000
16,EBITDA ratio,0.1858,0.1876,0.0379,0.2042
17,Operating Income,52375000,59054000,-21745000,142129000
18,Operating Income ratio,0.0768,0.0744,-0.0242,0.1206
19,Total Other Income Expenses (Gains),-68742000,-83205000,-108766000,-20311000
20,Income Before Tax,-16367000,-24151000,-130511000,121818000
21,Income Before Tax Ratio,-0.0240,-0.0304,-0.1451,0.1033
22,Income Tax expense (Gain),-23112000,-3955000,-8278000,28668000
23,Net Income,6745000,-20196000,-122233000,93150000
24,Net Income ratio,0.0099,-0.0254,-0.1359,0.0790
25,EPS,0.06,-0.18,-1.01,0.61
26,EPS Diluted,0.06,-0.18,-1.01,0.59
27,Weighted Average Shares Outstanding,114212127,113336929,120775717,153777859
28,Weighted Average Shares Outstanding Diluted,114212127,113336929,120775717,156666394
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1782754/000119312520310665/0001193125-20-310665-index.htm,https://www.sec.gov/Archives/edgar/data/1782754/000156459021057997/0001564590-21-057997-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,82283000,105947000,215012000,250536000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,82283000,105947000,215012000,250536000
34,Net Receivables,43992000,52623000,70886000,77316000
35,Inventory,110899000,115391000,130070000,188888000
36,Other Current Assets,11495000,16629000,8727000,15658000
37,Total Current Assets,248669000,290590000,424695000,532398000
38,PP&E,180821000,208694000,261774000,391012000
39,Goodwill,944298000,944298000,951390000,951390000
40,Intangible Assets,402622000,342418000,292374000,242572000
41,Intangible Assets,1346920000,1286716000,1243764000,1193962000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,2770000,2263000,1623000,70462000
45,Total Non-Current Assets,1530511000,1497673000,1507161000,1655436000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,1779180000,1788263000,1931856000,2187834000
48,Accounts Payable,35877000,47479000,42059000,69474000
49,Short-Term Debt,8952000,9025000,969000,3977000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,64970000,83493000,81012000,96956000
53,Total Current Liabilities,109799000,139997000,124040000,170407000
54,Long-Term Debt,1107989000,1103313000,462982000,464715000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,39474000,34003000,21260000,46371000
57,Other Non-Current Liabilities,16365000,20927000,19686000,79177000
58,Total Non-Current Liabilities,1163828000,1158243000,503928000,590263000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,9053000,11902000,11879000,3977000
61,Total Liabilities,1273627000,1298240000,627968000,760670000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,- -,155000,155000
64,Retained Earnings,-142576000,-162578000,-283475000,-188227000
65,Other Comprehensive Income/Loss,-138710000,-168220000,-210401000,- -
66,Other Total Stockholders Equity,786839000,820821000,1797609000,1615236000
67,Total Stockholders Equity,505553000,490023000,1303888000,1427164000
68,Total Liabilities And Stockholders Equity,1779180000,1788263000,1931856000,2187834000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,1779180000,1788263000,1931856000,2187834000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1782754/000119312520310665/0001193125-20-310665-index.htm,https://www.sec.gov/Archives/edgar/data/1782754/000156459021057997/0001564590-21-057997-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,6745000,-20196000,-122233000,93150000
74,Depreciation and Amortization,77665000,93929000,99781000,101604000
75,Deferred Income Tax,-24125000,-5321000,-10110000,25529000
76,Stock Based Compensation,- -,- -,117084000,22250000
77,Change in Working Capital,979000,11723000,150062000,-39243000
78,Accounts Receivable,2211000,-8632000,-17656000,-6772000
79,Inventory,953000,-4492000,-12146000,-58819000
80,Accounts Payable,4398000,11679000,-4361000,16071000
81,Other Working Capital,138870000,150593000,300655000,1259000
82,Other Non-Cash Items,6038000,14737000,-136223000,4389000
83,Cash Provided by Operating Activities,67302000,94872000,98361000,207679000
84,CAPEX,-42758000,-63006000,-95594000,-175119000
85,Acquisitions Net,-292984000,- -,-18453000,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,60000,71000,253000,46000
89,Cash Used for Investing Activites,-335682000,-62935000,-113794000,-175073000
90,Debt Repayment,-37167000,-48304000,-1135958000,- -
91,Common Stock Issued,- -,- -,820467000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,285909000,40031000,439989000,2918000
95,Cash Used/Provided by Financing Activities,248742000,-8273000,124498000,2918000
