,https://roic.ai/company/ELOX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,1,1,200000,10000,16667,125000,66666,300000,456667,275000,140000,- -,200000,- -,100000,75000,75000,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,-18713,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,18714,- -,200000,- -,- -,125000,- -,300000,- -,275000,140000,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,18714.0000,- -,1.0000,- -,- -,1.0000,- -,1.0000,- -,1.0000,1.0000,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,173461,476456,479468,370191,793903,1071870,1265960,1566267,1208321,1764426,2353962,2637407,3720394,2566247,2086666,3338687,4568435,2182989,16398000,20489000,25842000,14590000,22899000
6,General and Administrative Exp.,- -,- -,- -,- -,1968413,1339883,1944042,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2102179,2618136,2742304,1411553,3992000,26482000,24713000,14847000,20449000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,151720,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1968413,1491603,1944042,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2102179,2618136,2742304,1411553,3992000,26482000,24713000,14847000,20449000
9,Other Expenses,- -,- -,- -,- -,18713,- -,- -,1484703,2328432,1390825,1919740,2412679,2291263,2205739,2349116,2610222,2724144,397445,1065214,428195,194490,- -,- -,- -,4018000,22670000
10,Operating Expenses,- -,- -,- -,- -,2463582,1971071,2314233,2278606,3400302,2656785,3486007,3621000,4055689,4559701,4986523,6330616,5290391,4586290,7022037,7738934,3789032,20390000,46971000,50555000,33455000,66018000
11,COGS and Expenses,- -,- -,- -,1155858,2444869,1971071,2314233,2278606,3400302,2656785,3486007,3621000,4055689,4559701,4986523,6330616,5290391,4586290,7022037,7738934,3789032,20390000,46971000,50555000,33455000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,24263,- -,- -,54027,- -,69303,- -,43076,- -,- -,7481,- -,- -,- -,- -,- -,601000,1072000,337000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1007244,610667,88122,134549,- -,- -,2767,533,43000,7000,1616000,1409000,- -
14,Depreciation and Amortization,- -,- -,- -,4003,18713,24161,24356,38697,30424,43719,40112,166172,765610,111753,126567,143274,258023,293629,349656,177074,93394,39000,216000,559000,571000,114000
15,EBITDA,- -,- -,- -,-1151855,-2426203,-1852830,-1915063,-2027641,-3047858,-2145247,-3274773,-3085525,-3835880,-4607872,-12646279,-6187342,-4673561,-4292661,-8875578,-17883944,-8854002,-20976000,-46755000,-49996000,-33387000,-65904000
16,EBITDA ratio,- -,- -,- -,-Infinity,-2426203.0000,-1852830.0000,-9.5753,-202.7641,-182.8678,-17.1620,-49.1221,-10.2851,-8.3997,-16.7559,-90.3306,-Infinity,-23.3678,-Infinity,-88.7558,-238.4526,-118.0534,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,- -,- -,-2444868,-1971070,-2114233,-2268606,-3383635,-2531785,-3419341,-3321000,-3599022,-4284701,-4846523,-6330616,-5090391,-4650500,-9147796,-18076736,-11194983,-20390000,-47565000,-50555000,-33455000,-66018000
18,Operating Income ratio,- -,- -,- -,- -,-2444868.0000,-1971070.0000,-10.5712,-226.8606,-203.0140,-20.2543,-51.2906,-11.0700,-7.8811,-15.5807,-34.6180,-Infinity,-25.4520,-Infinity,-91.4780,-241.0231,-149.2664,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,60331,150551,130952,277075,288792,- -,- -,- -,-478000,-7926323,-850238,151326,-1472042,-77438,12951,2247054,-824000,502000,-319000,-1122000,-709000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6122542,-9225234,-18063785,-8947929,-21214000,-47063000,-50874000,-34577000,-66727000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-92.2523,-240.8505,-119.3057,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-680000,- -,122000,- -,- -,- -
23,Net Income,- -,-7810,-10374,-1168995,-2444916,-1876991,-1939419,-2066338,-3078282,-2188966,-3314885,-3251697,-4601490,-5726869,-13383513,-7268976,-5066133,-6122542,-9225234,-18063785,-8267929,-21214000,-47185000,-50874000,-34577000,-66727000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-2444916.0000,-1876991.0000,-9.6971,-206.6338,-184.6932,-17.5117,-49.7238,-10.8390,-10.0762,-20.8250,-95.5965,-Infinity,-25.3307,-Infinity,-92.2523,-240.8505,-110.2391,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-2.60,-3.46,-650.00,-780.00,-480.00,-400.00,-340.00,-480.00,-320.00,-420.00,-380.00,-520.00,-600.00,-1340.00,-280.00,-160.00,-100.00,-50.60,-26.20,-8.40,-4.75,-1.45,-1.34,-0.86,-1.66
26,EPS Diluted,- -,-2.60,-3.46,-650.00,-780.00,-480.00,-400.00,-340.00,-480.00,-320.00,-420.00,-380.00,-520.00,-600.00,-1340.00,-280.00,-160.00,-100.00,-50.60,-26.20,-8.40,-4.75,-1.45,-1.34,-0.86,-1.66
27,Weighted Average Shares Outstanding,- -,3000,3000,1784,3173,3936,4812,5940,6334,7026,7734,8458,8830,9444,14556,34666,42851,68319,273835,720851,1016135,4976377,32436506,38063173,40124953,40124953
28,Weighted Average Shares Outstanding Diluted,- -,3000,3000,1784,3173,3936,4812,5940,6334,7026,7734,8458,8830,9444,14556,34666,42851,68319,273835,720851,1016135,4976377,32436506,38063173,40124953,40124953
