,https://roic.ai/company/SII,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,229850550,136201315,102688377,322973324,157935357,142712825,103079538,100915700,79255453,99599732,91005964,73285464,75053396,110450000,164945000
2,COGS,- -,- -,- -,- -,- -,37047536,42036308,33493272,27457141,36585076,39416302,29420791,31363348,57589000,77882000
3,Gross Profit,229850550,136201315,102688377,322973324,157935357,105665290,61043230,67422428,51798312,63014657,51589662,43864673,43690049,52861000,87063000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,0.7404,0.5922,0.6681,0.6536,0.6327,0.5669,0.5985,0.5821,0.4786,0.5278
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,175284257,70641742,58614268,149041153,99090108,37538072,35447092,30993401,27594059,37023287,26242545,21910677,19241045,12697000,24442000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",175284257,70641742,58614268,149041153,99090108,37538072,35447092,30993401,27594059,37023287,26242545,21910677,19241045,12697000,24442000
9,Other Expenses,518025,471652,943558,932851,15780607,28061076,18419001,16154403,20292717,18084964,11406759,2438272,4722607,5097000,4552000
10,Operating Expenses,175802282,71113394,59557826,149974004,114870715,65599148,53866093,47147804,47886776,55108251,37649304,24348950,23963652,17794000,28994000
11,COGS and Expenses,175802282,71113394,59557826,149974004,114870715,102646683,95902401,80641076,75343917,91693326,77065606,53769741,55327000,75383000,106876000
12,Interest Income ,634151,820871,- -,- -,- -,- -,9245189,17387110,13485721,10646529,12400000,11112824,11613219,3956000,- -
13,Interest Expense (Gain),1154196,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1051084,1237000,- -
14,Depreciation and Amortization,518025,471652,943558,756879,15780607,8932179,7244757,5369295,4609099,5521167,5110934,1614502,3852955,4052000,4552000
15,EBITDA,54566293,65559573,44074109,173756199,58845250,50856930,-73582088,29541891,-17714331,33676066,39549105,25591213,18033791,39951000,49742000
16,EBITDA ratio,0.2374,0.4813,0.4292,0.5380,0.3726,0.3564,-0.7138,0.2927,-0.2235,0.3381,0.4346,0.3492,0.2403,0.3617,0.3016
17,Operating Income,54048268,65087921,43130551,172999320,43064643,40066142,86062000,20274624,3911536,7906406,13940358,19515723,19726397,35067000,58069000
18,Operating Income ratio,0.2351,0.4779,0.4200,0.5356,0.2727,0.2807,0.8349,0.2009,0.0494,0.0794,0.1532,0.2663,0.2628,0.3175,0.3521
19,Total Other Income Expenses (Gains),-1154196,- -,- -,- -,- -,1858609,-166888845,3897972,-26234966,20248493,20497813,4460988,-6596645,-405000,-12879000
20,Income Before Tax,52894073,65087921,43130551,172999320,43064643,41924751,-80826845,24172596,-22323430,28154899,34438171,23976711,13129751,34662000,45190000
21,Income Before Tax Ratio,0.2301,0.4779,0.4200,0.5356,0.2727,0.2938,-0.7841,0.2395,-0.2817,0.2827,0.3784,0.3272,0.1749,0.3138,0.2740
22,Income Tax expense (Gain),10197920,22248151,12732308,41788314,10706170,9774534,-4508955,7470324,6235543,4690871,4591650,938305,2770484,7684000,12005000
23,Net Income,42696153,42839770,30398243,131211006,32358472,32150217,-76317890,16702272,-28558972,23464028,29846521,23038406,10359267,26978000,33185000
24,Net Income ratio,0.1858,0.3145,0.2960,0.4063,0.2049,0.2253,-0.7404,0.1655,-0.3603,0.2356,0.3280,0.3144,0.1380,0.2443,0.2012
25,EPS,3.23,2.96,2.01,8.70,1.96,1.91,-3.66,0.69,-1.15,0.97,1.27,0.95,0.46,1.10,1.36
26,EPS Diluted,3.23,2.96,2.01,8.70,1.96,1.91,-3.66,0.69,-1.15,0.97,1.27,0.88,0.38,1.05,1.36
27,Weighted Average Shares Outstanding,13213125,14482222,15157143,15000000,16756500,16871900,20613000,24650800,24525200,24336100,23906200,24019200,24387700,24488000,24387700
28,Weighted Average Shares Outstanding Diluted,13213125,14482222,15157143,15000000,16811300,17077800,20613000,24879900,24525200,24752800,24620500,25497300,25669300,25783000,24387700
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,95216601,73860312,46805463,81196009,117047992,77802238,108633789,104038385,77554785,92221561,124151093,34692334,54732176,44106000,49805000
32,Short-Term Investments,118532768,10688578,- -,- -,- -,- -,- -,- -,98587581,109772338,51343141,19611169,17490259,9475000,6133000
33,Cash and Short-Term Investments,213749369,84548891,46805463,81196009,117047992,77802238,108633789,104038385,176142366,201993899,175494235,54303503,72222435,53581000,55938000
34,Net Receivables,55449864,11139688,12177442,209044553,9989226,17390911,67376053,60839378,49263885,29173425,25725646,19301337,10118123,22529000,14796000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,341311,657354,2236654,2024676,2742409,3939367,16032570,6008476,6000620,7360315,18418290,7910252,12976643,9196000,6793000
37,Total Current Assets,269540543,96345933,61219559,292265238,129779628,99132515,192042413,170886240,231406870,238527639,219638171,81515091,95317201,85306000,77527000
38,PP&E,3987681,3858669,4104670,3704407,5020568,7297729,6583581,5401168,4571626,4695335,4213917,9055601,16225589,16611000,16479000
39,Goodwill,- -,- -,- -,- -,- -,126393454,43556824,43439347,19095043,19128041,19103777,19173586,19143056,19149000,19149000
40,Intangible Assets,- -,- -,- -,- -,- -,45488174,30614123,27729442,10786271,17155718,13083101,108899217,114046101,155968000,170061000
41,Intangible Assets,- -,- -,- -,- -,162247796,171881628,74170948,71168789,29881314,36283759,32186879,128072803,133189157,175117000,189210000
42,Investments,10095931,- -,13051285,41877300,76869736,77122724,87737258,96990162,- -,- -,39572962,75299369,74486898,82467000,68765000
43,Tax Assets,- -,1216927,1231019,1934690,18380020,21765528,16457075,5791396,1098228,3969199,4146322,4328833,4270174,1729000,1459000
44,Other Non-Current Assets,0,- -,13693057,2200648,-0,- -,51007260,64348845,45702570,43898519,26165408,16122993,1362659,16118000,12433000
45,Total Non-Current Assets,14083611,5075596,32080031,49717045,262518119,278067610,235956122,243700360,81253738,88846812,106285487,232879599,229534476,292042000,288346000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,283624154,101421528,93299589,341982283,392297747,377200125,427998535,414586600,312660609,327374451,325923658,314394690,324851677,377348000,365873000
48,Accounts Payable,132733515,22543961,13120046,78641417,33891283,13783259,12351024,24412935,16443154,18221115,12574155,26534658,23611505,29702000,9362000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,12921455,- -,- -,7872763,4038090,3827693,- -,- -
50,Tax Payable,9208321,13541495,6993601,47983323,46525955,8210448,- -,- -,1227940,6309054,2528032,445658,806878,- -,3005000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,9208321,13541495,6993601,47983323,46525955,18505674,9366342,8031976,33298503,38351313,30885885,7582799,7717394,17539000,18756000
53,Total Current Liabilities,141941836,36085456,20113647,126624740,80417238,32288934,21717366,45366366,49741657,56572428,51332803,38155547,35156591,47241000,28118000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11483078,16994000,29769000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2241745,- -,470824,1768717,16639569,25551099,11549912,8615165,4761870,2731196,1140358,2294369,2412977,4751000,8487000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4245677,17379000,8280000
58,Total Non-Current Liabilities,2241745,- -,470824,1768717,16639569,25551099,11549912,8615165,4761870,2731196,1140358,2294369,18141732,39124000,46536000
59,Other Liabilities,- -,- -,- -,3537434,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,144183581,36085456,20584471,128393457,97056807,57840033,33267278,53981531,54503527,59303623,52473161,40449917,53298323,86365000,74654000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,216593790,385454136,357207587,297144175,305952682,312171769,303178344,316254679,417758000,417425000
64,Retained Earnings,124379481,31129827,30765925,141674332,46070519,58913583,-45309316,-50527195,-92279976,-93939439,-94053280,-86048765,-102661777,-104484000,-97006000
65,Other Comprehensive Income/Loss,-1694436,-1849630,-3093305,-3995361,5027424,822251,11700179,17573179,25369499,24957220,23596819,24963474,24527854,-12676000,-64557000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,43030468,42886257,36351498,27923383,31100365,31735189,31851721,33432598,-9615000,35357000
67,Total Stockholders Equity,139440574,65336072,72715118,213588826,295240940,319360092,394731257,360605069,258157081,268070828,273450497,273944774,271553354,290983000,291219000
68,Total Liabilities And Stockholders Equity,283624154,101421528,93299589,341982283,392297747,377200125,427998535,414586600,312660609,327374451,325923658,314394690,324851677,377348000,365873000
69,Minority Interest,- -,0,- -,-0,- -,0,- -,- -,- -,0,-0,- -,- -,- -,- -
70,Total Liabilities & Equity,283624154,101421528,93299589,341982283,392297747,377200125,427998535,414586600,312660609,327374451,325923658,314394690,324851677,377348000,365873000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,42696153,42839770,30398243,131211006,32358472,32150217,-76317890,16702272,-28558972,23464028,29846521,23038406,10359267,26978000,33185000
74,Depreciation and Amortization,518025,471652,943558,756879,15780607,8932179,7244757,5369295,4609099,5521167,5110934,1614502,3852955,4052000,4552000
