,https://roic.ai/company/AMWL,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,113955000,148857000,245265000,252789000
2,COGS,58612000,79976000,156790000,148474000
3,Gross Profit,55343000,68881000,88475000,104315000
4,Gross Profit Ratio,0.4857,0.4627,0.3607,0.4127
5,Research and Development Exp.,36273000,53941000,84412000,106594000
6,General and Administrative Exp.,37217000,54211000,166246000,94624000
7,Selling and Marketing Exp.,31629000,47672000,55095000,66154000
8,"Selling, General and Administrative Exp.",68846000,101883000,221341000,160778000
9,Other Expenses,5330000,7761000,10153000,16089000
10,Operating Expenses,110449000,163585000,315906000,283461000
11,COGS and Expenses,169061000,243561000,472696000,431935000
12,Interest Income ,2794000,5535000,1632000,120000
13,Interest Expense (Gain),- -,5535000,1632000,120000
14,Depreciation and Amortization,5330000,7761000,10153000,16089000
15,EBITDA,-47344000,-74697000,-212008000,-165501000
16,EBITDA ratio,-0.4155,-0.5018,-0.8644,-0.6547
17,Operating Income,-55106000,-94704000,-227431000,-179146000
18,Operating Income ratio,-0.4836,-0.6362,-0.9273,-0.7087
19,Total Other Income Expenses (Gains),2794000,5535000,1632000,120000
20,Income Before Tax,-52312000,-89169000,-225799000,-179026000
21,Income Before Tax Ratio,-0.4591,-0.5990,-0.9206,-0.7082
22,Income Tax expense (Gain),- -,-803000,639000,-5376000
23,Net Income,-52674000,-87190000,-224432000,-176334000
24,Net Income ratio,-0.4622,-0.5857,-0.9151,-0.6976
25,EPS,-0.31,-0.56,-2.27,-1.78
26,EPS Diluted,-0.31,-0.56,-2.27,-1.78
27,Weighted Average Shares Outstanding,170048530,155558387,99044312,99044312
28,Weighted Average Shares Outstanding Diluted,170048530,155558387,99044312,99044312
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1393584/000156459021015812/0001564590-21-015812-index.htm,https://www.sec.gov/Archives/edgar/data/1393584/000156459022007355/0001564590-22-007355-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,47975000,137673000,941616000,746416000
32,Short-Term Investments,208226000,39953000,99963000,- -
33,Cash and Short-Term Investments,256201000,177626000,1041579000,746416000
34,Net Receivables,30778000,32730000,45296000,51375000
35,Inventory,2512000,3104000,9128000,7530000
36,Other Current Assets,10676000,10067000,17284000,21975000
37,Total Current Assets,300167000,223527000,1113287000,827296000
38,PP&E,3077000,14608000,10445000,18657000
39,Goodwill,127268000,193877000,193877000,442761000
40,Intangible Assets,55392000,63535000,55528000,152409000
41,Intangible Assets,182660000,257412000,249405000,595170000
42,Investments,- -,- -,752000,168000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,3410000,4334000,2757000,4545000
45,Total Non-Current Assets,189147000,276354000,263359000,618540000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,489314000,499881000,1376646000,1445836000
48,Accounts Payable,4226000,6504000,5797000,12156000
49,Short-Term Debt,- -,6232000,6357000,1918000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,64128000,66490000,66693000,68841000
52,Other Current Liabilities,19478000,27351000,42135000,58711000
53,Total Current Liabilities,87832000,106577000,120982000,141626000
54,Long-Term Debt,- -,7164000,1296000,14694000
55,Deferred Revenue,29171000,10896000,8107000,7055000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,576721000,656108000,64000,21586000
58,Total Non-Current Liabilities,605892000,674168000,9467000,43335000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,13396000,7653000,16612000
61,Total Liabilities,693724000,780745000,130449000,184961000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,414000,423000,2357000,2620000
64,Retained Earnings,-270737000,-357927000,-582359000,-811284000
65,Other Comprehensive Income/Loss,1351000,250000,297000,-6353000
66,Other Total Stockholders Equity,37127000,50131000,1803837000,2054275000
67,Total Stockholders Equity,-231845000,-307123000,1224132000,1239258000
68,Total Liabilities And Stockholders Equity,461879000,473622000,1354581000,1424219000
