,https://roic.ai/company/NOMD,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1505800000,- -,- -,1927700000,1956600000,2172800000,2324300000,2515900000,- -
2,COGS,1001800000,- -,- -,1356700000,1357200000,1519300000,1626400000,1753400000,- -
3,Gross Profit,504000000,- -,- -,571000000,599400000,653500000,697900000,762500000,- -
4,Gross Profit Ratio,0.3347,- -,- -,0.2962,0.3063,0.3008,0.3003,0.3031,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,551000,1097000,- -,5600000,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,551000,1097000,- -,5600000,- -,- -,- -,- -
9,Other Expenses,231800000,31304000,187751000,298400000,313700000,352700000,359900000,382700000,- -
10,Operating Expenses,231800000,31855000,188848000,298400000,319300000,352700000,359900000,382700000,- -
11,COGS and Expenses,1233600000,31855000,188848000,1655100000,1676500000,1872000000,1986300000,2136100000,- -
12,Interest Income ,7400000,4000,4000,5900000,200000,200000,2500000,700000,- -
13,Interest Expense (Gain),228200000,- -,- -,77000000,58800000,69300000,82800000,66700000,- -
14,Depreciation and Amortization,27800000,30400000,- -,51100000,42400000,46300000,68300000,67600000,71600000
15,EBITDA,216800000,-31938000,-188918000,204100000,269700000,343400000,361800000,429900000,- -
16,EBITDA ratio,0.1440,-Infinity,-Infinity,0.1059,0.1378,0.1580,0.1557,0.1709,- -
17,Operating Income,188400000,-31855000,-188848000,138100000,242900000,283100000,283500000,359200000,342700000
18,Operating Income ratio,0.1251,-Infinity,-Infinity,0.0716,0.1241,0.1303,0.1220,0.1428,Infinity
19,Total Other Income Expenses (Gains),-227600000,87000,74000,-62100000,-74400000,-56000000,-73200000,-63700000,- -
20,Income Before Tax,-39200000,-31768000,-188774000,76000000,168500000,227100000,210300000,295500000,- -
21,Income Before Tax Ratio,-0.0260,-Infinity,-Infinity,0.0394,0.0861,0.1045,0.0905,0.1175,- -
22,Income Tax expense (Gain),2000000,- -,- -,39600000,32000000,56600000,56700000,70400000,- -
23,Net Income,-41200000,-31768000,-188774000,36400000,136500000,171200000,154000000,225200000,- -
24,Net Income ratio,-0.0274,-Infinity,-Infinity,0.0189,0.0698,0.0788,0.0663,0.0895,- -
25,EPS,-0.28,-0.64,-3.77,0.20,0.78,0.97,0.80,1.16,- -
26,EPS Diluted,-0.28,-0.64,-3.77,0.20,0.74,0.97,0.78,1.14,- -
27,Weighted Average Shares Outstanding,145590810,50025000,50072679,183518743,176100000,175600000,192000000,194000000,194000000
28,Weighted Average Shares Outstanding Diluted,145590810,50025000,50072679,183528621,184800000,175800000,198400000,197900000,194000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651717/000165171718000011/0001651717-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1651717/000165171719000008/0001651717-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1651717/000165171720000013/0001651717-20-000013-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,488687000,138457000,325300000,219000000,327500000,826000000,393100000,254200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,25000000,25000000,- -
33,Cash and Short-Term Investments,- -,488687000,138457000,325300000,219000000,327500000,851000000,418100000,254200000
34,Net Receivables,- -,47600000,- -,127700000,137000000,164700000,198700000,175800000,234600000
35,Inventory,- -,229100000,- -,325000000,306900000,342500000,323200000,343200000,410600000
36,Other Current Assets,- -,-276700000,- -,95800000,86200000,102100000,47400000,30200000,29700000
37,Total Current Assets,- -,488687000,138457000,873800000,749100000,936800000,1420300000,967300000,929100000
38,PP&E,- -,254900000,- -,298200000,295400000,348800000,422400000,422200000,549400000
39,Goodwill,- -,889400000,- -,1745600000,1745600000,1861000000,1862900000,1938000000,2099400000
40,Intangible Assets,- -,1327000000,- -,1726600000,1724400000,2087200000,2083100000,2114100000,2455700000
41,Intangible Assets,- -,2216400000,- -,3472200000,3470000000,3948200000,3946000000,4052100000,4555100000
42,Investments,- -,- -,349980000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,73300000,- -,64900000,64300000,68700000,96400000,113500000,128300000
44,Other Non-Current Assets,- -,- -,- -,400000,22900000,38300000,19400000,18300000,8900000
45,Total Non-Current Assets,- -,- -,349980000,3835700000,3852600000,4404000000,4484200000,4606100000,5241700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,488687000,488437000,4709500000,4601700000,5340800000,5904500000,5573400000,6170800000
48,Accounts Payable,- -,244800000,- -,345000000,328900000,400600000,365900000,453400000,692000000
49,Short-Term Debt,- -,487800000,- -,600000,3300000,21400000,29000000,33200000,29100000
50,Tax Payable,- -,22500000,- -,181600000,163500000,220200000,242900000,190300000,198500000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,-732477000,42443000,407500000,369700000,418000000,428200000,429700000,245100000
53,Total Current Liabilities,- -,123000,42443000,753100000,701900000,840000000,823100000,916300000,966200000
54,Long-Term Debt,- -,2903100000,- -,1451800000,1395100000,1742900000,1847600000,1736300000,2198300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,306100000,- -,333200000,327700000,392100000,398200000,420700000,437600000
57,Other Non-Current Liabilities,- -,-3177815000,145811000,268900000,324400000,306700000,278900000,374000000,269700000
