,https://roic.ai/company/PUMP,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,569617758,436920270,981865000,1704562000,2052314000,789232000,874514000
2,COGS,533471577,447681920,869451000,1358715000,1615660000,737569000,795643000
3,Gross Profit,36146181,-10761650,112414000,345847000,436654000,51663000,78871000
4,Gross Profit Ratio,0.0635,-0.0246,0.1145,0.2029,0.2128,0.0655,0.0902
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,27369740,26613123,49215000,53958000,105076000,86768000,82921000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",27369740,26613123,49215000,53958000,105076000,86768000,82921000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,27369740,26613123,49215000,53958000,105076000,86768000,82921000
11,COGS and Expenses,560841317,474295043,918666000,1412673000,1720736000,824337000,878564000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),21641454,20386695,7347000,6889000,7141000,2383000,614000
14,Depreciation and Amortization,50133993,43541679,55628000,88138000,145304000,153290000,133377000
15,EBITDA,535193,-17190604,78716000,320144000,365949000,21173000,65554000
16,EBITDA ratio,0.0009,-0.0393,0.0802,0.1878,0.1783,0.0268,0.0750
17,Operating Income,-49100876,-67386017,24113000,232669000,221362000,-131243000,-68696000
18,Operating Income ratio,-0.0862,-0.1542,0.0246,0.1365,0.1079,-0.1663,-0.0786
19,Total Other Income Expenses (Gains),-22139378,-13732961,-8372000,-7552000,-7858000,-3257000,259000
20,Income Before Tax,-71240254,-81118978,15741000,225117000,213504000,-134500000,-68437000
21,Income Before Tax Ratio,-0.1251,-0.1857,0.0160,0.1321,0.1040,-0.1704,-0.0783
22,Income Tax expense (Gain),-25387570,-27971582,3128000,51255000,50494000,-27480000,-14252000
23,Net Income,-45852684,-53147396,12613000,173862000,163010000,-107020000,-54185000
24,Net Income ratio,-0.0805,-0.1216,0.0128,0.1020,0.0794,-0.1356,-0.0620
25,EPS,-0.55,-0.64,0.17,2.08,1.62,-1.06,-0.52
26,EPS Diluted,-0.55,-0.64,0.16,2.00,1.57,-1.06,-0.52
27,Weighted Average Shares Outstanding,83039854,83039854,76371000,83460000,100472000,100829000,103257000
28,Weighted Average Shares Outstanding Diluted,83039854,83039854,79583000,87046000,103750000,100829000,103257000
