,https://roic.ai/company/FLES,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,100,250,563,20448,20153,18374,24828,50985,30414,36416,8312610,8186214,8171355
2,COGS,- -,- -,- -,18722,52578,39414,55500,24186,12973,2945,- -,7302305,6275189,6710727
3,Gross Profit,- -,100,250,-18159,-32130,-19261,-37126,642,38012,27469,36416,1010305,1911025,1460628
4,Gross Profit Ratio,- -,1.0000,1.0000,-32.2540,-1.5713,-0.9557,-2.0206,0.0259,0.7456,0.9032,1.0000,0.1215,0.2334,0.1787
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,184589,845899,670308,440836,293391,284712,389949,402719,915507,2577461
7,Selling and Marketing Exp.,- -,- -,- -,- -,29203,40526,36468,115353,48523,27831,3872,- -,- -,112531
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,213792,886425,706776,556189,341914,312543,393821,402719,915507,2689992
9,Other Expenses,- -,76563,47248,1730849,196569,372112,265551,- -,- -,- -,- -,1598353,2848782,912470
10,Operating Expenses,- -,76563,47248,1730849,410361,1258537,972327,556189,341914,312543,393821,2001072,3764289,3602462
11,COGS and Expenses,12854,76563,47248,1749571,462939,1297951,1027827,580375,354887,315488,393821,9303377,10039478,10313189
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),897,2723,2402,99242,52186,70154,78235,111834,175904,272891,305568,473966,1929948,903544
14,Depreciation and Amortization,- -,- -,- -,7978,17249,406586,265551,- -,- -,- -,- -,40958,34832,25196
15,EBITDA,-12854,-76463,-46998,-1964484,-429329,-871212,-743902,-630290,-1133516,68635,-595094,-7610574,-1915066,2115916
16,EBITDA ratio,-Infinity,-764.6300,-187.9920,-3489.3144,-20.9961,-43.2299,-40.4867,-25.3863,-22.2323,2.2567,-16.3416,-0.9155,-0.2339,0.2589
17,Operating Income,-12854,-76463,-46998,-1749008,-442491,-1277798,-1009453,-555547,-303902,-285074,-357405,-990767,-1853264,-2141834
18,Operating Income ratio,-Infinity,-764.6300,-187.9920,-3106.5861,-21.6398,-63.4049,-54.9392,-22.3758,-5.9606,-9.3731,-9.8145,-0.1192,-0.2264,-0.2621
19,Total Other Income Expenses (Gains),-897,-2723,-2402,-322696,-56273,-70154,-78235,-186577,-1005518,80818,-543257,-7134731,-2026582,3329010
20,Income Before Tax,-13751,-79186,-49400,-2071704,-498764,-1347952,-1087688,-742124,-1309420,-204256,-900662,-8125498,-3879846,1187176
21,Income Before Tax Ratio,-Infinity,-791.8600,-197.6000,-3679.7584,-24.3918,-66.8859,-59.1971,-29.8906,-25.6825,-6.7159,-24.7326,-0.9775,-0.4739,0.1453
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-13751,-79186,-49400,-2071704,-498764,-1347952,-1087688,-742124,-1309420,-204256,-900662,-8125498,-3879846,1187176
24,Net Income ratio,-Infinity,-791.8600,-197.6000,-3679.7584,-24.3918,-66.8859,-59.1971,-29.8906,-25.6825,-6.7159,-24.7326,-0.9775,-0.4739,0.1453
25,EPS,-13751.00,-79186.00,-49400.00,-2071704.00,-498764.00,-673976.00,-543844.00,-247374.67,-72745.56,-8880.70,-25733.20,-53811.25,-7.21,1.09
26,EPS Diluted,-13751.00,-79186.00,-49400.00,-2071704.00,-498764.00,-673976.00,-543844.00,-247374.67,-72745.56,-8880.70,-25733.20,-53811.25,-7.21,-0.37
27,Weighted Average Shares Outstanding,1,1,1,1,1,2,2,3,18,23,35,151,538464,1084324
28,Weighted Average Shares Outstanding Diluted,1,1,1,1,1,2,2,3,18,23,35,151,538464,6070030
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438901/000112178113000364/0001121781-13-000364-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438901/000116169719000350/0001161697-19-000350-index.htm,https://www.sec.gov/Archives/edgar/data/1438901/000116169720000190/0001161697-20-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1438901/000116169721000253/0001161697-21-000253-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1959,224,627,1124,912,89680,7299,49881,- -,1156,2830,59401,162124,277664
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1959,224,627,1124,912,89680,7299,49881,- -,1156,2830,59401,162124,277664
34,Net Receivables,- -,- -,- -,- -,- -,- -,400,- -,995,- -,- -,- -,- -,100000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293382,371896,323411
36,Other Current Assets,33611,- -,- -,- -,- -,- -,- -,- -,83,- -,- -,101159,9165,14008
37,Total Current Assets,35570,224,627,1124,912,89680,7699,49881,1078,1156,2830,453942,543185,715083
38,PP&E,- -,- -,- -,208275,- -,- -,- -,- -,- -,- -,- -,242126,597702,424440
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
