,https://roic.ai/company/AGIO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,21837000,25106000,25548000,65358000,59119000,69892000,43011000,94387000,117912000,203196000,41409
2,COGS,- -,- -,- -,- -,- -,- -,- -,1397000,1317000,2805000,706
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,92990000,116595000,200391000,40703
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.9852,0.9888,0.9862,0.9830
5,Research and Development Exp.,31253000,41037000,54502000,100371000,141827000,220163000,292681000,341324000,410894000,367470000,41564
6,General and Administrative Exp.,7215000,7064000,9929000,19120000,35992000,50714000,71124000,114145000,132034000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7215000,7064000,9929000,19120000,35992000,50714000,71124000,114145000,132034000,- -,8551
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,149070000,- -
10,Operating Expenses,38468000,48101000,64431000,119491000,177819000,270877000,363805000,455469000,542928000,516540000,50115
11,COGS and Expenses,38468000,48101000,64431000,119491000,177819000,270877000,363805000,456866000,544245000,519345000,50821
12,Interest Income ,132000,69000,55000,203000,968000,2514000,6124000,16451000,14861000,6611000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,17832000,-5697
14,Depreciation and Amortization,801000,1179000,1440000,1367000,3342000,5708000,6432000,7172000,8087000,9984000,9240000
15,EBITDA,-15698000,-21747000,-37388000,-52563000,-114390000,-192763000,-308238000,-338856000,-403385000,-299554000,-172
16,EBITDA ratio,-0.7189,-0.8662,-1.4634,-0.8042,-1.9349,-2.7580,-7.1665,-3.5901,-3.4211,-1.4742,-0.0042
17,Operating Income,-16631000,-22995000,-38883000,-54133000,-118700000,-200985000,-320794000,-362479000,-426333000,-316149000,-378418000
18,Operating Income ratio,-0.7616,-0.9159,-1.5220,-0.8283,-2.0078,-2.8757,-7.4584,-3.8403,-3.6157,-1.5559,-9138.5448
19,Total Other Income Expenses (Gains),132000,69000,55000,203000,968000,2514000,6124000,16451000,14861000,-11221000,380392024
20,Income Before Tax,-16499000,-22926000,-38828000,-53930000,-117732000,-198471000,-314670000,-346028000,-411472000,-327370000,1974024
