,https://roic.ai/company/ATOS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,1500,481842,632558,525954,1758,- -,- -,- -,- -,- -,- -
2,COGS,- -,97190,65629,495465,340658,132411,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,-95690,416213,137093,185296,-130653,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,-63.7933,0.8638,0.2167,0.3523,-74.3191,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,119996,- -,- -,1105110,2577465,2359593,770427,2328087,4209981,6645417,6608392,9210000
6,General and Administrative Exp.,882158,3172649,5018422,8558835,8625917,8846963,6479193,4859369,7224252,10620008,7999000,11311000
7,Selling and Marketing Exp.,12204,160851,466821,1257791,1271705,1421409,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",894362,3333500,5485243,9816626,9897622,10268372,6479193,4859369,7224252,10620008,7999000,11311000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1014358,3333500,5485243,10921736,12475087,12627965,7249620,7187456,11434233,17265425,14607392,20521000
11,COGS and Expenses,1077996,3430690,5550872,11417201,12815745,12760376,7249620,7187456,11434233,17265425,14607392,20521000
12,Interest Income ,455,4914,1219,295,260,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),9139,17992,12040,360,15769,- -,- -,192817,- -,- -,- -,- -
14,Depreciation and Amortization,- -,15623,130552,472934,564456,272627,303482,128994,44197,52789,46520,23000
15,EBITDA,-1077541,-3408654,-4937259,-10311414,-14077701,-15487696,-6946138,-7058462,-11390036,-17212636,-17781432,-20498000
16,EBITDA ratio,-Infinity,-2272.4360,-10.2466,-16.3011,-26.7660,-8809.8385,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-1077996,-3429190,-5069030,-10784643,-14642417,-12758618,-7968590,-7649171,-11434233,-17265425,-14607392,-20521000
18,Operating Income ratio,-Infinity,-2286.1267,-10.5201,-17.0493,-27.8397,-7257.4619,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-8684,-13079,-10821,-65,-15509,431,1599705,-473410,29299,25648,-3220560,-85000
20,Income Before Tax,-1086680,-3442269,-5079851,-10784708,-14657926,-12758187,-6368885,-8122581,-11404934,-17239777,-17827952,-20606000
21,Income Before Tax Ratio,-Infinity,-2294.8460,-10.5426,-17.0494,-27.8692,-7257.2167,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1086930,-3442269,-5079851,-10784708,-14657926,-15760323,-6368885,-8122581,-11404934,-17239777,-17827952,-20606000
