,https://roic.ai/company/GRTX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,20594000,18663000,42333000,54845000,52417000
6,General and Administrative Exp.,3500000,5592000,8358000,15708000,20951000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3500000,5592000,8358000,15708000,20951000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,24094000,24255000,50691000,70553000,73368000
11,COGS and Expenses,24094000,24255000,50691000,70553000,- -
12,Interest Income ,193000,606000,1823000,1174000,32000
13,Interest Expense (Gain),- -,220000,3031000,4880000,-7194000
14,Depreciation and Amortization,84000,127000,267000,368000,- -
15,EBITDA,-23817000,-23522000,-50424000,-70185000,-73368000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-24094000,-24255000,-50691000,-70553000,-73368000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),189000,356000,-1248000,-3681000,-7166000
20,Income Before Tax,-23905000,-23899000,-51939000,-74234000,-80534000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),-360000,-223000,-9000,-16000,- -
23,Net Income,-23545000,-23676000,-51930000,-74218000,-80534000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-1.85,-1.56,-2.38,-2.98,-3.06
26,EPS Diluted,-1.85,-1.56,-2.38,-2.98,-3.06
27,Weighted Average Shares Outstanding,15223264,15223264,24811567,24869770,26304920
28,Weighted Average Shares Outstanding Diluted,15223264,15223264,24811567,24869770,26304920
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1563577/000156459020009542/0001564590-20-009542-index.htm,https://www.sec.gov/Archives/edgar/data/1563577/000156459021012244/0001564590-21-012244-index.htm,https://www.sec.gov/Archives/edgar/data/1563577/000095017022003292/0000950170-22-003292-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,6169000,14811000,18356000,15872000,19859000
32,Short-Term Investments,8011000,66706000,93934000,56904000,- -
33,Cash and Short-Term Investments,14180000,81517000,112290000,72776000,19859000
34,Net Receivables,507000,870000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,479000,1465000,5280000,5153000,57533000
37,Total Current Assets,15166000,83852000,117570000,77929000,77392000
38,PP&E,325000,568000,1749000,1553000,823000
39,Goodwill,881000,881000,881000,881000,881000
40,Intangible Assets,2258000,2258000,2258000,2258000,2258000
41,Intangible Assets,3139000,3139000,3139000,3139000,3139000
42,Investments,- -,- -,- -,- -,51358000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,242000,497000,918000,1477000,-49401000
45,Total Non-Current Assets,3706000,4204000,5806000,6169000,5919000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,18872000,88056000,123376000,84098000,83311000
48,Accounts Payable,2257000,3867000,3945000,5146000,5044000
49,Short-Term Debt,- -,- -,297000,238000,258000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,2037000,2577000,5452000,8584000,7633000
53,Total Current Liabilities,4294000,6444000,9694000,13968000,12935000
54,Long-Term Debt,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,521000,298000,289000,273000,273000
57,Other Non-Current Liabilities,90162000,186134000,43785000,63739000,128107000
58,Total Non-Current Liabilities,90683000,186432000,44074000,64012000,128380000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,831000,534000,- -
61,Total Liabilities,94977000,192876000,53768000,77980000,141315000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,25000,25000,26000
64,Retained Earnings,-76102000,-104823000,-161350000,-235568000,-316102000
65,Other Comprehensive Income/Loss,-3000,3000,38000,12000,-14000
66,Other Total Stockholders Equity,180000,210000,230895000,241649000,258086000
67,Total Stockholders Equity,-76105000,-104820000,69608000,6118000,-58004000
68,Total Liabilities And Stockholders Equity,18872000,88056000,123376000,84098000,83311000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18872000,88056000,123376000,84098000,83311000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1563577/000156459020009542/0001564590-20-009542-index.htm,https://www.sec.gov/Archives/edgar/data/1563577/000156459021012244/0001564590-21-012244-index.htm,https://www.sec.gov/Archives/edgar/data/1563577/000095017022003292/0000950170-22-003292-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-23545000,-23676000,-51930000,-74218000,-80534000
74,Depreciation and Amortization,84000,127000,267000,368000,- -
75,Deferred Income Tax,- -,- -,232000,-16000,- -
76,Stock Based Compensation,726000,865000,2390000,5536000,- -
77,Change in Working Capital,-671000,66536000,30468000,-43915000,496000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-652000,1587000,77000,1201000,- -
81,Other Working Capital,10872000,77408000,107876000,63961000,64457000
82,Other Non-Cash Items,- -,-66018000,-28088000,52708000,80038000
83,Cash Provided by Operating Activities,-23406000,-22166000,-46661000,-59537000,- -
84,CAPEX,-319000,-347000,-633000,-457000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-9919000,-71190000,-123192000,-67746000,- -
87,Sales/Maturities of Investments,33750000,12501000,96000000,104750000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,23512000,-59036000,-27825000,36547000,- -
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,58021000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,89844000,20010000,20506000,- -
95,Cash Used/Provided by Financing Activities,- -,89844000,78031000,20506000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,106000,8642000,3545000,-2484000,- -
98,Cash at the End of Period,6169000,14811000,18356000,15872000,- -
99,Cash at the Beginning of Period,6063000,6169000,14811000,18356000,15872000
100,Free Cash Flow,-23725000,-22513000,-47294000,-59994000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1563577/000156459020009542/0001564590-20-009542-index.htm,https://www.sec.gov/Archives/edgar/data/1563577/000156459021012244/0001564590-21-012244-index.htm,https://www.sec.gov/Archives/edgar/data/1563577/000095017022003292/0000950170-22-003292-index.htm
102,false,,,,,
