,https://roic.ai/company/VRM,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,855429000,1191821000,1357700000,3184255000
2,COGS,794622000,1133962000,1286155000,2982156000
3,Gross Profit,60807000,57859000,71545000,202099000
4,Gross Profit Ratio,0.0711,0.0485,0.0527,0.0635
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,108285000,135122000,183153000,422342000
7,Selling and Marketing Exp.,25557000,49866000,62393000,125481000
8,"Selling, General and Administrative Exp.",133842000,184988000,245546000,547823000
9,Other Expenses,6857000,6019000,4598000,12891000
10,Operating Expenses,140699000,191007000,250144000,560714000
11,COGS and Expenses,935321000,1324969000,1536299000,3542870000
12,Interest Income ,3135000,5607000,5896000,10341000
13,Interest Expense (Gain),8513000,14596000,9656000,21948000
14,Depreciation and Amortization,6932000,6157000,4654000,13215000
15,EBITDA,-69504000,-122057000,-188405000,-334994000
16,EBITDA ratio,-0.0813,-0.1024,-0.1388,-0.1052
17,Operating Income,-79892000,-133148000,-178599000,-358615000
18,Operating Income ratio,-0.0934,-0.1117,-0.1315,-0.1126
19,Total Other Income Expenses (Gains),-5057000,-9662000,-24116000,-11542000
20,Income Before Tax,-84949000,-142810000,-202715000,-370157000
21,Income Before Tax Ratio,-0.0993,-0.1198,-0.1493,-0.1162
22,Income Tax expense (Gain),229000,168000,84000,754000
23,Net Income,-85178000,-142978000,-202799000,-370911000
24,Net Income ratio,-0.0996,-0.1200,-0.1494,-0.1165
25,EPS,-1.04,-1.55,-2.76,-2.72
26,EPS Diluted,-1.04,-1.55,-2.76,-2.72
27,Weighted Average Shares Outstanding,94004850,92174590,73345569,136429791
28,Weighted Average Shares Outstanding Diluted,94004850,92174590,73345569,136429791
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580864/000156459021010584/0001564590-21-010584-index.htm,https://www.sec.gov/Archives/edgar/data/1580864/000095017022002352/0000950170-22-002352-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,161656000,217734000,1056213000,1132325000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,161656000,217734000,1056213000,1132325000
34,Net Receivables,13207000,30848000,60576000,105433000
35,Inventory,115551000,205746000,423647000,726384000
36,Other Current Assets,7067000,11002000,57443000,138150000
37,Total Current Assets,297481000,465330000,1597879000,2102292000
38,PP&E,- -,- -,32229000,52401000
39,Goodwill,78172000,78172000,78172000,158817000
40,Intangible Assets,3945000,572000,- -,28207000
41,Intangible Assets,82117000,78744000,78172000,187024000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,13246000,19313000,15776000,25033000
45,Total Non-Current Assets,95363000,98057000,126177000,264458000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,392844000,563387000,1724056000,2366750000
48,Accounts Payable,14824000,18987000,32925000,52651000
49,Short-Term Debt,103868000,173596000,335283000,519690000
50,Tax Payable,2049000,7455000,15443000,39163000
51,Deferred Revenue,6421000,17323000,24822000,75803000
52,Other Current Liabilities,27182000,49928000,89680000,179112000
53,Total Current Liabilities,152295000,259834000,482710000,827256000
54,Long-Term Debt,16045000,181000,- -,620210000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,521370000,877224000,14244000,4090000
58,Total Non-Current Liabilities,537415000,877405000,14244000,624300000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,18145000,16481000
61,Total Liabilities,689710000,1137239000,496954000,1451556000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,4000,4000,132000,135000
64,Retained Earnings,-296870000,-573856000,-777871000,-1148782000
65,Other Comprehensive Income/Loss,-7263000,-9520000,- -,- -
66,Other Total Stockholders Equity,7263000,9520000,2004841000,- -
67,Total Stockholders Equity,-296866000,-573852000,1227102000,915194000
68,Total Liabilities And Stockholders Equity,392844000,563387000,1724056000,2366750000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,392844000,563387000,1724056000,2366750000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580864/000156459021010584/0001564590-21-010584-index.htm,https://www.sec.gov/Archives/edgar/data/1580864/000095017022002352/0000950170-22-002352-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-85178000,-142978000,-202799000,-370911000
74,Depreciation and Amortization,6932000,6157000,4654000,13215000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,1158000,2756000,13254000,13409000
77,Change in Working Capital,9595000,60310000,909673000,-246363000
78,Accounts Receivable,9049000,-18430000,-32068000,-53206000
79,Inventory,11902000,-92877000,-224489000,-312208000
80,Accounts Payable,-6527000,4035000,14066000,19321000
81,Other Working Capital,145186000,205496000,1115169000,50943000
82,Other Non-Cash Items,2582000,-141881000,-1080036000,21962000
83,Cash Provided by Operating Activities,-64911000,-215636000,-355254000,-568688000
84,CAPEX,-2062000,-3528000,-11329000,-28413000
85,Acquisitions Net,- -,- -,- -,-75875000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,14850000,- -,- -,- -
89,Cash Used for Investing Activites,12788000,-3528000,-11329000,-104288000
90,Debt Repayment,-661700000,-939429000,-1086966000,-2529780000
91,Common Stock Issued,- -,- -,1073495000,- -
92,Common Stock Repurchased,- -,-5824000,-4733000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,794075000,1220495000,1255239000,3327492000
95,Cash Used/Provided by Financing Activities,132375000,275242000,1237035000,797712000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,80252000,56078000,870452000,124736000
98,Cash at the End of Period,163509000,219587000,1090039000,1214775000
99,Cash at the Beginning of Period,83257000,163509000,219587000,1090039000
100,Free Cash Flow,-66973000,-219164000,-366583000,-597101000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580864/000156459021010584/0001564590-21-010584-index.htm,https://www.sec.gov/Archives/edgar/data/1580864/000095017022002352/0000950170-22-002352-index.htm
102,false,,,,
