,https://roic.ai/company/NOG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,3542994,14221499,59574184,159724742,296817188,369231522,431614127,202674506,159722230,223986324,493918327,601239000,324069000,975092000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,70954,2055349,8766457,27344353,159704951,201201484,272253179,211444430,122437876,129837272,231727647,386871000,308239000,388599000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,3472040,12166150,50807727,132380389,137112237,168030038,159360948,-8769924,37284354,94149052,262190680,214368000,15830000,586493000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.9800,0.8555,0.8528,0.8288,0.4619,0.4551,0.3692,-0.0433,0.2334,0.4203,0.5308,0.3565,0.0488,0.6015
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2698,3012,2872,30084,12267,7756,4513189,2091289,2452823,7204442,13624892,22645315,16575440,17602306,19042004,14757641,18987801,14568362,23624000,18546000,30341000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2698,3012,2872,30084,12267,7756,4513189,2091289,2452823,7204442,13624892,22645315,16575440,17602306,19042004,14757641,18987801,14568362,23624000,18546000,30341000
9,Other Expenses,4878,- -,- -,- -,- -,25000,- -,- -,276861,4342777,17082913,41169618,86193,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4878,2698,3012,2872,30084,37267,7756,4513189,2368150,6795600,24287355,54794510,22731508,16575440,17602306,19042004,14757641,18987801,14568362,23624000,18546000,30341000
11,COGS and Expenses,4878,2698,3012,2872,30084,37267,7756,4513189,2439104,8850949,33053812,82138863,182436459,217776924,289855485,230486434,137195517,148825073,246296009,410495000,326785000,418940000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,567452,1263,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585982,13874909,32709056,42105676,58360387,64485623,70286341,86005183,79229000,58503000,59020000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,3446,835538,4342777,176595,298137,409888,- -,- -,- -,61244158,59500155,119779675,- -,162120000,140828000
15,EBITDA,-4878,-2698,-3012,-2872,-30084,-87267,-7756,-4509743,2322289,8607729,11512895,68330911,129571193,117543706,305218621,-1119418358,-169166106,119022708,349419093,2911000,-685584000,206442000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.6555,0.6053,0.1933,0.4278,0.4365,0.3183,0.7072,-5.5232,-1.0591,0.5314,0.7074,0.0048,-2.1155,0.2117
17,Operating Income,-4878,-2698,-3012,-2872,-30084,-12267,-7756,-4513189,1102860,4128961,11505288,67250230,129136431,117996947,305171257,-1119388267,-229304855,60494596,432628487,55509000,-841243000,77959000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.3113,0.2903,0.1931,0.4210,0.4351,0.3196,0.7070,-5.5231,-1.4356,0.2701,0.8759,0.0923,-2.5959,0.0800
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,25000,- -,207896,383891,135991,-168988,196562,-13850035,-33162297,-42058312,-58390478,-65591032,-71258384,-288994252,-131827000,-64964000,-71365000
20,Income Before Tax,-4878,-2698,-3012,-2872,-30084,12733,-7756,-4305293,1486751,4264952,11336300,67446792,115286396,84834650,263112945,-1177778745,-294895887,-10763788,143634235,-76318000,-906207000,6594000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,0.4196,0.2999,0.1903,0.4223,0.3884,0.2298,0.6096,-5.8112,-1.8463,-0.0481,0.2908,-0.1269,-2.7963,0.0068
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-873000,1466000,4419000,26835300,43001772,31767614,99367000,-202424204,-1402179,-1570016,-55000,- -,-166000,233000
23,Net Income,-4878,-2698,-3012,-2872,-30084,12733,-7756,-4305293,2359751,2798952,6917300,40611492,72284624,53067036,163745945,-975354541,-293493708,-9193772,143689235,-76318000,-906041000,6361000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,0.6660,0.1968,0.1161,0.2543,0.2435,0.1437,0.3794,-4.8124,-1.8375,-0.0410,0.2909,-0.1269,-2.7958,0.0065
25,EPS,-0.10,-0.10,-0.10,-0.10,-0.10,0.05,-0.10,-1.80,0.70,0.80,1.40,6.60,11.60,8.50,27.00,-160.80,-48.00,-1.50,6.10,-2.00,-21.55,0.10
26,EPS Diluted,-0.10,-0.10,-0.10,-0.10,-0.10,0.05,-0.10,-1.80,0.70,0.80,1.40,6.50,11.50,8.50,26.90,-160.80,-48.00,-1.50,6.10,-2.00,-21.55,0.10
27,Weighted Average Shares Outstanding,235799,235799,235799,235799,235799,235799,236167,2366711,3192074,3670526,5038720,6178928,6248583,6236495,6069170,6065244,6117354,6240885,23620645,38708465,42744639,65856479
28,Weighted Average Shares Outstanding Diluted,235799,235799,235799,235799,235799,235799,236167,2366711,3265355,3687707,5077824,6219534,6286907,6274729,6086076,6065244,6117354,6240885,23677391,38708465,42744639,66629566
