,https://roic.ai/company/ACY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1672,3777580,7380140,12107760,11231990,8814030,8909510,10903840,13499320,18321990,23849750,31795300,33563900,30700600,24552700,27761400,27672500,25306900,31235400,26549300,34758500,30517500,43259400,15745700,- -
2,COGS,- -,- -,- -,- -,1758050,1725330,1909850,1988290,2339750,3503840,2395570,6772100,7149000,10888700,10933700,4082100,8765000,7478400,4660600,3285700,2924300,636000,850800,- -,- -
3,Gross Profit,- -,3777580,- -,12107760,9473940,7088700,6999660,8915550,11159570,14818150,21454180,25023200,26414900,19811900,13619000,23679300,18907500,17828500,26574800,23263600,31834200,29881500,42408600,- -,- -
4,Gross Profit Ratio,- -,1.0000,- -,1.0000,0.8435,0.8043,0.7856,0.8177,0.8267,0.8088,0.8996,0.7870,0.7870,0.6453,0.5547,0.8530,0.6833,0.7045,0.8508,0.8762,0.9159,0.9792,0.9803,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,943890,2104730,3444930,1359250,- -,- -,- -,- -,- -,- -,4848400,4707600,5219300,5927700,6545200,7050900,6839000,7178700,7193200,8325600,7802600,6993900,7458600,3204600
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,943890,2104730,3444930,1359250,784970,3833810,1880730,3292440,3594640,3898480,4848400,4707600,5219300,5927700,6545200,7050900,6839000,7178700,7193200,8325600,7802600,6993900,7458600,3204600
9,Other Expenses,503027,713930,1700000,2673950,2789550,2851860,3360600,3554620,4030950,4979530,5941090,7145900,7851900,7769600,5689100,10299200,16167700,15242600,13910000,12148800,15040200,13363300,12552600,7432400,- -
10,Operating Expenses,503027,1657820,3804730,6118880,4148800,3636830,7194410,5435350,7323390,8574170,9839570,11994300,12559500,12988900,11616800,16844400,23218600,22081600,21088700,19342000,23365800,21165900,19546500,14891000,3204600
11,COGS and Expenses,503027,1657820,3804730,6118880,5906850,5362160,9104260,7423640,9663140,12078010,12235140,18766400,19708500,23877600,22550500,16844400,23218600,22081600,21088700,19342000,23365800,21165900,19546500,14891000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,83690,- -,3471450,2800470,1969160,1940920,2420580,3484970,4954300,6260160,7154000,5202400,4298600,3934800,4627000,4075000,5134200,6141400,5339700,7753200,9506000,11302900,16819300,- -
14,Depreciation and Amortization,- -,713930,1700000,2673950,2789550,2851860,3360600,3554620,4030950,4979530,5614520,7222100,7644300,7395700,5598900,6126900,7312500,7299000,9062100,9139700,12025600,12698800,11587500,7027200,- -
15,EBITDA,-501355,2833690,3741100,8662830,8114690,6303730,3165850,6378170,7854950,11223510,17229130,19506000,21499700,14218700,7601100,18640600,16293400,-4812600,25224800,16451400,23211500,13150800,1724100,-21961900,4844400
16,EBITDA ratio,-299.8535,0.7501,0.5069,0.7155,0.7225,0.7152,0.3553,0.5849,0.5819,0.6126,0.7224,0.6135,0.6406,0.4631,0.3096,0.6715,0.5888,-0.1902,0.8076,0.6197,0.6678,0.4309,0.0399,-1.3948,Infinity
17,Operating Income,-501355,2119760,3575410,5988880,5325140,3451870,-194750,3480200,3836180,6243980,11614610,- -,- -,6823000,2002200,12513700,4906000,6625000,17444000,8539000,12188000,- -,- -,- -,4844400
18,Operating Income ratio,-299.8535,0.5611,0.4845,0.4946,0.4741,0.3916,-0.0219,0.3192,0.2842,0.3408,0.4870,- -,- -,0.2222,0.0815,0.4508,0.1773,0.2618,0.5585,0.3216,0.3506,- -,- -,- -,Infinity
19,Total Other Income Expenses (Gains),- -,-83690,-1534310,-3471450,-2800470,-1969160,-1940920,-3077230,-3497150,-4954300,-6260160,-7899000,-5202400,-4298600,-3934800,-4627000,-100,-23870800,-7422700,-6567000,-8755300,-18405600,-44879200,-46663100,-9147900
20,Income Before Tax,-501355,2036070,2041100,2517430,2524670,1482710,-2135670,402970,339030,1289680,5354450,5129900,8653000,2524400,-1932600,7886700,4905900,-17245800,10021300,1972000,3432700,-9054000,-21166300,-45808400,-4303500
