,https://roic.ai/company/MXSG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,21907,20367,22065,10043,21000,239911,1158742,192004,2743,104179,- -,- -,- -,641562,- -
2,COGS,15539,14671,15131,9506,170124,561926,3281234,- -,- -,- -,- -,621793,- -,- -,- -
3,Gross Profit,6368,5696,6934,537,-149124,-322015,-2122492,192004,2743,- -,- -,-621793,- -,641562,- -
4,Gross Profit Ratio,0.2907,0.2797,0.3143,0.0535,-7.1011,-1.3422,-1.8317,1.0000,1.0000,- -,- -,-Infinity,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,122566,100149,27908,134300,1660883,1008699,1722272,1289660,1024302,1331308,2694086,2278322,1249737,1387938,1981751
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",122566,100149,27908,134300,1660883,1008699,1722272,1289660,1024302,1331308,2694086,2278322,1249737,1387938,1981751
9,Other Expenses,- -,- -,- -,- -,- -,- -,240673,939558,420579,241990,304634,- -,724786,641562,378315
10,Operating Expenses,122566,100149,27908,134300,1660883,1008699,1962945,2229218,1444881,1573298,2998720,2278322,1974523,2029500,2360066
11,COGS and Expenses,138105,114820,43039,143806,1831007,1570625,5244179,2229218,1444881,1573298,2998720,2900115,1974523,2029500,2360066
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,889,29132,52945,32611,833729,516181,535697,171746,487300,634755,1305849,1447748
14,Depreciation and Amortization,- -,- -,- -,10108,95050,221404,302245,356509,330678,265708,226632,255776,255215,168757,86496
15,EBITDA,-116198,-94453,-20974,-117751,-1708578,-1237583,-3255043,-6280038,-100997,-1376172,-2772088,-2644339,-1719308,-1743690,-2273570
16,EBITDA ratio,-5.3041,-4.6376,-0.9506,-11.7247,-81.3609,-5.1585,-2.8091,-32.7078,-36.8199,-13.2097,-Infinity,-Infinity,-Infinity,-2.7179,-Infinity
17,Operating Income,-116198,-94453,-20974,-133763,-1810007,-1458987,-4300825,-2231405,-1892353,-2034952,-3256262,-2900115,-1974523,-2029500,-2360066
18,Operating Income ratio,-5.3041,-4.6376,-0.9506,-13.3190,-86.1908,-6.0814,-3.7116,-11.6217,-689.8844,-19.5332,-Infinity,-Infinity,-Infinity,-3.1634,-Infinity
