,https://roic.ai/company/CDW,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,413300000,628700000,927895000,1276929000,1733489000,2561239000,3842452000,3961545000,4264579000,4664616000,5737774000,6291845000,6785473000,- -,8071200000,7162600000,8801200000,9602400000,10128200000,10768600000,12074500000,12988700000,13981900000,15191500000,16240500000,18032400000,18467500000,20820800000
2,COGS,357600000,546400000,805413000,1106124000,1513314000,2237700000,3352609000,3434510000,3700744000,3990824000,4867650000,5324215000,5715630000,- -,6710200000,6029700000,7410400000,8015000000,8458600000,9008300000,10153200000,10872900000,11654700000,12741600000,13533600000,14992500000,15257400000,17252300000
3,Gross Profit,55700000,82300000,122482000,170805000,220175000,323539000,489843000,527035000,563835000,673792000,870124000,967630000,1069843000,- -,1361000000,1132900000,1390800000,1587400000,1669600000,1760300000,1921300000,2115800000,2327200000,2449900000,2706900000,3039900000,3210100000,3568500000
4,Gross Profit Ratio,0.1348,0.1309,0.1320,0.1338,0.1270,0.1263,0.1275,0.1330,0.1322,0.1444,0.1516,0.1538,0.1577,- -,0.1686,0.1582,0.1580,0.1653,0.1648,0.1635,0.1591,0.1629,0.1664,0.1613,0.1667,0.1686,0.1738,0.1714
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,34600000,49200000,64879000,90315000,115537000,165627000,217756000,253328000,261611000,325205000,386563000,433482000,530120000,- -,894800000,821100000,932100000,994000000,1029500000,1120900000,1110300000,1226000000,1345100000,1410100000,1537100000,1713100000,2030900000,2149500000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118324000,- -,141300000,101900000,106000000,122700000,129500000,130800000,138000000,147800000,162900000,173700000,182500000,193200000,- -,- -
8,"Selling, General and Administrative Exp.",34600000,49200000,64879000,90315000,115537000,165627000,217756000,253328000,261611000,325205000,386563000,433482000,648444000,- -,1036100000,923000000,1038100000,1116700000,1159000000,1251700000,1248300000,1373800000,1508000000,1583800000,1719600000,1906300000,2030900000,2149500000
9,Other Expenses,1700000,2200000,4000000,- -,- -,- -,12479000,5509000,4046000,64129000,90802000,114514000,25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,36300000,51400000,68879000,90315000,115537000,165627000,230235000,258837000,265657000,389334000,477365000,547996000,673444000,- -,1036100000,923000000,1038100000,1116700000,1159000000,1251700000,1248300000,1373800000,1508000000,1583800000,1719600000,1906300000,2030900000,2149500000
11,COGS and Expenses,393900000,597800000,874292000,1196439000,1628851000,2403327000,3582844000,3693347000,3966401000,4380158000,5345015000,5872211000,6389074000,- -,7746300000,6952700000,8448500000,9131700000,9617600000,10260000000,11401500000,12246700000,13162700000,14325400000,15253200000,16898800000,17288300000,19401800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307400000,250100000,197300000,159500000,146500000,150500000,148600000,159400000,154900000,150900000
14,Depreciation and Amortization,-1700000,-2200000,1975000,2672000,4758000,6788000,10478000,15383000,15564000,15135000,16998000,21493000,28138000,- -,218400000,218200000,209400000,204900000,210200000,208200000,207900000,227400000,254500000,260900000,265600000,267100000,425600000,- -
15,EBITDA,18200000,30800000,58859000,87180000,113769000,169181000,279135000,295359000,321761000,304699000,416858000,454451000,442489000,- -,-1558800000,-243000000,172400000,233200000,703700000,653800000,792900000,1033900000,1073400000,1071700000,1254700000,1376200000,1582800000,1448700000
