,https://roic.ai/company/AUR,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,82538000
2,COGS,- -,- -
3,Gross Profit,- -,- -
4,Gross Profit Ratio,- -,- -
5,Research and Development Exp.,179426000,697276000
6,General and Administrative Exp.,- -,- -
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",38693000,115925000
9,Other Expenses,- -,- -
10,Operating Expenses,218119000,813201000
11,COGS and Expenses,218119000,813201000
12,Interest Income ,3717000,525000
13,Interest Expense (Gain),- -,- -
14,Depreciation and Amortization,3117000,15581000
15,EBITDA,-215002000,-744373000
16,EBITDA ratio,-Infinity,-9.0185
17,Operating Income,-218119000,-730663000
18,Operating Income ratio,-Infinity,-8.8524
19,Total Other Income Expenses (Gains),3672000,-29291000
20,Income Before Tax,-214447000,-759954000
21,Income Before Tax Ratio,-Infinity,-9.2073
22,Income Tax expense (Gain),2000,-4501000
23,Net Income,-214449000,-755453000
24,Net Income ratio,-Infinity,-9.1528
25,EPS,-0.79,-2.79
26,EPS Diluted,-0.79,-2.79
27,Weighted Average Shares Outstanding,270940197,270940197
28,Weighted Average Shares Outstanding Diluted,270940197,270940197
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1828108/000162828022005886/0001628280-22-005886-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,387346000,1610135000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,387346000,1610135000
34,Net Receivables,- -,- -
35,Inventory,- -,- -
36,Other Current Assets,19100000,67309000
37,Total Current Assets,406446000,1677444000
38,PP&E,101761000,244795000
39,Goodwill,30047000,1113766000
40,Intangible Assets,52700000,617200000
41,Intangible Assets,82747000,1730966000
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,27931000,36882000
45,Total Non-Current Assets,212439000,2012643000
46,Other Assets,- -,- -
47,Total Assets,618885000,3690087000
48,Accounts Payable,6502000,7901000
49,Short-Term Debt,6681000,12274000
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,18768000,70546000
53,Total Current Liabilities,31951000,90721000
54,Long-Term Debt,97153000,134551000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,3052000,3905000
57,Other Non-Current Liabilities,763308000,119208000
58,Total Non-Current Liabilities,863513000,257664000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,103834000,- -
61,Total Liabilities,895464000,348385000
62,Preferred Stock,- -,- -
63,Common Stock,- -,11000
64,Retained Earnings,-335763000,-1091216000
65,Other Comprehensive Income/Loss,- -,- -
66,Other Total Stockholders Equity,- -,4432907000
67,Total Stockholders Equity,-276579000,3341702000
68,Total Liabilities And Stockholders Equity,618885000,3690087000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,618885000,3690087000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1828108/000162828022005886/0001628280-22-005886-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-214449000,-755453000
74,Depreciation and Amortization,3117000,15581000
75,Deferred Income Tax,- -,-4504000
76,Stock Based Compensation,16880000,220058000
77,Change in Working Capital,-11393000,-104073000
78,Accounts Receivable,- -,- -
79,Inventory,- -,- -
80,Accounts Payable,2189000,444000
81,Other Working Capital,- -,- -
82,Other Non-Cash Items,13966000,65103000
83,Cash Provided by Operating Activities,-191879000,-563288000
84,CAPEX,-6689000,-48054000
85,Acquisitions Net,- -,294439000
86,Purchases of Investments,-120022000,- -
87,Sales/Maturities of Investments,470000000,- -
88,Other Investing Activites,- -,3500000
89,Cash Used for Investing Activites,343289000,249885000
90,Debt Repayment,- -,- -
91,Common Stock Issued,2662000,7999000
92,Common Stock Repurchased,-532000,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,-684000,1531823000
95,Cash Used/Provided by Financing Activities,1446000,1539822000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,152856000,1226419000
98,Cash at the End of Period,399828000,1626247000
99,Cash at the Beginning of Period,246972000,399828000
100,Free Cash Flow,-198568000,-611342000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1828108/000162828022005886/0001628280-22-005886-index.htm
102,false,,
