,https://roic.ai/company/CALX,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,193819000,250463000,232947000,287043000,344669000,330218000,382618000,401227000,407463000,458787000,510367000,441320000,424330000,541239000,679394000
2,COGS,133465000,171365000,156303000,174313000,225216000,192642000,211544000,223438000,217034000,257569000,337477000,243938000,236405000,274220000,322807000
3,Gross Profit,60354000,79098000,76644000,112730000,119453000,137576000,171074000,177789000,190429000,201218000,172890000,197382000,187925000,267019000,356587000
4,Gross Profit Ratio,0.3114,0.3158,0.3290,0.3927,0.3466,0.4166,0.4471,0.4431,0.4674,0.4386,0.3388,0.4473,0.4429,0.4933,0.5249
5,Research and Development Exp.,44439000,44348000,46132000,55412000,67725000,66748000,79299000,80311000,89714000,106869000,127541000,89963000,81184000,85258000,101747000
6,General and Administrative Exp.,12103000,15253000,15613000,27998000,27002000,26114000,31945000,31371000,38454000,41592000,39875000,40500000,37115000,44444000,55779000
7,Selling and Marketing Exp.,28439000,31627000,33486000,42121000,55551000,62129000,68075000,76283000,78563000,83675000,82781000,86432000,82553000,94185000,125909000
8,"Selling, General and Administrative Exp.",40542000,46880000,49099000,70119000,82553000,88243000,100020000,107654000,117017000,125267000,122656000,126932000,119668000,138629000,181688000
9,Other Expenses,740000,740000,740000,740000,21496000,10208000,10208000,10208000,10208000,1701000,- -,- -,- -,- -,- -
10,Operating Expenses,85721000,91968000,95971000,126271000,171774000,165199000,189527000,198173000,216939000,233837000,250197000,216895000,200852000,223887000,283435000
11,COGS and Expenses,219186000,263333000,252274000,300584000,396990000,357841000,401071000,421611000,433973000,491406000,587674000,460833000,437257000,498107000,606242000
12,Interest Income ,1094000,620000,245000,384000,87000,15000,7000,729000,1285000,737000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2330000,2089000,3867000,1188000,184000,185000,167000,806000,1144000,585000,- -,- -,- -,1585000,402000
14,Depreciation and Amortization,12381000,11603000,11122000,11195000,26075000,26309000,28742000,27824000,28823000,14124000,10991000,9187000,10316000,13718000,15012000
15,EBITDA,-10126000,692000,-7804000,-6089000,-26067000,-1674000,11630000,8397000,4169000,-12346000,-70798000,-9581000,-6216000,49587000,88068000
16,EBITDA ratio,-0.0522,0.0028,-0.0335,-0.0212,-0.0756,-0.0051,0.0304,0.0209,0.0102,-0.0269,-0.1387,-0.0217,-0.0146,0.0916,0.1296
17,Operating Income,-25367000,-12870000,-19327000,-17483000,-52321000,-29024000,-18453000,-20384000,-26510000,-28119000,-81556000,-18514000,-15401000,36846000,73938000
18,Operating Income ratio,-0.1309,-0.0514,-0.0830,-0.0609,-0.1518,-0.0879,-0.0482,-0.0508,-0.0651,-0.0613,-0.1598,-0.0420,-0.0363,0.0681,0.1088
19,Total Other Income Expenses (Gains),530000,-130000,-3466000,-989000,-5000,856000,1174000,151000,712000,1064000,-233000,-254000,-1131000,-2562000,-1284000
20,Income Before Tax,-24837000,-13000000,-22793000,-18472000,-52326000,-28168000,-17279000,-20233000,-25798000,-27055000,-81789000,-18768000,-16532000,34284000,72654000
21,Income Before Tax Ratio,-0.1281,-0.0519,-0.0978,-0.0644,-0.1518,-0.0853,-0.0452,-0.0504,-0.0633,-0.0590,-0.1603,-0.0425,-0.0390,0.0633,0.1069
22,Income Tax expense (Gain),102000,-81000,-352000,81000,224000,158000,-14000,581000,535000,347000,1243000,530000,1162000,800000,-165724000
23,Net Income,-24939000,-12919000,-22441000,-18553000,-52550000,-28326000,-17265000,-20814000,-26333000,-27402000,-83032000,-19298000,-17694000,33484000,238378000
24,Net Income ratio,-0.1287,-0.0516,-0.0963,-0.0646,-0.1525,-0.0858,-0.0451,-0.0519,-0.0646,-0.0597,-0.1627,-0.0437,-0.0417,0.0619,0.3509
25,EPS,-6.42,-0.47,-6.48,-0.65,-1.15,-0.59,-0.35,-0.38,-0.51,-0.56,-1.66,-0.37,-0.32,0.57,4.04
26,EPS Diluted,-6.42,-0.47,-6.48,-0.65,-1.15,-0.59,-0.35,-0.38,-0.51,-0.56,-1.66,-0.37,-0.32,0.54,4.04
27,Weighted Average Shares Outstanding,4040000,36297532,4040000,29778000,45546000,48180000,49419000,50808000,51489000,48730000,50155000,52609000,54993000,59074000,63950000
28,Weighted Average Shares Outstanding Diluted,4040000,36297532,4040000,29778000,45546000,48180000,49419000,50808000,51489000,48730000,50155000,52609000,54993000,61998000,68748000
