,https://roic.ai/company/SYRS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,317000,317000,1101000,2050000,1982000,15093000,23488000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,15093000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,10923000,24408000,37817000,41896000,50182000,58245000,76065000,99872000
6,General and Administrative Exp.,2512000,5729000,10463000,13891000,16164000,21478000,21325000,23036000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2512000,5729000,10463000,13891000,16164000,21478000,21325000,23036000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,13435000,30137000,48280000,55787000,66346000,79723000,97390000,122908000
11,COGS and Expenses,13435000,30137000,48280000,55787000,66346000,79723000,97390000,122908000
12,Interest Income ,- -,- -,- -,- -,- -,- -,426000,87000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1792000,3907000
14,Depreciation and Amortization,258000,602000,1273000,1527000,1604000,2722000,3035000,3018000
15,EBITDA,-13177000,-29216000,-46470000,-52483000,-60675000,-72716000,-79211000,-79633000
16,EBITDA ratio,-Infinity,-92.1640,-146.5931,-47.6685,-29.5976,-36.6882,-5.2482,-3.3904
17,Operating Income,-13435000,-29820000,-47963000,-54686000,-64296000,-77741000,-82297000,-99420000
18,Operating Income ratio,-Infinity,-94.0694,-151.3028,-49.6694,-31.3639,-39.2235,-5.4527,-4.2328
19,Total Other Income Expenses (Gains),4000,2000,220000,676000,2017000,2303000,-1741000,12862000
20,Income Before Tax,-13431000,-29818000,-47743000,-54010000,-62279000,-75438000,-84038000,-86558000
21,Income Before Tax Ratio,-Infinity,-94.0631,-150.6088,-49.0554,-30.3800,-38.0616,-5.5680,-3.6852
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-13431000,-29818000,-47743000,-54010000,-62279000,-75438000,-84038000,-86558000
24,Net Income ratio,-Infinity,-94.0631,-150.6088,-49.0554,-30.3800,-38.0616,-5.5680,-3.6852
25,EPS,-6.32,-2.09,-4.05,-2.13,-1.91,-1.88,-1.82,-1.38
26,EPS Diluted,-6.32,-2.09,-4.05,-2.13,-1.91,-1.88,-1.82,-1.38
27,Weighted Average Shares Outstanding,2475576,14593998,12696414,25406845,32656237,40222182,46051617,62534978
28,Weighted Average Shares Outstanding Diluted,2475576,14593998,12696414,25406845,32656237,40222182,46051617,62534978
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1556263/000155837017001938/0001558370-17-001938-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000155837018001860/0001558370-18-001860-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459019006610/0001564590-19-006610-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459020008795/0001564590-20-008795-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459021010709/0001564590-21-010709-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459022010214/0001564590-22-010214-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,60393000,35909000,58588000,32205000,49886000,41441000,173984000,92302000
32,Short-Term Investments,- -,- -,25005000,39844000,49793000,49975000,- -,38067000
33,Cash and Short-Term Investments,60393000,35909000,83593000,72049000,99679000,91416000,173984000,130369000
34,Net Receivables,- -,- -,867000,- -,- -,20158000,2331000,2979000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,150000,540000,1048000,1110000,2055000,2939000,2242000,3237000
37,Total Current Assets,60543000,36449000,85508000,73159000,101734000,114513000,178557000,136585000
38,PP&E,881000,4799000,4850000,3938000,3861000,31889000,29641000,27285000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,13038000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,70000,2383000,965000,1391000,1171000,3576000,5052000,6027000
45,Total Non-Current Assets,951000,7182000,5815000,5329000,5032000,35465000,34693000,46350000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,61494000,43631000,91323000,78488000,106766000,149978000,213250000,182935000
48,Accounts Payable,928000,5035000,2415000,2283000,3309000,5853000,3603000,3692000
49,Short-Term Debt,- -,133000,168000,47000,9000,1278000,1728000,2011000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,550000,- -,1926000,5739000,12209000,10181000
52,Other Current Liabilities,324000,2788000,6434000,10083000,14285000,10646000,11084000,15624000
53,Total Current Liabilities,1252000,7956000,9567000,12413000,19529000,23516000,28624000,31508000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,39551000,63180000
