,https://roic.ai/company/BTB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,175327717,202009160,53418112,56292093,38452206,401814,865705,5711681
2,COGS,- -,- -,- -,- -,157904729,182692715,48713456,52367418,36488874,236661,508462,3751389
3,Gross Profit,- -,- -,- -,- -,17422988,19316445,4704656,3924675,1963332,165153,357243,1960292
4,Gross Profit Ratio,- -,- -,- -,- -,0.0994,0.0956,0.0881,0.0697,0.0511,0.4110,0.4127,0.3432
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,4873,213819,3482027,4673582,5376137,5295518,3248267,2202161,2813636,10399101
7,Selling and Marketing Exp.,- -,- -,- -,- -,2306021,2384459,2251997,1416283,2383372,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,4873,213819,5788048,7058041,7628134,6711801,5631639,2202161,2813636,10399101
9,Other Expenses,- -,- -,- -,- -,- -,- -,7509470,25162381,77808582,- -,- -,- -
10,Operating Expenses,- -,- -,4873,213819,5788048,7058041,15137604,31874182,83440221,2202161,2813636,10399101
11,COGS and Expenses,- -,- -,4873,213819,163692777,189750756,63851060,84241600,119929095,2438822,3322098,14150490
12,Interest Income ,- -,- -,- -,14621,1948743,5433346,336623,504,57,3977,35737,386066
13,Interest Expense (Gain),- -,- -,- -,- -,4000626,5295616,3710945,3254991,1388102,3977,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,4858003,6531677,5950444,3809025,4625090,29309,315155,493207
15,EBITDA,- -,- -,-4873,3016181,18293416,16963050,2103159,-21363228,-76876143,27588728,-1791445,-7494138
16,EBITDA ratio,- -,- -,-Infinity,Infinity,0.1043,0.0840,0.0394,-0.3795,-1.9993,68.6604,-2.0693,-1.3121
17,Operating Income,- -,- -,-4873,-213819,11634940,12258404,-10432948,-27949507,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,0.0664,0.0607,-0.1953,-0.4965,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,-3215379,-2200153,-7122647,2874718,-477737,-1412446,1104145,333966,541237
20,Income Before Tax,- -,- -,-4873,-3429198,9434787,5135757,-7558230,-28427244,-82889335,-932863,-2122427,-7897572
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,0.0538,0.0254,-0.1415,-0.5050,-2.1556,-2.3216,-2.4517,-1.3827
22,Income Tax expense (Gain),- -,- -,- -,- -,2606479,3729238,-802627,- -,- -,- -,- -,145541
23,Net Income,- -,- -,-4873,-3429198,6828308,1406519,-6755603,-28427244,-82889335,27555442,-2106600,-8132886
24,Net Income ratio,- -,- -,-Infinity,-Infinity,0.0389,0.0070,-0.1265,-0.5050,-2.1556,68.5776,-2.4334,-1.4239
25,EPS,- -,- -,-0.01,-22.10,1.70,14.40,-14.60,-28.70,-71.10,15.30,-0.60,-2.45
26,EPS Diluted,- -,- -,-0.01,-22.10,1.20,14.40,-14.60,-29.20,-71.10,15.30,-0.60,-2.45
27,Weighted Average Shares Outstanding,- -,- -,513600,154887,4000000,646257,932310,991431,1165372,1805515,3322733,3322733
28,Weighted Average Shares Outstanding Diluted,- -,- -,513600,154887,5819197,646257,932310,991431,1165372,1805515,3322733,3322733
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,32438,135659,9045950,217612,63149,44284,1018708,4668745,5311693,21158368
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4078244,2266069,2526328
33,Cash and Short-Term Investments,- -,- -,32438,135659,9045950,217612,63149,44284,1018708,8746989,7577762,23684696
34,Net Receivables,- -,- -,- -,- -,65211815,97748233,104364101,77295298,14005370,128847,2406884,17702221
35,Inventory,- -,- -,- -,- -,14062567,9751596,5880881,5282737,5067731,114533,1403582,1466996
36,Other Current Assets,- -,- -,- -,69000,35389167,49179470,11954025,4045969,1757,307919,108224,278432
37,Total Current Assets,- -,- -,32438,204659,123709499,156896911,122262156,86668288,20093566,9298288,11496452,43132345
38,PP&E,- -,- -,- -,- -,76439788,65260454,51064565,46608189,44346646,1269475,2718475,12802519
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8073011,9573081
40,Intangible Assets,- -,- -,- -,- -,5724636,2833833,2125665,2032547,2032346,73854,66442,68655
41,Intangible Assets,- -,- -,- -,- -,5724636,2833833,2125665,2032547,2032346,73854,8139453,9641736
42,Investments,- -,- -,- -,41614621,- -,- -,- -,- -,- -,- -,187755,1557013
43,Tax Assets,- -,- -,- -,- -,657377,733588,691764,610473,702391,- -,- -,- -
44,Other Non-Current Assets,- -,- -,342344,- -,- -,- -,- -,- -,- -,204932,92992,20827
45,Total Non-Current Assets,- -,- -,342344,41614621,82821801,68827875,53881994,49251209,47081383,1548261,11138675,24022095
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,374782,41819280,206531300,225724786,176144150,135919497,67174949,10846549,22635127,67154440
48,Accounts Payable,- -,- -,- -,- -,19658604,6658065,17869460,10203538,18120016,91202,64300,119071
49,Short-Term Debt,- -,- -,322155,- -,121825863,98613165,68343754,66414123,67336545,- -,315259,263023
50,Tax Payable,- -,- -,- -,- -,1667732,3327017,1558321,1523268,1291008,5737,11353,147759
51,Deferred Revenue,- -,- -,- -,- -,1776624,2233691,6225058,4423090,- -,40849,127279,228863
52,Other Current Liabilities,- -,- -,32500,59440,7810835,59811899,40203786,39267096,4525674,1562631,1218995,242287
53,Total Current Liabilities,- -,- -,354655,59440,151071926,167316820,132642058,120307847,89982235,1694682,1725833,853244
54,Long-Term Debt,- -,- -,- -,3230000,- -,- -,- -,- -,- -,- -,310098,827086
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,3230000,- -,- -,- -,- -,- -,- -,310098,827086
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625357,1090109
61,Total Liabilities,- -,- -,354655,3289440,151071926,167316820,132642058,120307847,89982235,1694682,2035931,1680330
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,109,36400164,8852713,872,962,1106,1266,2618,4519,2039
64,Retained Earnings,- -,- -,-4873,-3434071,34370050,-206982,-6962585,-35389829,-83279164,-8174141,-10280741,-18413627
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,12236611,17186303,4922996,3041110,10463202,-302222,-352649,-2781485
66,Other Total Stockholders Equity,- -,- -,24891,5563747,- -,41427773,45540719,47959263,50007410,17625612,25568478,80917821
67,Total Stockholders Equity,- -,- -,20127,38529840,55459374,58407966,43502092,15611650,-22807286,9151867,14939607,59724748
68,Total Liabilities And Stockholders Equity,- -,- -,374782,41819280,206531300,225724786,176144150,135919497,67174949,10846549,16975538,61405078
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5659589,5749362
70,Total Liabilities & Equity,- -,- -,374782,41819280,206531300,225724786,176144150,135919497,67174949,10846549,22635127,67154440
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,- -,-4873,-3429198,6828308,1406519,-6755603,-28427244,-82889335,27555442,-2106600,-8132886
74,Depreciation and Amortization,- -,- -,- -,- -,4858003,6531677,5950444,3809025,4625090,29309,315155,493207
75,Deferred Income Tax,- -,- -,- -,- -,822200,848541,-23939,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2418688,872000,123000,4417,4632707
77,Change in Working Capital,- -,- -,- -,-9560,-8862336,-31839651,-21476726,-1670930,-3389051,-294704,156213,-383907
78,Accounts Receivable,- -,- -,- -,- -,-16343386,-46117191,-7101570,8355425,-7193135,-129666,-47597,-201594
79,Inventory,- -,- -,- -,- -,-191049,4290812,2671325,-743189,244362,-74139,76506,66694
80,Accounts Payable,- -,- -,- -,- -,8428337,9384469,-20539601,-7612138,8169616,91783,-38218,66389
81,Other Working Capital,- -,- -,- -,- -,-665038,454930,4169072,-1671028,-4609894,-13632,119980,68545
82,Other Non-Cash Items,- -,- -,- -,3215379,219425,7913544,3110168,24214006,77602996,-28470156,-266719,-15585
83,Cash Provided by Operating Activities,- -,- -,-4873,-223379,3865600,-15139370,-19195656,343545,-3178300,-1057109,-1897534,-3406464
84,CAPEX,- -,- -,- -,- -,-24435588,-4160421,-2445958,-893646,-1373636,-1038615,-492420,-9493705
85,Acquisitions Net,- -,- -,- -,- -,- -,10518189,1535243,- -,- -,1750000,-2579775,-1501798
86,Purchases of Investments,- -,- -,- -,-83211600,- -,- -,- -,- -,- -,-4104188,- -,-10992462
87,Sales/Maturities of Investments,- -,- -,- -,41611600,- -,- -,- -,- -,- -,- -,944363,10946177
88,Other Investing Activites,- -,- -,- -,- -,-119172,8823765,- -,932572,252330,-1123662,126865,-15820133
89,Cash Used for Investing Activites,- -,- -,- -,-41600000,-24076576,15187228,-910715,38926,-1121306,-4437844,-2000967,-26861921
90,Debt Repayment,- -,- -,- -,-322155,-105939829,-62986288,-121283331,-462567,-28959788,- -,- -,- -
91,Common Stock Issued,- -,- -,25000,39019320,- -,5210000,- -,- -,1176307,9618233,4540350,48194370
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,12311,3229435,131243679,49071062,139961791,74072,28270400,-124592,- -,150994
95,Cash Used/Provided by Financing Activities,- -,- -,37311,41926600,25303850,-8705226,18678460,-388495,486919,9493641,4540350,48345364
