,https://roic.ai/company/RVMD,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,20165000,50041000,42983000,29390000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,42983000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,26586000,51084000,91755000,132252000,186948000
6,General and Administrative Exp.,4543000,9410000,12406000,21428000,30450000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4543000,9410000,12406000,21428000,30450000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,31129000,60494000,104161000,153680000,217398000
11,COGS and Expenses,31129000,60494000,104161000,153680000,217398000
12,Interest Income ,105000,777000,2189000,2238000,929000
13,Interest Expense (Gain),103000,116000,106000,71000,12000
14,Depreciation and Amortization,1188000,1764000,3342000,6545000,7332000
15,EBITDA,-29836000,-39909000,-48589000,-101914000,-179747000
16,EBITDA ratio,-Infinity,-1.9791,-0.9710,-2.3710,-6.1159
17,Operating Income,-31129000,-40329000,-54120000,-110697000,-188008000
18,Operating Income ratio,-Infinity,-2.0000,-1.0815,-2.5754,-6.3970
19,Total Other Income Expenses (Gains),2000,-1460000,2083000,2167000,917000
20,Income Before Tax,-31127000,-41789000,-52037000,-108530000,-187091000
21,Income Before Tax Ratio,-Infinity,-2.0724,-1.0399,-2.5250,-6.3658
22,Income Tax expense (Gain),- -,- -,-4373000,-371000,- -
23,Net Income,-31127000,-41789000,-47664000,-108159000,-187091000
24,Net Income ratio,-Infinity,-2.0724,-0.9525,-2.5163,-6.3658
25,EPS,-0.96,-1.71,-1.17,-2.01,-2.57
26,EPS Diluted,-0.96,-1.71,-1.17,-2.01,-2.57
27,Weighted Average Shares Outstanding,36473121,23163260,52902309,54874119,72806079
28,Weighted Average Shares Outstanding Diluted,36473121,23163260,52902309,54874119,72806079
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1628171/000156459020014169/0001564590-20-014169-index.htm,https://www.sec.gov/Archives/edgar/data/1628171/000156459021010276/0001564590-21-010276-index.htm,https://www.sec.gov/Archives/edgar/data/1628171/000095017022002297/0000950170-22-002297-index.htm
